"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"10","003","002600","1","1500000US100030026001","100030026001","1","BG","107438","0",39768,39768,10,3,2600,1,100030026001,"Block Group 1","G5030","S",107438,0,39.7409493,-75.5683694,100030026001," New Castle County"," Delaware","Yes",270,225,83.3,215,165,76.7,10003002600,1350,1060,78.5,1010,810,80.2,"Yes","Yes",10,3,2600,1,0.0163384040912,1.12889658794302e-05,0.0163384042851944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","000602","2","1500000US100030006022","100030006022","2","BG","310250","20127",39960,39960,10,3,602,2,100030006022,"Block Group 2","G5030","S",310250,20127,39.7476664,-75.5363173,100030006022," New Castle County"," Delaware","Yes",460,365,79.3,340,295,86.8,10003000602,905,680,75.1,700,530,75.7,"Yes","Yes",10,3,602,2,0.0282929383661,3.47177603998716e-05,0.0282929380858768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","013300","1","1500000US100030133001","100030133001","1","BG","698573","0",40100,40100,10,3,13300,1,100030133001,"Block Group 1","G5030","S",698573,0,39.7288483,-75.6567114,100030133001," New Castle County"," Delaware","No",205,60,29.3,160,60,37.5,10003013300,375,80,21.3,275,75,27.3,"No","No",10,3,13300,1,0.0404900046035,7.33899662463955e-05,0.0404900035160014,"100030133001",60,205,60,160,"100030131001",135,185,110,125,"100030131003",0,105,0,35,195,495,39.3939393939394,170,320,53.125
"10","003","016200","2","1500000US100030162002","100030162002","2","BG","321485","0",40153,40153,10,3,16200,2,100030162002,"Block Group 2","G5030","S",321485,0,39.6618885,-75.5735998,100030162002," New Castle County"," Delaware","Yes",260,175,67.3,170,110,64.7,10003016200,375,210,56,210,110,52.4,"Yes","Yes",10,3,16200,2,0.0266305591055,3.37421049607656e-05,0.026630559875537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","002600","3","1500000US100030026003","100030026003","3","BG","98503","0",39993,39993,10,3,2600,3,100030026003,"Block Group 3","G5030","S",98503,0,39.7414085,-75.5645914,100030026003," New Castle County"," Delaware","Yes",675,620,91.9,575,520,90.4,10003002600,1350,1060,78.5,1010,810,80.2,"Yes","Yes",10,3,2600,3,0.0137526552696,1.03500592558703e-05,0.0137526546918382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","001","041400","2","1500000US100010414002","100010414002","2","BG","694213","0",40163,40163,10,1,41400,2,100010414002,"Block Group 2","G5030","S",694213,0,39.1573514,-75.534978,100010414002," Kent County"," Delaware","Yes",495,365,73.7,385,310,80.5,10001041400,780,385,49.4,565,310,54.9,"Yes","Yes",10,1,41400,2,0.0405524504752,7.23454440958449e-05,0.0405524509679008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","000400","2","1500000US100030004002","100030004002","2","BG","180560","0",39954,39954,10,3,400,2,100030004002,"Block Group 2","G5030","S",180560,0,39.7566257,-75.5438512,100030004002," New Castle County"," Delaware","Yes",310,280,90.3,220,205,93.2,10003000400,465,345,74.2,280,230,82.1,"Yes","Yes",10,3,400,2,0.0220700171327,1.8976532828674e-05,0.022070017234194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","015900","2","1500000US100030159002","100030159002","2","BG","453103","0",40138,40138,10,3,15900,2,100030159002,"Block Group 2","G5030","S",453103,0,39.6879763,-75.5627177,100030159002," New Castle County"," Delaware","Yes",380,285,75,310,240,77.4,10003015900,1000,325,32.5,760,270,35.5,"Yes","No",10,3,15900,2,0.0328027951901,4.7574116024407e-05,0.0328027957110294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","011203","3","1500000US100030112033","100030112033","3","BG","945542","0",39702,39702,10,3,11203,3,100030112033,"Block Group 3","G5030","S",945543,0,39.8228912,-75.470534,100030112033," New Castle County"," Delaware","Yes",550,310,56.4,335,145,43.3,10003011203,885,350,39.5,560,145,25.9,"Yes","No",10,3,11203,3,0.0472696744284,9.9469677934394e-05,0.0472696750716632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","001100","3","1500000US100030011003","100030011003","3","BG","105514","0",39971,39971,10,3,1100,3,100030011003,"Block Group 3","G5030","S",105514,0,39.7546171,-75.5604106,100030011003," New Castle County"," Delaware","No",25,0,0,25,0,0,10003001100,240,15,6.3,200,0,0,"No","No",10,3,1100,3,0.0170323375825,1.10891860458651e-05,0.0170323363127183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","014903","2","1500000US100030149032","100030149032","2","BG","232124","0",40010,40010,10,3,14903,2,100030149032,"Block Group 2","G5030","S",232124,0,39.62184,-75.6949422,100030149032," New Castle County"," Delaware","Yes",105,70,66.7,0,0,0,10003014903,2235,1190,53.2,1560,905,58,"Yes","Yes",10,3,14903,2,0.0244934623498,2.43491374476434e-05,0.0244934637919565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","000900","1","1500000US100030009001","100030009001","1","BG","179425","36384",39965,39965,10,3,900,1,100030009001,"Block Group 1","G5030","S",179425,36384,39.7442119,-75.5394516,100030009001," New Castle County"," Delaware","Yes",165,65,39.4,120,20,16.7,10003000900,685,425,62,450,265,58.9,"No","Yes",10,3,900,1,0.0251668497672,2.26772003770748e-05,0.0251668501483371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","014909","3","1500000US100030149093","100030149093","3","BG","929877","0",40094,40094,10,3,14909,3,100030149093,"Block Group 3","G5030","S",926755,0,39.66154,-75.6144473,100030149093," New Castle County"," Delaware","Yes",205,190,92.7,165,165,100,10003014909,2140,1430,66.8,1590,1125,70.8,"Yes","Yes",10,3,14909,3,0.0485253886392,9.726866960591e-05,0.0485253875441429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","011300","2","1500000US100030113002","100030113002","2","BG","446781","0",39846,39846,10,3,11300,2,100030113002,"Block Group 2","G5030","S",446781,0,39.8085378,-75.5095343,100030113002," New Castle County"," Delaware","No",175,0,0,110,0,0,10003011300,460,0,0,290,0,0,"No","No",10,3,11300,2,0.0287160449109,4.69911715299531e-05,0.028716044937085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"10","003","012500","1","1500000US100030125001","100030125001","1","BG","302985","0",39943,39943,10,3,12500,1,100030125001,"Block Group 1","G5030","S",302986,0,39.7369292,-75.5768612,100030125001," New Castle County"," Delaware","No",90,30,33.3,90,30,33.3,10003012500,1155,410,35.5,945,340,36,"No","No",10,3,12500,1,0.0244453216945,3.1834450965107e-05,0.0244453206893945,"100030125001",30,90,30,90,"100030125002",240,240,205,205,"100030026004",100,210,45,95,370,540,68.5185185185185,280,390,71.7948717948718
