"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"11","001","001803","2","1500000US110010018032","110010018032","2","BG","149262","0",40539,40539,11,1,1803,2,110010018032,"Block Group 2","G5030","S",149262,0,38.9648771,-77.0348666,110010018032," District of Columbia"," District of Columbia","Yes",695,360,51.8,545,310,56.9,11001001803,1020,495,48.5,835,445,53.3,"Yes","Yes",11,1,1803,2,0.016144244281,1.55134900978737e-05,0.0161442445807882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","009803","3","1500000US110010098033","110010098033","3","BG","177654","0",40504,40504,11,1,9803,3,110010098033,"Block Group 3","G5030","S",177654,0,38.8347926,-77.0058752,110010098033," District of Columbia"," District of Columbia","Yes",260,170,65.4,190,105,55.3,11001009803,855,630,73.7,575,430,74.8,"Yes","Yes",11,1,9803,3,0.0217868653094,1.84308773896191e-05,0.0217868655337339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","007709","2","1500000US110010077092","110010077092","2","BG","151847","0",40328,40328,11,1,7709,2,110010077092,"Block Group 2","G5030","S",151847,0,38.8736699,-76.9667257,110010077092," District of Columbia"," District of Columbia","Yes",215,95,44.2,115,35,30.4,11001007709,450,265,58.9,190,95,50,"No","Yes",11,1,7709,2,0.017901138991,1.57620199843223e-05,0.0179011377457153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","002501","2","1500000US110010025012","110010025012","2","BG","227730","0",40545,40545,11,1,2501,2,110010025012,"Block Group 2","G5030","S",227730,0,38.9450642,-77.0345769,110010025012," District of Columbia"," District of Columbia","No",335,30,9,260,10,3.8,11001002501,645,140,21.7,475,85,17.9,"No","No",11,1,2501,2,0.0201975254077,2.36623009186587e-05,0.0201975259849068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","010800","1","1500000US110010108001","110010108001","1","BG","112810","0",40212,40212,11,1,10800,1,110010108001,"Block Group 1","G5030","S",112810,0,38.9005669,-77.0474728,110010108001," District of Columbia"," District of Columbia","No",0,0,0,0,0,0,11001010800,0,0,0,0,0,0,"No","No",11,1,10800,1,0.0167941465856,1.17144061277941e-05,0.0167941467497057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","009505","1","1500000US110010095051","110010095051","1","BG","171941","0",40487,40487,11,1,9505,1,110010095051,"Block Group 1","G5030","S",171941,0,38.9628486,-77.0020704,110010095051," District of Columbia"," District of Columbia","No",105,40,38.1,105,40,38.1,11001009505,515,250,48.5,450,195,43.3,"No","No",11,1,9505,1,0.0182681059116,1.78698369381891e-05,0.0182681058838355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","006500","1","1500000US110010065001","110010065001","1","BG","153483","0",40291,40291,11,1,6500,1,110010065001,"Block Group 1","G5030","S",153483,0,38.8855307,-77.0011697,110010065001," District of Columbia"," District of Columbia","No",25,0,0,25,0,0,11001006500,275,10,3.6,265,10,3.8,"No","No",11,1,6500,1,0.0238609477567,1.59343076120422e-05,0.023860947722405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","005800","2","1500000US110010058002","110010058002","2","BG","232950","0",40263,40263,11,1,5800,2,110010058002,"Block Group 2","G5030","S",232950,0,38.8975634,-77.0205095,110010058002," District of Columbia"," District of Columbia","No",105,25,23.8,100,20,20,11001005800,140,25,17.9,130,20,15.4,"No","No",11,1,5800,2,0.0230977318008,2.41887223637605e-05,0.0230977312453334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","009301","1","1500000US110010093011","110010093011","1","BG","229856","0",40467,40467,11,1,9301,1,110010093011,"Block Group 1","G5030","S",229856,0,38.9324943,-76.9819878,110010093011," District of Columbia"," District of Columbia","No",135,60,44.4,90,30,33.3,11001009301,675,100,14.8,580,70,12.1,"No","No",11,1,9301,1,0.019546339842,2.38789777995407e-05,0.0195463390384557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"11","001","000100","2","1500000US110010001002","110010001002","2","BG","199344","0",40525,40525,11,1,100,2,110010001002,"Block Group 2","G5030","S",199344,0,38.9086367,-77.0546517,110010001002," District of Columbia"," District of Columbia","No",110,0,0,70,0,0,11001000100,825,0,0,700,0,0,"No","No",11,1,100,2,0.0222378139487,2.07023394978023e-05,0.0222378141983458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
