"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"13","121","011412","1","1500000US131210114121","131210114121","1","BG","2908626","14265",57275,57275,13,121,11412,1,131210114121,"Block Group 1","G5030","S",2908627,14265,34.008137,-84.2926145,131210114121," Fulton County"," Georgia","No",1015,15,1.5,690,0,0,13121011412,2235,460,20.6,1625,320,19.7,"No","No",13,121,11412,1,0.0793938049754,0.00028527234098874,0.0793938052403911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","189","950200","1","1500000US131899502001","131899502001","1","BG","10916912","59027",56703,56703,13,189,950200,1,131899502001,"Block Group 1","G5030","S",10916911,59027,33.5023748,-82.4833405,131899502001," McDuffie County"," Georgia","Yes",450,285,63.3,385,255,66.2,13189950200,1680,1095,65.2,1315,930,70.7,"Yes","Yes",13,189,950200,1,0.164339418195,0.00106497148772178,0.164339417552385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","299","950700","1","1500000US132999507001","132999507001","1","BG","1121988","0",57376,57376,13,299,950700,1,132999507001,"Block Group 1","G5030","S",1121988,0,31.2077816,-82.3537601,132999507001," Ware County"," Georgia","Yes",135,115,85.2,85,65,76.5,13299950700,330,285,86.4,260,215,82.7,"Yes","Yes",13,299,950700,1,0.0499356314315,0.000106190374935977,0.0499356326844539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","089","023416","3","1500000US130890234163","130890234163","3","BG","3084890","12675",56346,56346,13,89,23416,3,130890234163,"Block Group 3","G5030","S",3084890,12675,33.6742646,-84.1874224,130890234163," DeKalb County"," Georgia","No",250,70,28,180,45,25,13089023416,1710,315,18.4,1080,215,19.9,"No","No",13,89,23416,3,0.0709971531077,0.000301121973961926,0.0709971526838076,"130890234163",70,250,45,180,"130890234182",425,650,235,355,"130890234261",360,700,270,490,855,1600,53.4375,550,1025,53.6585365853659
"13","089","021906","3","1500000US130890219063","130890219063","3","BG","1360229","6200",55928,55928,13,89,21906,3,130890219063,"Block Group 3","G5030","S",1360229,6200,33.8026636,-84.1816631,130890219063," DeKalb County"," Georgia","Yes",905,510,56.4,625,355,56.8,13089021906,1410,750,53.2,865,455,52.6,"Yes","Yes",13,89,21906,3,0.0479214588155,0.000133038454350753,0.047921458391284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","089","021910","2","1500000US130890219102","130890219102","2","BG","1345485","0",55335,55335,13,89,21910,2,130890219102,"Block Group 2","G5030","S",1345485,0,33.8178782,-84.2031285,130890219102," DeKalb County"," Georgia","Yes",345,185,53.6,270,130,48.1,13089021910,1345,825,61.3,1000,645,64.5,"Yes","Yes",13,89,21910,2,0.0463221855848,0.000131023403127983,0.0463221860312912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","245","000600","2","1500000US132450006002","132450006002","2","BG","363593","0",53741,53741,13,245,600,2,132450006002,"Block Group 2","G5030","S",363593,0,33.4673626,-81.9542599,132450006002," Richmond County"," Georgia","Yes",355,355,100,220,220,100,13245000600,650,540,83.1,395,325,82.3,"Yes","Yes",13,245,600,2,0.0290319142765,3.52654208199965e-05,0.0290319131597772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","089","023419","3","1500000US130890234193","130890234193","3","BG","1191780","5888",55922,55922,13,89,23419,3,130890234193,"Block Group 3","G5030","S",1191780,5888,33.6532206,-84.2462545,130890234193," DeKalb County"," Georgia","Yes",530,320,60.4,350,235,67.1,13089023419,2660,1220,45.9,1630,790,48.5,"Yes","No",13,89,23419,3,0.0550785480238,0.000116410386453936,0.0550785486740032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","015","960901","2","1500000US130159609012","130159609012","2","BG","25558631","339338",57292,57292,13,15,960901,2,130159609012,"Block Group 2","G5030","S",25559118,348662,34.1076015,-84.8586985,130159609012," Bartow County"," Georgia","Yes",585,200,34.2,405,160,39.5,13015960901,945,450,47.6,670,360,53.7,"No","Yes",13,15,960901,2,0.27904181962,0.00253149833497446,0.279041821841246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"13","121","010114","2","1500000US131210101142","131210101142","2","BG","1466463","9922",52447,52447,13,121,10114,2,131210101142,"Block Group 2","G5030","S",1466463,9922,33.880894,-84.3712901,131210101142," Fulton County"," Georgia","Yes",960,495,51.6,735,335,45.6,13121010114,1520,860,56.6,1100,565,51.4,"Yes","Yes",13,121,10114,2,0.0561185346343,0.000143875517096603,0.0561185350553723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
