"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"15","007","041200","2","1500000US150070412002","150070412002","2","BG","429799","3058600",57864,57864,15,7,41200,2,150070412002,"Block Group 2","G5030","S",429799,3058600,21.6537007,-160.5411963,150070412002," Kauai County"," Hawaii","No",0,0,0,0,0,0,15007041200,0,0,0,0,0,0,"No","No",15,7,41200,2,0.0681055783428,0.000304364616113162,0.0681055781078267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","000111","3","1500000US150030001113","150030001113","3","BG","308745","0",58294,58294,15,3,111,3,150030001113,"Block Group 3","G5030","S",308745,0,21.3003611,-157.6792346,150030001113," Honolulu County"," Hawaii","No",100,0,0,45,0,0,15003000111,1000,80,8,720,80,11.1,"No","No",15,3,111,3,0.035835577709,2.68741277977824e-05,0.0358355778753022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","008920","4","1500000US150030089204","150030089204","4","BG","165451","0",57986,57986,15,3,8920,4,150030089204,"Block Group 4","G5030","S",165451,0,21.4190761,-157.9968839,150030089204," Honolulu County"," Hawaii","No",305,120,39.3,220,95,43.2,15003008920,1005,425,42.3,850,380,44.7,"No","No",15,3,8920,4,0.0156647407601,1.44127966450469e-05,0.0156647400860363,"150030089204",120,305,95,220,"150030089202",20,95,10,50,"150030089201",265,465,255,440,405,865,46.8208092485549,360,710,50.7042253521127
"15","003","008617","5","1500000US150030086175","150030086175","5","BG","188748","0",58019,58019,15,3,8617,5,150030086175,"Block Group 5","G5030","S",188748,0,21.3508407,-158.0262381,150030086175," Honolulu County"," Hawaii","No",0,0,0,0,0,0,15003008617,3075,425,13.8,1990,225,11.3,"No","No",15,3,8617,5,0.0170608826473,1.64347868576442e-05,0.017060881590299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","009502","1","1500000US150030095021","150030095021","1","BG","704455","0",58283,58283,15,3,9502,1,150030095021,"Block Group 1","G5030","S",704455,0,21.4964283,-158.0737963,150030095021," Honolulu County"," Hawaii","No",265,100,37.7,265,100,37.7,15003009502,2530,675,26.7,2280,625,27.4,"No","No",15,3,9502,1,0.0408719388455,6.13986856023985e-05,0.0408719387536536,"150030095021",100,265,100,265,"150030095011",610,1125,545,1025,"150030095072",0,0,0,0,710,1390,51.0791366906475,645,1290,50
"15","003","001300","1","1500000US150030013001","150030013001","1","BG","156299","0",58166,58166,15,3,1300,1,150030013001,"Block Group 1","G5030","S",156299,0,21.2843437,-157.810369,150030013001," Honolulu County"," Hawaii","No",130,0,0,100,0,0,15003001300,560,90,16.1,430,55,12.8,"No","No",15,3,1300,1,0.0179461645677,1.36032492719096e-05,0.0179461651851678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","006401","1","1500000US150030064011","150030064011","1","BG","201016","0",57954,57954,15,3,6401,1,150030064011,"Block Group 1","G5030","S",201016,0,21.339523,-157.8696157,150030064011," Honolulu County"," Hawaii","No",595,205,34.5,420,170,40.5,15003006401,595,205,34.5,420,170,40.5,"No","No",15,3,6401,1,0.0203641840186,1.75018305981212e-05,0.0203641832142505,"150030064011",205,595,170,420,"150030064023",45,555,15,430,"150030062021",765,815,510,560,1015,1965,51.6539440203562,695,1410,49.290780141844
"15","003","000200","5","1500000US150030002005","150030002005","5","BG","603854","666763",58081,58081,15,3,200,5,150030002005,"Block Group 5","G5030","S",603854,666763,21.2831535,-157.726692,150030002005," Honolulu County"," Hawaii","No",270,0,0,140,0,0,15003000200,1165,35,3,765,10,1.3,"No","No",15,3,200,5,0.0587834970228,0.000110586007849633,0.058783496222321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","006804","2","1500000US150030068042","150030068042","2","BG","440891","0",57846,57846,15,3,6804,2,150030068042,"Block Group 2","G5030","S",440891,0,21.3603104,-157.9140437,150030068042," Honolulu County"," Hawaii","No",1240,535,43.1,960,445,46.4,15003006804,2330,1010,43.3,1895,865,45.6,"No","No",15,3,6804,2,0.035821250775,3.83917947601731e-05,0.035821252447834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"15","003","011300","3","1500000US150030113003","150030113003","3","BG","952364","0",58129,58129,15,3,11300,3,150030113003,"Block Group 3","G5030","S",952364,0,21.3524786,-157.7237016,150030113003," Honolulu County"," Hawaii","Yes",155,0,0,105,0,0,15003011300,2030,925,45.6,1250,650,52,"No","Yes",15,3,11300,3,0.0562483358295,8.29258260637289e-05,0.0562483361060786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
