"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"16","005","001400","1","1500000US160050014001","160050014001","1","BG","1780759","0",58885,58885,16,5,1400,1,160050014001,"Block Group 1","G5030","S",1780759,0,42.9016073,-112.4615553,160050014001," Bannock County"," Idaho","Yes",215,165,76.7,165,140,84.8,16005001400,985,820,83.2,790,720,91.1,"Yes","Yes",16,5,1400,1,0.0645623432411,0.000196272522316576,0.0645623431282017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","003","950200","2","1500000US160039502002","160039502002","2","BG","892148012","2059219",58926,58926,16,3,950200,2,160039502002,"Block Group 2","G5030","S",892148014,2059219,44.6223698,-116.346928,160039502002," Adams County"," Idaho","Yes",135,105,77.8,40,30,75,16003950200,420,310,73.8,230,180,78.3,"Yes","Yes",16,3,950200,2,1.61578657134,0.101388166418928,1.61578657535097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","001","000500","2","1500000US160010005002","160010005002","2","BG","349217","129",59109,59109,16,1,500,2,160010005002,"Block Group 2","G5030","S",349217,129,43.6435212,-116.2221311,160010005002," Ada County"," Idaho","No",295,35,11.9,185,10,5.4,16001000500,1365,415,30.4,935,235,25.1,"No","No",16,1,500,2,0.0342965987795,3.89694523619255e-05,0.0342965994050896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","083","000800","1","1500000US160830008001","160830008001","1","BG","655802","0",59026,59026,16,83,800,1,160830008001,"Block Group 1","G5030","S",655802,0,42.5667914,-114.4652296,160830008001," Twin Falls County"," Idaho","Yes",490,190,38.8,380,125,32.9,16083000800,1445,785,54.3,1140,595,52.2,"No","Yes",16,83,800,1,0.0343073175604,7.18977257747611e-05,0.0343073158161266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","055","001002","2","1500000US160550010022","160550010022","2","BG","2697951","0",59417,59417,16,55,1002,2,160550010022,"Block Group 2","G5030","S",2697951,0,47.7641933,-116.7760885,160550010022," Kootenai County"," Idaho","No",670,290,43.3,395,180,45.6,16055001002,1185,405,34.2,775,280,36.1,"No","No",16,55,1002,2,0.0853362119295,0.000323688529533683,0.0853362110499172,"160550010022",290,670,180,395,"160550010013",270,320,195,230,"160550018002",25,150,20,70,585,1140,51.3157894736842,395,695,56.8345323741007
"16","005","001500","3","1500000US160050015003","160050015003","3","BG","960915","0",58812,58812,16,5,1500,3,160050015003,"Block Group 3","G5030","S",960915,0,42.9029905,-112.4858834,160050015003," Bannock County"," Idaho","Yes",295,210,71.2,220,190,86.4,16005001500,1825,1130,61.9,1425,915,64.2,"Yes","Yes",16,5,1500,3,0.049880356373,0.000105912807612185,0.0498803568178056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","001","002312","1","1500000US160010023121","160010023121","1","BG","1536073","2528",59238,59238,16,1,2312,1,160010023121,"Block Group 1","G5030","S",1535682,2919,43.6237797,-116.3052419,160010023121," Ada County"," Idaho","Yes",910,465,51.1,645,310,48.1,16001002312,1425,690,48.4,935,425,45.5,"Yes","No",16,1,2312,1,0.0583824907858,0.000171577126820921,0.0583824900310992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","011","940000","1","1500000US160119400001","160119400001","1","BG","774596734","68080",59399,59399,16,11,940000,1,160119400001,"Block Group 1","G5030","S",774627057,68080,43.0955365,-112.1516775,160119400001," Bingham County"," Idaho","Yes",335,240,71.6,260,190,73.1,16011940000,855,640,74.9,590,460,78,"Yes","Yes",16,11,940000,1,1.71038965072,0.0856813019017864,1.71038965028808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","069","960500","1","1500000US160699605001","160699605001","1","BG","1153365","0",59076,59076,16,69,960500,1,160699605001,"Block Group 1","G5030","S",1153368,0,46.3982437,-117.0281544,160699605001," Nez Perce County"," Idaho","No",160,0,0,120,0,0,16069960500,535,60,11.2,330,60,18.2,"No","No",16,69,960500,1,0.0489512913152,0.000134916409024299,0.0489512917220929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"16","019","970800","2","1500000US160199708002","160199708002","2","BG","281180","6492",58624,58624,16,19,970800,2,160199708002,"Block Group 2","G5030","S",281180,6492,43.4919416,-112.0085796,160199708002," Bonneville County"," Idaho","Yes",420,365,86.9,260,220,84.6,16019970800,1190,760,63.9,880,540,61.4,"Yes","Yes",16,19,970800,2,0.0256888906794,3.20105164064444e-05,0.025688888995122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
