"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"21","111","004900","1","1500000US211110049001","211110049001","1","BG","1908750","2290221",80098,80098,21,111,4900,1,211110049001,"Block Group 1","G5030","S",1908750,2290221,38.2588431,-85.7594828,211110049001," Jefferson County"," Kentucky","Yes",35,30,85.7,10,4,40,21111004900,155,150,96.8,100,95,95,"Yes","Yes",21,111,4900,1,0.0848893978441,0.000432217660090828,0.0848893989998914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","111","010311","3","1500000US211110103113","211110103113","3","BG","1101833","0",79037,79037,21,111,10311,3,211110103113,"Block Group 3","G5030","S",1101833,0,38.3118,-85.5238008,211110103113," Jefferson County"," Kentucky","No",555,110,19.8,390,95,24.4,21111010311,1915,590,30.8,1270,395,31.1,"No","No",21,111,10311,3,0.050974690547,0.000113495001414776,0.0509746922589022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","111","010001","3","1500000US211110100013","211110100013","3","BG","1038538","2253",81736,81736,21,111,10001,3,211110100013,"Block Group 3","G5030","S",1038538,2253,38.2639389,-85.6518933,211110100013," Jefferson County"," Kentucky","No",225,50,22.2,115,40,34.8,21111010001,815,185,22.7,560,125,22.3,"No","No",21,111,10001,3,0.0562486693114,0.000107138992234468,0.0562486708938328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","047","201501","2","1500000US210472015012","210472015012","2","BG","308993","0",80240,80240,21,47,201501,2,210472015012,"Block Group 2","G5030","S",308993,0,36.6712723,-87.4663953,210472015012," Christian County"," Kentucky","Yes",890,530,59.6,770,495,64.3,21047201501,2835,1680,59.3,2435,1455,59.8,"Yes","Yes",21,47,201501,2,0.0232975528482,3.11480466734793e-05,0.0232975532865297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","093","001001","3","1500000US210930010013","210930010013","3","BG","24235125","125175",81145,81145,21,93,1001,3,210930010013,"Block Group 3","G5030","S",24235125,125175,37.7567123,-85.8217871,210930010013," Hardin County"," Kentucky","Yes",430,175,40.7,260,165,63.5,21093001001,1815,590,32.5,1010,480,47.5,"Yes","No",21,93,1001,3,0.248251263986,0.00249068065454594,0.248251264192542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","067","002001","1","1500000US210670020011","210670020011","1","BG","412035","9390",80382,80382,21,67,2001,1,210670020011,"Block Group 1","G5030","S",412035,9390,38.0490299,-84.5462981,210670020011," Fayette County"," Kentucky","Yes",705,705,100,510,510,100,21067002001,1590,1380,86.8,1290,1165,90.3,"Yes","Yes",21,67,2001,1,0.0306107895874,4.32562355854316e-05,0.0306107881541753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","117","065300","4","1500000US211170653004","211170653004","4","BG","2461154","13199",81673,81673,21,117,65300,4,211170653004,"Block Group 4","G5030","S",2443415,13199,39.0035154,-84.4988156,211170653004," Kenton County"," Kentucky","Yes",635,380,59.8,465,285,61.3,21117065300,2435,890,36.6,1670,745,44.6,"Yes","No",21,117,65300,4,0.0838246638656,0.000255470680713188,0.0838246655041843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","111","011003","6","1500000US211110110036","211110110036","6","BG","665571","0",79718,79718,21,111,11003,6,211110110036,"Block Group 6","G5030","S",665571,0,38.1961773,-85.6421234,211110110036," Jefferson County"," Kentucky","No",235,0,0,170,0,0,21111011003,1160,440,37.9,975,430,44.1,"No","No",21,111,11003,6,0.0474471274838,6.84505937442736e-05,0.047447126854417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"21","151","011200","2","1500000US211510112002","211510112002","2","BG","2709474","2056",80961,80961,21,151,11200,2,211510112002,"Block Group 2","G5030","S",2709474,2056,37.5917499,-84.2854443,211510112002," Madison County"," Kentucky","No",640,260,40.6,470,225,47.9,21151011200,1535,715,46.6,1050,500,47.6,"No","No",21,151,11200,2,0.0873953201928,0.000276624141179127,0.0873953182834581,"211510112002",260,640,225,470,"211510113021",175,330,160,290,"211510112003",340,515,270,375,775,1485,52.1885521885522,655,1135,57.7092511013216
"21","227","010600","3","1500000US212270106003","212270106003","3","BG","2395725","0",81225,81225,21,227,10600,3,212270106003,"Block Group 3","G5030","S",2395725,0,36.9588068,-86.4389686,212270106003," Warren County"," Kentucky","Yes",470,410,87.2,470,410,87.2,21227010600,845,470,55.6,675,455,67.4,"Yes","Yes",21,227,10600,3,0.0700246815113,0.000242394533415791,0.0700246810072512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
