"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"24","047","951500","5","1500000US240479515005","240479515005","5","BG","1806019","70349",88098,88098,24,47,951500,5,240479515005,"Block Group 5","G5030","S",1806019,70349,38.064764,-75.570001,240479515005," Worcester County"," Maryland","Yes",55,20,36.4,0,0,0,24047951500,1375,820,59.6,855,545,63.7,"No","Yes",24,47,951500,5,0.0830634036043,0.000192633361393746,0.0830634026450083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","510","151200","5","1500000US245101512005","245101512005","5","BG","131342","0",87063,87063,24,510,151200,5,245101512005,"Block Group 5","G5030","S",131342,0,39.3329658,-76.6599639,245101512005," Baltimore city"," Maryland","Yes",270,250,92.6,180,160,88.9,24510151200,970,760,78.4,640,485,75.8,"Yes","Yes",24,510,151200,5,0.0185893522667,1.37212261961395e-05,0.0185893520140159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","510","250205","3","1500000US245102502053","245102502053","3","BG","106920","0",88227,88227,24,510,250205,3,245102502053,"Block Group 3","G5030","S",106920,0,39.2557919,-76.6439596,245102502053," Baltimore city"," Maryland","Yes",370,120,32.4,270,60,22.2,24510250205,1190,600,50.4,745,375,50.3,"No","Yes",24,510,250205,3,0.0152765675279,1.11577289771958e-05,0.0152765668573353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","510","010200","4","1500000US245100102004","245100102004","4","BG","147084","0",87106,87106,24,510,10200,4,245100102004,"Block Group 4","G5030","S",147084,0,39.2891209,-76.5746817,245100102004," Baltimore city"," Maryland","No",75,15,20,65,0,0,24510010200,435,155,35.6,410,130,31.7,"No","No",24,510,10200,4,0.017567020247,1.53563128151291e-05,0.0175670187668933,"245100102004",15,75,0,65,"245100601002",275,280,155,155,"245100601003",115,170,85,125,405,525,77.1428571428572,240,345,69.5652173913043
"24","510","150600","3","1500000US245101506003","245101506003","3","BG","92467","0",86938,86938,24,510,150600,3,245101506003,"Block Group 3","G5030","S",92467,0,39.3078,-76.665795,245101506003," Baltimore city"," Maryland","Yes",205,180,87.8,135,135,100,24510150600,610,490,80.3,400,335,83.8,"Yes","Yes",24,510,150600,3,0.0141023517405,9.65644517236797e-06,0.0141023535129646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","005","492001","2","1500000US240054920012","240054920012","2","BG","355696","0",87979,87979,24,5,492001,2,240054920012,"Block Group 2","G5030","S",355696,0,39.3857634,-76.5560938,240054920012," Baltimore County"," Maryland","No",55,4,7.3,35,4,11.4,24005492001,325,75,23.1,205,50,24.4,"No","No",24,5,492001,2,0.0288399243333,3.718710377143e-05,0.0288399231522521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","031","700812","1","1500000US240317008121","240317008121","1","BG","655346","0",89790,89790,24,31,700812,1,240317008121,"Block Group 1","G5030","S",655346,0,39.1736315,-77.1974025,240317008121," Montgomery County"," Maryland","Yes",635,275,43.3,400,200,50,24031700812,965,275,28.5,595,200,33.6,"Yes","No",24,31,700812,1,0.0386530288032,6.83106729866267e-05,0.0386530300381905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","510","270805","1","1500000US245102708051","245102708051","1","BG","212027","0",86988,86988,24,510,270805,1,245102708051,"Block Group 1","G5030","S",212027,0,39.3627405,-76.6003079,245102708051," Baltimore city"," Maryland","No",340,155,45.6,225,105,46.7,24510270805,1410,660,46.8,1105,520,47.1,"No","No",24,510,270805,1,0.0212575706901,2.21595107632311e-05,0.0212575716529184,"245102708051",155,340,105,225,"245102708042",155,200,155,170,"245102708024",210,710,95,240,520,1250,41.6,355,635,55.9055118110236
"24","510","280301","3","1500000US245102803013","245102803013","3","BG","1090188","0",90146,90146,24,510,280301,3,245102803013,"Block Group 3","G5030","S",1090192,0,39.3126252,-76.6983613,245102803013," Baltimore city"," Maryland","Yes",370,235,63.5,325,200,61.5,24510280301,855,450,52.6,690,320,46.4,"Yes","Yes",24,510,280301,3,0.0638561815071,0.000113859182874876,0.063856180631803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"24","005","408800","1","1500000US240054088001","240054088001","1","BG","1641926","0",88772,88772,24,5,408800,1,240054088001,"Block Group 1","G5030","S",1641928,0,39.4264458,-76.6255723,240054088001," Baltimore County"," Maryland","No",270,30,11.1,210,20,9.5,24005408800,485,40,8.2,345,35,10.1,"No","No",24,5,408800,1,0.0732842642866,0.000171757262705796,0.0732842641233354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
