"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"31","127","968200","1","1500000US311279682001","311279682001","1","BG","10096814","0",116087,116087,31,127,968200,1,311279682001,"Block Group 1","G5030","S",10121502,0,40.3999523,-95.8586515,311279682001," Nemaha County"," Nebraska","No",175,40,22.9,90,35,38.9,31127968200,930,355,38.2,560,245,43.8,"No","No",31,127,968200,1,0.195480173337,0.0010736947569967,0.19548017309833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","055","007002","3","1500000US310550070023","310550070023","3","BG","325446","0",116529,116529,31,55,7002,3,310550070023,"Block Group 3","G5030","S",325446,0,41.2288075,-95.9998887,310550070023," Douglas County"," Nebraska","No",90,0,0,80,0,0,31055007002,695,270,38.8,525,205,39,"No","No",31,55,7002,3,0.0264479706648,3.49508468389104e-05,0.0264479706271,"310550070023",0,90,0,80,"310550070013",105,155,85,140,"310550070024",95,135,70,90,200,380,52.6315789473684,155,310,50
"31","153","010204","2","1500000US311530102042","311530102042","2","BG","390937","0",115999,115999,31,153,10204,2,311530102042,"Block Group 2","G5030","S",390937,0,41.1360116,-95.9626175,311530102042," Sarpy County"," Nebraska","No",115,0,0,100,0,0,31153010204,1040,350,33.7,850,305,35.9,"No","No",31,153,10204,2,0.0300708589231,4.19257053181354e-05,0.0300708596368206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","159","960300","2","1500000US311599603002","311599603002","2","BG","1475404","0",115559,115559,31,159,960300,2,311599603002,"Block Group 2","G5030","S",1475404,0,40.922054,-97.096409,311599603002," Seward County"," Nebraska","No",340,75,22.1,220,70,31.8,31159960300,1005,260,25.9,635,210,33.1,"No","No",31,159,960300,2,0.0557913295667,0.000157723045276725,0.0557913298751082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","109","002702","2","1500000US311090027022","311090027022","2","BG","654684","0",116711,116711,31,109,2702,2,311090027022,"Block Group 2","G5030","S",654684,0,40.7642409,-96.6576703,311090027022," Lancaster County"," Nebraska","No",110,15,13.6,55,15,27.3,31109002702,1225,320,26.1,955,265,27.7,"No","No",31,109,2702,2,0.0380889664133,6.98226579061156e-05,0.0380889670833347,"311090027022",15,110,15,55,"311090027012",110,200,55,105,"311090027023",220,315,190,265,345,625,55.2,260,425,61.1764705882353
"31","145","963300","1","1500000US311459633001","311459633001","1","BG","398117","0",115757,115757,31,145,963300,1,311459633001,"Block Group 1","G5030","S",398117,0,40.2042477,-100.6284804,311459633001," Red Willow County"," Nebraska","No",165,45,27.3,75,20,26.7,31145963300,860,385,44.8,490,220,44.9,"No","No",31,145,963300,1,0.0267771001757,4.21124623244395e-05,0.0267770997089375,"311459633001",45,165,20,75,"311459633003",135,150,80,80,"311459632003",165,290,105,215,345,605,57.0247933884297,205,370,55.4054054054054
"31","033","954900","1","1500000US310339549001","310339549001","1","BG","4052691","0",117050,117050,31,33,954900,1,310339549001,"Block Group 1","G5030","S",4052763,0,41.1534446,-102.9995625,310339549001," Cheyenne County"," Nebraska","Yes",195,110,56.4,125,110,88,31033954900,1145,275,24,725,245,33.8,"Yes","No",31,33,954900,1,0.0971595018049,0.000434748189036327,0.0971595012898865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","011","960200","2","1500000US310119602002","310119602002","2","BG","22631927","0",116844,116844,31,11,960200,2,310119602002,"Block Group 2","G5030","S",22631911,0,41.663438,-98.0250448,310119602002," Boone County"," Nebraska","No",110,20,18.2,60,4,6.7,31011960200,390,75,19.2,275,35,12.7,"No","No",31,11,960200,2,0.222576347232,0.00244661652413924,0.222576347128111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","109","001101","1","1500000US311090011011","311090011011","1","BG","1601949","0",116737,116737,31,109,1101,1,311090011011,"Block Group 1","G5030","S",1601949,0,40.8469994,-96.6153858,311090011011," Lancaster County"," Nebraska","No",475,80,16.8,310,4,1.3,31109001101,995,110,11.1,610,25,4.1,"No","No",31,109,1101,1,0.0561121856916,0.00017105786355387,0.0561121846941637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","157","953700","3","1500000US311579537003","311579537003","3","BG","510521","0",116295,116295,31,157,953700,3,311579537003,"Block Group 3","G5030","S",510419,0,41.8585743,-103.6545387,311579537003," Scotts Bluff County"," Nebraska","Yes",160,150,93.8,115,115,100,31157953700,1145,860,75.1,685,565,82.5,"Yes","Yes",31,157,953700,3,0.0401151136296,5.53442528143933e-05,0.0401151138935257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","035","962100","4","1500000US310359621004","310359621004","4","BG","34848200","127446",116951,116951,31,35,962100,4,310359621004,"Block Group 4","G5030","S",34848200,127446,40.58614,-97.8761156,310359621004," Clay County"," Nebraska","No",215,50,23.3,160,40,25,31035962100,985,470,47.7,685,320,46.7,"No","No",31,35,962100,4,0.277610056886,0.00372049730754043,0.277610057957531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","109","001200","2","1500000US311090012002","311090012002","2","BG","1119154","0",116746,116746,31,109,1200,2,311090012002,"Block Group 2","G5030","S",1119154,0,40.8168368,-96.6144546,311090012002," Lancaster County"," Nebraska","No",455,35,7.7,330,35,10.6,31109001200,1645,355,21.6,1245,275,22.1,"No","No",31,109,1200,2,0.0529658770157,0.000119451985710839,0.0529658756536088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","019","969600","2","1500000US310199696002","310199696002","2","BG","403243","0",115619,115619,31,19,969600,2,310199696002,"Block Group 2","G5030","S",403243,0,40.6995914,-99.0950993,310199696002," Buffalo County"," Nebraska","Yes",100,45,45,70,45,64.3,31019969600,790,495,62.7,560,395,70.5,"Yes","Yes",31,19,969600,2,0.0373546162047,4.29649383022479e-05,0.0373546156530122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
