"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"32","007","950200","1","1500000US320079502001","320079502001","1","BG","7389288682","32984040",118892,118892,32,7,950200,1,320079502001,"Block Group 1","G5030","S",7389288682,32984040,40.6298333,-115.0099297,320079502001," Elko County"," Nevada","No",365,75,20.5,270,65,24.1,32007950200,650,165,25.4,520,140,26.9,"No","No",32,7,950200,1,4.82800402397,0.790122594209151,4.82800401797588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","031","003511","2","1500000US320310035112","320310035112","2","BG","1583934","146552",118480,118480,32,31,3511,2,320310035112,"Block Group 2","G5030","S",1583934,146552,39.6177105,-119.6849549,320310035112," Washoe County"," Nevada","No",480,45,9.4,275,40,14.5,32031003511,1455,210,14.4,895,170,19,"No","No",32,31,3511,2,0.0599120396233,0.000181509051799367,0.0599120395750338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","002841","1","1500000US320030028411","320030028411","1","BG","6858546","0",118837,118837,32,3,2841,1,320030028411,"Block Group 1","G5030","S",6858546,0,35.99713,-115.1699053,320030028411," Clark County"," Nevada","No",425,30,7.1,325,15,4.6,32003002841,655,70,10.7,450,15,3.3,"No","No",32,3,2841,1,0.134643085338,0.00068552306811398,0.134643086217756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","000101","3","1500000US320030001013","320030001013","3","BG","1188253","0",117950,117950,32,3,101,3,320030001013,"Block Group 3","G5030","S",1188253,0,36.1847095,-115.1979105,320030001013," Clark County"," Nevada","Yes",170,80,47.1,130,70,53.8,32003000101,2130,1280,60.1,1420,870,61.3,"Yes","Yes",32,3,101,3,0.0473379148118,0.000119046788768173,0.0473379157679193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","510","000502","3","1500000US325100005023","325100005023","3","BG","645454","0",117198,117198,32,510,502,3,325100005023,"Block Group 3","G5030","S",645454,0,39.1767599,-119.7478302,325100005023," Carson City"," Nevada","Yes",265,200,75.5,225,200,88.9,32510000502,645,440,68.2,535,440,82.2,"Yes","Yes",32,510,502,3,0.0408384600236,6.72826090521994e-05,0.0408384594656034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","003104","1","1500000US320030031041","320030031041","1","BG","448698","0",118371,118371,32,3,3104,1,320030031041,"Block Group 1","G5030","S",448698,0,36.1836127,-115.2402898,320030031041," Clark County"," Nevada","Yes",570,425,74.6,480,370,77.1,32003003104,875,605,69.1,685,480,70.1,"Yes","Yes",32,3,3104,1,0.0374487932852,4.49527292403218e-05,0.037448793271853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","003419","5","1500000US320030034195","320030034195","5","BG","206257","0",117247,117247,32,3,3419,5,320030034195,"Block Group 5","G5030","S",206257,0,36.1974096,-115.2298072,320030034195," Clark County"," Nevada","Yes",625,595,95.2,440,425,96.6,32003003419,2040,1510,74,1465,1070,73,"Yes","Yes",32,3,3419,5,0.0194641895032,2.06673416869307e-05,0.0194641893615518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","001804","1","1500000US320030018041","320030018041","1","BG","327420","0",117303,117303,32,3,1804,1,320030018041,"Block Group 1","G5030","S",327420,0,36.1407218,-115.1076399,320030018041," Clark County"," Nevada","Yes",310,295,95.2,245,230,93.9,32003001804,1025,875,85.4,740,620,83.8,"Yes","Yes",32,3,1804,1,0.0236353847303,3.27849425048043e-05,0.0236353846493297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","000526","2","1500000US320030005262","320030005262","2","BG","331155","0",118181,118181,32,3,526,2,320030005262,"Block Group 2","G5030","S",331155,0,36.1828625,-115.1030748,320030005262," Clark County"," Nevada","Yes",535,325,60.7,365,220,60.3,32003000526,1020,625,61.3,710,440,62,"Yes","Yes",32,3,526,2,0.0261964978324,3.31762721543782e-05,0.0261964973318192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"32","003","005852","1","1500000US320030058521","320030058521","1","BG","657871","0",117559,117559,32,3,5852,1,320030058521,"Block Group 1","G5030","S",657871,0,36.0813815,-115.3111057,320030058521," Clark County"," Nevada","No",445,20,4.5,290,0,0,32003005852,1285,265,20.6,885,180,20.3,"No","No",32,3,5852,1,0.0325582346775,6.5824574448925e-05,0.0325582348323393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
