"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"37","105","030702","3","1500000US371050307023","371050307023","3","BG","21321071","279876",144210,144210,37,105,30702,3,371050307023,"Block Group 3","G5030","S",21321071,279876,35.443424,-79.0725865,371050307023," Lee County"," North Carolina","Yes",220,85,38.6,165,85,51.5,37105030702,1025,445,43.4,680,300,44.1,"Yes","No",37,105,30702,3,0.215703490122,0.00214434567624266,0.215703490682886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","179","020308","3","1500000US371790203083","371790203083","3","BG","13308522","61048",145014,145014,37,179,20308,3,371790203083,"Block Group 3","G5030","S",13308522,61048,34.9768997,-80.6414317,371790203083," Union County"," North Carolina","No",380,95,25,225,40,17.8,37179020308,1800,480,26.7,1190,320,26.9,"No","No",37,179,20308,3,0.163211532525,0.00131987817576373,0.163211531319648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","081","014411","3","1500000US370810144113","370810144113","3","BG","1066164","0",147727,147727,37,81,14411,3,370810144113,"Block Group 3","G5030","S",1066163,0,35.9843883,-79.981995,370810144113," Guilford County"," North Carolina","Yes",535,485,90.7,330,320,97,37081014411,1310,955,72.9,925,665,71.9,"Yes","Yes",37,81,14411,3,0.0450359139401,0.000106547822042558,0.0450359144225631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","107","010500","2","1500000US371070105002","371070105002","2","BG","3525032","0",143199,143199,37,107,10500,2,371070105002,"Block Group 2","G5030","S",3525032,0,35.2838907,-77.5665565,371070105002," Lenoir County"," North Carolina","Yes",600,560,93.3,475,475,100,37107010500,1085,910,83.9,700,650,92.9,"Yes","Yes",37,107,10500,2,0.0925552760447,0.000349257404650416,0.0925552758618849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","067","001000","1","1500000US370670010001","370670010001","1","BG","455246","0",145250,145250,37,67,1000,1,370670010001,"Block Group 1","G5030","S",455246,0,36.0875682,-80.2626378,370670010001," Forsyth County"," North Carolina","Yes",110,85,77.3,90,70,77.8,37067001000,1155,895,77.5,975,770,79,"Yes","Yes",37,67,1000,1,0.0310744789318,4.55537631296465e-05,0.031074478604967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","081","011300","2","1500000US370810113002","370810113002","2","BG","2290978","0",148108,148108,37,81,11300,2,370810113002,"Block Group 2","G5030","S",2290978,0,36.0458261,-79.7848201,370810113002," Guilford County"," North Carolina","Yes",300,285,95,220,215,97.7,37081011300,785,740,94.3,575,550,95.7,"Yes","Yes",37,81,11300,2,0.0626733403445,0.000229126179192463,0.0626733401462373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","183","054402","1","1500000US371830544021","371830544021","1","BG","7116921","64069",149101,149101,37,183,54402,1,371830544021,"Block Group 1","G5030","S",7116920,64069,35.7775255,-78.3513258,371830544021," Wake County"," North Carolina","Yes",340,130,38.2,210,65,31,37183054402,1715,750,43.7,1165,585,50.2,"No","Yes",37,183,54402,1,0.124173325117,0.000715791910579355,0.124173323212905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","183","053424","2","1500000US371830534242","371830534242","2","BG","1047516","0",146420,146420,37,183,53424,2,371830534242,"Block Group 2","G5030","S",1047516,0,35.7761291,-78.8414678,371830534242," Wake County"," North Carolina","No",560,15,2.7,355,4,1.1,37183053424,1285,35,2.7,790,15,1.9,"No","No",37,183,53424,2,0.0639177472083,0.000104414478983017,0.0639177479640295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","081","012511","1","1500000US370810125111","370810125111","1","BG","1927736","1303",144824,144824,37,81,12511,1,370810125111,"Block Group 1","G5030","S",1927736,1303,36.0924028,-79.8521713,370810125111," Guilford County"," North Carolina","No",340,0,0,255,0,0,37081012511,935,70,7.5,540,55,10.2,"No","No",37,81,12511,1,0.0697275811814,0.000193044701291001,0.0697275794668653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","025","042402","1","1500000US370250424021","370250424021","1","BG","1436074","0",145934,145934,37,25,42402,1,370250424021,"Block Group 1","G5030","S",1436074,0,35.4360218,-80.610537,370250424021," Cabarrus County"," North Carolina","Yes",725,390,53.8,520,300,57.7,37025042402,1950,905,46.4,1335,670,50.2,"Yes","Yes",37,25,42402,1,0.0530974460327,0.000142548678923049,0.0530974459863333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","063","002015","1","1500000US370630020151","370630020151","1","BG","1285518","2104",148668,148668,37,63,2015,1,370630020151,"Block Group 1","G5030","S",1285518,2104,35.9669854,-78.9376877,370630020151," Durham County"," North Carolina","Yes",775,690,89,510,455,89.2,37063002015,1215,855,70.4,715,530,74.1,"Yes","Yes",37,63,2015,1,0.0571175325129,0.000128653224010122,0.0571175315387603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","081","013800","4","1500000US370810138004","370810138004","4","BG","168410","0",146095,146095,37,81,13800,4,370810138004,"Block Group 4","G5030","S",168410,0,35.9652005,-79.9921626,370810138004," Guilford County"," North Carolina","Yes",245,235,95.9,180,170,94.4,37081013800,1345,1210,90,975,870,89.2,"Yes","Yes",37,81,13800,4,0.016338627219,1.68261876751785e-05,0.0163386271676202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","183","050300","1","1500000US371830503001","371830503001","1","BG","694868","0",144094,144094,37,183,50300,1,371830503001,"Block Group 1","G5030","S",694868,0,35.7933887,-78.6480011,371830503001," Wake County"," North Carolina","No",125,4,3.2,70,0,0,37183050300,135,4,3,80,0,0,"No","No",37,183,50300,1,0.0327572417104,6.9277845113902e-05,0.0327572408236823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"37","001","021000","3","1500000US370010210003","370010210003","3","BG","814890","0",145904,145904,37,1,21000,3,370010210003,"Block Group 3","G5030","S",814890,0,36.0734185,-79.4065332,370010210003," Alamance County"," North Carolina","Yes",190,130,68.4,95,70,73.7,37001021000,970,835,86.1,600,510,85,"Yes","Yes",37,1,21000,3,0.0371942576986,8.15270900602627e-05,0.0371942567511964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
