"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"39","093","093100","2","1500000US390930931002","390930931002","2","BG","80164341","586634",157493,157493,39,93,93100,2,390930931002,"Block Group 2","G5030","S",80164341,586634,41.2308238,-82.2268779,390930931002," Lorain County"," Ohio","No",375,10,2.7,215,10,4.7,39093093100,620,105,16.9,380,70,18.4,"No","No",39,93,93100,2,0.411927744996,0.00867315077334752,0.411927745014905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","061","021572","4","1500000US390610215724","390610215724","4","BG","2162084","0",158581,158581,39,61,21572,4,390610215724,"Block Group 4","G5030","S",2162084,0,39.2804819,-84.5337246,390610215724," Hamilton County"," Ohio","Yes",240,15,6.3,195,15,7.7,39061021572,1715,870,50.7,1405,715,50.9,"No","Yes",39,61,21572,4,0.0676681369565,0.000225705241064134,0.0676681354626738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","035","140500","3","1500000US390351405003","390351405003","3","BG","497593","0",155303,155303,39,35,140500,3,390351405003,"Block Group 3","G5030","S",497593,0,41.5278366,-81.5375685,390351405003," Cuyahoga County"," Ohio","Yes",645,465,72.1,480,355,74,39035140500,1120,735,65.6,770,525,68.2,"Yes","Yes",39,35,140500,3,0.0321782570928,5.36806408035773e-05,0.0321782567064175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","057","240200","4","1500000US390572402004","390572402004","4","BG","1247406","0",153576,153576,39,57,240200,4,390572402004,"Block Group 4","G5030","S",1247406,0,39.6866865,-83.955912,390572402004," Greene County"," Ohio","Yes",245,185,75.5,155,110,71,39057240200,1210,815,67.4,955,645,67.5,"Yes","Yes",39,57,240200,4,0.0886478944443,0.000130967667701043,0.0886478961761888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","049","009362","1","1500000US390490093621","390490093621","1","BG","948543","926",156089,156089,39,49,9362,1,390490093621,"Block Group 1","G5030","S",948543,926,39.9682441,-82.8321835,390490093621," Franklin County"," Ohio","No",190,15,7.9,95,15,15.8,39049009362,1725,605,35.1,1125,420,37.3,"No","No",39,49,9362,1,0.0617847070355,0.000100091286185489,0.0617847074639662,"390490093621",15,190,15,95,"390490093625",260,460,130,275,"390490093611",330,345,265,280,605,995,60.8040201005025,410,650,63.0769230769231
"39","025","040404","2","1500000US390250404042","390250404042","2","BG","2487559","0",149976,149976,39,25,40404,2,390250404042,"Block Group 2","G5030","S",2487559,0,39.1990824,-84.2566913,390250404042," Clermont County"," Ohio","No",325,30,9.2,175,0,0,39025040404,845,35,4.1,535,0,0,"No","No",39,25,40404,2,0.0718079283477,0.000259385673871293,0.0718079294299284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","109","340100","1","1500000US391093401001","391093401001","1","BG","20861223","32021",156983,156983,39,109,340100,1,391093401001,"Block Group 1","G5030","S",20861223,32021,39.9733726,-84.4122795,391093401001," Miami County"," Ohio","Yes",265,140,52.8,205,105,51.2,39109340100,1075,260,24.2,715,205,28.7,"Yes","No",39,109,340100,1,0.193667020498,0.00220285214663818,0.193667019779833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","133","602000","1","1500000US391336020001","391336020001","1","BG","21312015","54593",153634,153634,39,133,602000,1,391336020001,"Block Group 1","G5030","S",21312015,54593,41.0046111,-81.2255619,391336020001," Portage County"," Ohio","No",285,80,28.1,95,40,42.1,39133602000,980,220,22.4,420,150,35.7,"No","No",39,133,602000,1,0.188854322726,0.00228710858868908,0.188854323247766,"391336020001",80,285,40,95,"391517109002",65,110,40,75,"391336020004",95,225,75,110,240,620,38.7096774193548,155,280,55.3571428571429
"39","035","105400","5","1500000US390351054005","390351054005","5","BG","136437","0",154390,154390,39,35,105400,5,390351054005,"Block Group 5","G5030","S",136437,0,41.4493454,-81.7054343,390351054005," Cuyahoga County"," Ohio","Yes",155,145,93.5,95,85,89.5,39035105400,1060,825,77.8,735,620,84.4,"Yes","Yes",39,35,105400,5,0.0220454598358,1.4701411828355e-05,0.0220454623128396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"39","153","532902","3","1500000US391535329023","391535329023","3","BG","4643702","47002",155179,155179,39,153,532902,3,391535329023,"Block Group 3","G5030","S",4643702,47002,41.1868719,-81.5013536,391535329023," Summit County"," Ohio","Yes",730,420,57.5,570,315,55.3,39153532902,2315,590,25.5,1435,405,28.2,"Yes","No",39,153,532902,3,0.105240654098,0.00050348525633126,0.105240655685641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
