"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"45","019","004611","3","1500000US450190046113","450190046113","3","BG","3073658","111744",177600,177600,45,19,4611,3,450190046113,"Block Group 3","G5030","S",3073652,111744,32.8083009,-79.8453036,450190046113," Charleston County"," South Carolina","No",385,55,14.3,255,40,15.7,45019004611,1690,360,21.3,1210,255,21.1,"No","No",45,19,4611,3,0.0902446061687,0.000306692015101362,0.0902446060413092,"450190046113",55,385,40,255,"450190046064",360,620,320,550,"450190046111",170,230,130,175,585,1235,47.3684210526316,490,980,50
"45","015","020724","2","1500000US450150207242","450150207242","2","BG","310081","0",177764,177764,45,15,20724,2,450150207242,"Block Group 2","G5030","S",310034,0,32.9677243,-79.9699807,450150207242," Berkeley County"," South Carolina","No",0,0,0,0,0,0,45015020724,435,115,26.4,350,110,31.4,"No","No",45,15,20724,2,0.0281691431402,2.990260804836e-05,0.0281691435813082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","019","003800","3","1500000US450190038003","450190038003","3","BG","939983","0",176378,176378,45,19,3800,3,450190038003,"Block Group 3","G5030","S",939983,0,32.8577616,-80.0069992,450190038003," Charleston County"," South Carolina","Yes",170,105,61.8,55,35,63.6,45019003800,605,360,59.5,375,255,68,"Yes","Yes",45,19,3800,3,0.0509835724369,9.05504382444633e-05,0.0509835716064749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","011","970300","1","1500000US450119703001","450119703001","1","BG","3468891","13002",177117,177117,45,11,970300,1,450119703001,"Block Group 1","G5030","S",3468891,13002,33.2329486,-81.3656566,450119703001," Barnwell County"," South Carolina","Yes",415,165,39.8,315,65,20.6,45011970300,1205,680,56.4,825,445,53.9,"No","Yes",45,11,970300,1,0.0922113230177,0.000336812595151059,0.0922113229567795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","003","020802","2","1500000US450030208022","450030208022","2","BG","2419328","273748",178264,178264,45,3,20802,2,450030208022,"Block Group 2","G5030","S",2419327,273748,33.485424,-81.9620625,450030208022," Aiken County"," South Carolina","Yes",110,90,81.8,45,45,100,45003020802,1205,625,51.9,810,475,58.6,"Yes","Yes",45,3,20802,2,0.0769900769141,0.000261258167483902,0.0769900775311719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","045","003012","2","1500000US450450030122","450450030122","2","BG","1847724","338",177813,177813,45,45,3012,2,450450030122,"Block Group 2","G5030","S",1847724,338,34.7221691,-82.2727304,450450030122," Greenville County"," South Carolina","No",705,210,29.8,485,180,37.1,45045003012,1385,590,42.6,980,485,49.5,"No","No",45,45,3012,2,0.0673880570383,0.000181873464043747,0.0673880564253467,"450450030122",210,705,180,485,"450450030132",340,915,260,575,"450450030121",335,420,270,335,885,2040,43.3823529411765,710,1395,50.8960573476703
"45","071","950502","2","1500000US450719505022","450719505022","2","BG","3435573","13680",176676,176676,45,71,950502,2,450719505022,"Block Group 2","G5030","S",3435573,13680,34.3055238,-81.6273418,450719505022," Newberry County"," South Carolina","Yes",60,60,100,40,40,100,45071950502,1630,1010,62,1320,865,65.5,"Yes","Yes",45,71,950502,2,0.0766951490906,0.000337781087864641,0.076695147681857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","015","020722","2","1500000US450150207222","450150207222","2","BG","579705","0",177342,177342,45,15,20722,2,450150207222,"Block Group 2","G5030","S",579705,0,33.0092501,-80.0631565,450150207222," Berkeley County"," South Carolina","No",185,15,8.1,120,15,12.5,45015020722,715,260,36.4,425,140,32.9,"No","No",45,15,20722,2,0.031036730788,5.59382333449321e-05,0.0310367307582738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","045","001804","2","1500000US450450018042","450450018042","2","BG","1141169","0",176166,176166,45,45,1804,2,450450018042,"Block Group 2","G5030","S",1141169,0,34.8904835,-82.3039705,450450018042," Greenville County"," South Carolina","Yes",305,150,49.2,235,125,53.2,45045001804,975,410,42.1,625,270,43.2,"Yes","No",45,45,1804,2,0.0461605048774,0.000112531769218549,0.0461605059469849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"45","079","010412","1","1500000US450790104121","450790104121","1","BG","772065","55707",177439,177439,45,79,10412,1,450790104121,"Block Group 1","G5030","S",772065,55707,34.0419362,-81.0832146,450790104121," Richland County"," South Carolina","Yes",235,175,74.5,220,175,79.5,45079010412,660,305,46.2,465,245,52.7,"Yes","Yes",45,79,10412,1,0.0541075594142,8.08169152151095e-05,0.0541075586243696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
