"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"46","107","000100","1","1500000US461070001001","461070001001","1","BG","10388194","0",178542,178542,46,107,100,1,461070001001,"Block Group 1","G5030","S",10388194,0,45.0135955,-99.9601369,461070001001," Potter County"," South Dakota","No",300,105,35,180,70,38.9,46107000100,505,195,38.6,310,135,43.5,"No","No",46,107,100,1,0.139771242206,0.00118581546348651,0.139771241404063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","123","971600","2","1500000US461239716002","461239716002","2","BG","2070857194","9129387",178537,178537,46,123,971600,2,461239716002,"Block Group 2","G5030","S",2070834120,9129387,43.5303572,-99.8731426,461239716002," Tripp County"," South Dakota","Yes",275,155,56.4,215,120,55.8,46123971600,490,225,45.9,370,170,45.9,"Yes","No",46,123,971600,2,2.91307860931,0.231535235136562,2.91307860811044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","099","010102","1","1500000US460990101021","460990101021","1","BG","31779540","404288",178447,178447,46,99,10102,1,460990101021,"Block Group 1","G5030","S",31850907,332831,43.8209599,-96.7405409,460990101021," Minnehaha County"," South Dakota","No",925,225,24.3,735,145,19.7,46099010102,1245,275,22.1,875,195,22.3,"No","No",46,99,10102,1,0.258249544838,0.00360054673274135,0.258249545468822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","013","951700","1","1500000US460139517001","460139517001","1","BG","1070196","0",178765,178765,46,13,951700,1,460139517001,"Block Group 1","G5030","S",1135050,0,45.4608766,-98.5010821,460139517001," Brown County"," South Dakota","No",285,110,38.6,230,105,45.7,46013951700,1420,525,37,1065,425,39.9,"No","No",46,13,951700,1,0.0484266116451,0.000130577198888204,0.0484266118642323,"460139517001",110,285,105,230,"460139515002",90,310,90,270,"460139516002",170,250,160,180,370,845,43.7869822485207,355,680,52.2058823529412
"46","103","010904","1","1500000US461030109041","461030109041","1","BG","1366664","0",178420,178420,46,103,10904,1,461030109041,"Block Group 1","G5030","S",1365904,0,44.0495304,-103.2021709,461030109041," Pennington County"," South Dakota","Yes",520,335,64.4,395,250,63.3,46103010904,1125,625,55.6,815,460,56.4,"Yes","Yes",46,103,10904,1,0.0568172109724,0.000153393925302225,0.0568172110648198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","015","973100","2","1500000US460159731002","460159731002","2","BG","149347004","797577",178846,178846,46,15,973100,2,460159731002,"Block Group 2","G5030","S",149349828,797577,43.7359361,-98.9663546,460159731002," Brule County"," South Dakota","No",140,40,28.6,110,25,22.7,46015973100,640,280,43.8,425,175,41.2,"No","No",46,15,973100,2,0.537192121356,0.0167743255606183,0.537192120184487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","005","957000","2","1500000US460059570002","460059570002","2","BG","538342","0",178886,178886,46,5,957000,2,460059570002,"Block Group 2","G5030","S",538342,0,44.3532715,-98.2242564,460059570002," Beadle County"," South Dakota","Yes",80,25,31.3,50,15,30,46005957000,1585,915,57.7,1365,855,62.6,"No","Yes",46,5,957000,2,0.0323888384286,6.07653028055211e-05,0.0323888391379687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","099","000100","4","1500000US460990001004","460990001004","4","BG","1121209","34840",178431,178431,46,99,100,4,460990001004,"Block Group 4","G5030","S",1121209,34840,43.5627092,-96.7263466,460990001004," Minnehaha County"," South Dakota","Yes",215,165,76.7,165,140,84.8,46099000100,875,630,72,690,515,74.6,"Yes","Yes",46,99,100,4,0.0563501926399,0.000128779406168178,0.0563501926484464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"46","013","951400","4","1500000US460139514004","460139514004","4","BG","1385895","0",178839,178839,46,13,951400,4,460139514004,"Block Group 4","G5030","S",1348448,0,45.4699498,-98.4643548,460139514004," Brown County"," South Dakota","No",155,10,6.5,105,0,0,46013951400,1520,205,13.5,1090,135,12.4,"No","No",46,13,951400,4,0.0563373330771,0.000155151397393638,0.0563373329634363,"460139514004",10,155,0,105,"460139515001",145,280,115,180,"460139518002",120,120,70,70,275,555,49.5495495495495,185,355,52.112676056338
"46","083","010104","3","1500000US460830101043","460830101043","3","BG","1990442","0",178780,178780,46,83,10104,3,460830101043,"Block Group 3","G5030","S",1990442,0,43.4951306,-96.7180344,460830101043," Lincoln County"," South Dakota","No",385,0,0,165,0,0,46083010104,3080,65,2.1,2215,65,2.9,"No","No",46,83,10104,3,0.0661446553803,0.000221496922222286,0.0661446569788889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
