"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"54","003","971600","4","1500000US540039716004","540039716004","4","BG","242141","0",212256,212256,54,3,971600,4,540039716004,"Block Group 4","G5030","S",242141,0,39.4596796,-77.971429,540039716004," Berkeley County"," West Virginia","Yes",240,210,87.5,200,175,87.5,54003971600,970,610,62.9,790,525,66.5,"Yes","Yes",54,3,971600,4,0.0219992170401,2.5341636956e-05,0.0219992186463675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","107","011000","3","1500000US541070110003","541070110003","3","BG","1104550","465931",211358,211358,54,107,11000,3,541070110003,"Block Group 3","G5030","S",1104550,465931,39.26776,-81.5612864,541070110003," Wood County"," West Virginia","Yes",40,40,100,40,40,100,54107011000,620,345,55.6,395,220,55.7,"Yes","Yes",54,107,11000,3,0.0620080002077,0.000163917099143873,0.0620080048242318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","071","970400","1","1500000US540719704001","540719704001","1","BG","368665133","869514",212358,212358,54,71,970400,1,540719704001,"Block Group 1","G5030","S",368665133,869514,38.8302287,-79.4471602,540719704001," Pendleton County"," West Virginia","Yes",160,110,68.8,115,80,69.6,54071970400,265,155,58.5,185,105,56.8,"Yes","Yes",54,71,970400,1,1.2185408769,0.0383337985174421,1.21854087499744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","107","010200","2","1500000US541070102002","541070102002","2","BG","560166","0",212131,212131,54,107,10200,2,541070102002,"Block Group 2","G5030","S",560167,0,39.401198,-81.4512819,541070102002," Wood County"," West Virginia","No",105,25,23.8,65,20,30.8,54107010200,610,145,23.8,400,110,27.5,"No","No",54,107,10200,2,0.0316980842282,5.85764323659532e-05,0.0316980870316669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","049","020200","4","1500000US540490202004","540490202004","4","BG","331320","0",211553,211553,54,49,20200,4,540490202004,"Block Group 4","G5030","S",331320,0,39.4847974,-80.1604139,540490202004," Marion County"," West Virginia","Yes",50,50,100,50,50,100,54049020200,505,325,64.4,440,285,64.8,"Yes","Yes",54,49,20200,4,0.0269459440226,3.46870274370303e-05,0.0269459451332604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","011","001200","3","1500000US540110012003","540110012003","3","BG","376498","0",212555,212555,54,11,1200,3,540110012003,"Block Group 3","G5030","S",376498,0,38.4088872,-82.4594596,540110012003," Cabell County"," West Virginia","No",160,45,28.1,125,45,36,54011001200,515,140,27.2,365,120,32.9,"No","No",54,11,1200,3,0.0285304519496,3.88327046039194e-05,0.0285304505463817,"540110012003",45,160,45,125,"540110012002",75,215,55,125,"540110021001",175,280,165,225,295,655,45.0381679389313,265,475,55.7894736842105
"54","055","001400","3","1500000US540550014003","540550014003","3","BG","1066146","3470",212100,212100,54,55,1400,3,540550014003,"Block Group 3","G5030","S",1066146,3470,37.3628542,-81.1059048,540550014003," Mercer County"," West Virginia","Yes",150,95,63.3,120,80,66.7,54055001400,410,245,59.8,300,195,65,"Yes","Yes",54,55,1400,3,0.0458428939698,0.000108791894490423,0.0458428936356999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","061","010202","2","1500000US540610102022","540610102022","2","BG","223282","0",211422,211422,54,61,10202,2,540610102022,"Block Group 2","G5030","S",223282,0,39.6448003,-79.9490093,540610102022," Monongalia County"," West Virginia","Yes",35,35,100,20,20,100,54061010202,295,125,42.4,170,55,32.4,"Yes","No",54,61,10202,2,0.032139067032,2.34287431339908e-05,0.0321390684674583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","055","002000","2","1500000US540550020002","540550020002","2","BG","1164167","0",212101,212101,54,55,2000,2,540550020002,"Block Group 2","G5030","S",1164167,0,37.2607718,-81.2283039,540550020002," Mercer County"," West Virginia","Yes",60,45,75,30,20,66.7,54055002000,700,380,54.3,485,280,57.7,"Yes","Yes",54,55,2000,2,0.0512665559001,0.000118250819014065,0.0512665559732782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","107","010300","2","1500000US541070103002","541070103002","2","BG","979542","0",212191,212191,54,107,10300,2,541070103002,"Block Group 2","G5030","S",979542,0,39.3291105,-81.542111,541070103002," Wood County"," West Virginia","No",350,120,34.3,185,80,43.2,54107010300,1035,290,28,545,225,41.3,"No","No",54,107,10300,2,0.0429402431357,0.000102326864407587,0.0429402417633355,"541070103002",120,350,80,185,"541070105011",85,115,75,95,"541070105021",60,100,25,25,265,565,46.9026548672566,180,305,59.0163934426229
"54","011","000900","2","1500000US540110009002","540110009002","2","BG","623284","680135",212548,212548,54,11,900,2,540110009002,"Block Group 2","G5030","S",623284,680135,38.41925,-82.4626829,540110009002," Cabell County"," West Virginia","Yes",250,185,74,185,155,83.8,54011000900,415,350,84.3,325,300,92.3,"Yes","Yes",54,11,900,2,0.0563280982714,0.000134457465264859,0.0563280978237561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","011","001200","2","1500000US540110012002","540110012002","2","BG","324351","0",212554,212554,54,11,1200,2,540110012002,"Block Group 2","G5030","S",324351,0,38.4102216,-82.4540703,540110012002," Cabell County"," West Virginia","No",215,75,34.9,125,55,44,54011001200,515,140,27.2,365,120,32.9,"No","No",54,11,1200,2,0.0237928317721,3.34546257363399e-05,0.0237928319532322,"540110012002",75,215,55,125,"540110012003",45,160,45,125,"540110109002",225,235,150,150,345,610,56.5573770491803,250,400,62.5
"54","025","950200","1","1500000US540259502001","540259502001","1","BG","506598301","1744809",212079,212079,54,25,950200,1,540259502001,"Block Group 1","G5030","S",506598337,1744809,38.1093164,-80.4391124,540259502001," Greenbrier County"," West Virginia","Yes",155,55,35.5,80,30,37.5,54025950200,925,400,43.2,525,270,51.4,"No","Yes",54,25,950200,1,1.41141848984,0.0522251421648434,1.41141849238173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","069","000600","2","1500000US540690006002","540690006002","2","BG","164255","14519",212295,212295,54,69,600,2,540690006002,"Block Group 2","G5030","S",164255,14519,40.067647,-80.7300958,540690006002," Ohio County"," West Virginia","Yes",100,75,75,60,50,83.3,54069000600,435,330,75.9,290,235,81,"Yes","Yes",54,69,600,2,0.0237282482439,1.88730205081811e-05,0.0237282480410926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","107","000702","2","1500000US541070007022","541070007022","2","BG","726101","0",211362,211362,54,107,702,2,541070007022,"Block Group 2","G5030","S",726102,0,39.2658802,-81.5248701,541070007022," Wood County"," West Virginia","Yes",295,250,84.7,260,235,90.4,54107000702,395,325,82.3,330,300,90.9,"Yes","Yes",54,107,702,2,0.0547207909662,7.57838174649805e-05,0.0547207928362388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","011","001100","1","1500000US540110011001","540110011001","1","BG","428694","0",212547,212547,54,11,1100,1,540110011001,"Block Group 1","G5030","S",428694,0,38.412446,-82.4638842,540110011001," Cabell County"," West Virginia","Yes",50,20,40,20,10,50,54011001100,285,220,77.2,220,175,79.5,"Yes","Yes",54,11,1100,1,0.0345580340287,4.42185125848482e-05,0.0345580355195572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","029","020700","2","1500000US540290207002","540290207002","2","BG","1486926","0",211619,211619,54,29,20700,2,540290207002,"Block Group 2","G5030","S",1486926,0,40.4126931,-80.5628819,540290207002," Hancock County"," West Virginia","Yes",165,115,69.7,75,55,73.3,54029020700,580,240,41.4,405,145,35.8,"Yes","No",54,29,20700,2,0.0589529554645,0.000157763720608273,0.0589529539404837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","083","966100","3","1500000US540839661003","540839661003","3","BG","465655","0",212415,212415,54,83,966100,3,540839661003,"Block Group 3","G5030","S",465655,0,38.9232705,-79.8466901,540839661003," Randolph County"," West Virginia","Yes",155,105,67.7,125,75,60,54083966100,640,325,50.8,380,230,60.5,"Yes","Yes",54,83,966100,3,0.0349959928962,4.83688820622774e-05,0.0349959925521344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"54","099","005200","1","1500000US540990052001","540990052001","1","BG","596392","0",212643,212643,54,99,5200,1,540990052001,"Block Group 1","G5030","S",596392,0,38.4018191,-82.5013823,540990052001," Wayne County"," West Virginia","No",345,100,29,195,50,25.6,54099005200,425,115,27.1,235,65,27.7,"No","No",54,99,5200,1,0.0474898679999,6.15069450304873e-05,0.0474898685310976,"540990052001",100,345,50,195,"540110010003",115,165,100,130,"540110010001",175,185,105,110,390,695,56.1151079136691,255,435,58.6206896551724
"54","099","005100","1","1500000US540990051001","540990051001","1","BG","1426056","996541",212706,212706,54,99,5100,1,540990051001,"Block Group 1","G5030","S",1426056,996541,38.4017436,-82.524199,540990051001," Wayne County"," West Virginia","No",405,95,23.5,280,70,25,54099005100,405,95,23.5,280,70,25,"No","No",54,99,5100,1,0.095329963703,0.000249852617798751,0.0953299632116263,"540990051001",95,405,70,280,"540110010003",115,165,100,130,"540110010001",175,185,105,110,385,755,50.9933774834437,275,520,52.8846153846154
