"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"56","003","962700","2","1500000US560039627002","560039627002","2","BG","446104367","11606",217538,217538,56,3,962700,2,560039627002,"Block Group 2","G5030","S",446058455,11606,44.4484341,-108.2598901,560039627002," Big Horn County"," Wyoming","No",205,30,14.6,100,10,10,56003962700,895,365,40.8,585,260,44.4,"No","No",56,3,962700,2,1.54392194465,0.0504364123776213,1.54392195021241,"560039627002",30,205,10,100,"560039627003",285,520,210,365,"560299653004",155,300,135,240,470,1025,45.8536585365854,355,705,50.354609929078
"56","037","970800","3","1500000US560379708003","560379708003","3","BG","3273252","0",217541,217541,56,37,970800,3,560379708003,"Block Group 3","G5030","S",3275153,0,41.601706,-109.2177159,560379708003," Sweetwater County"," Wyoming","No",40,0,0,30,0,0,56037970800,1085,250,23,755,160,21.2,"No","No",56,37,970800,3,0.0798967339641,0.000353725163222407,0.0798967352826539,"560379708003",0,40,0,30,"560379709031",195,345,170,315,"560379709032",265,505,230,400,460,890,51.685393258427,400,745,53.6912751677852
"56","025","000902","3","1500000US560250009023","560250009023","3","BG","771213","0",217424,217424,56,25,902,3,560250009023,"Block Group 3","G5030","S",771213,0,42.8169067,-106.3441141,560250009023," Natrona County"," Wyoming","No",185,65,35.1,125,25,20,56025000902,710,130,18.3,440,65,14.8,"No","No",56,25,902,3,0.0486681670376,8.48873660288518e-05,0.0486681670785808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","035","000102","2","1500000US560350001022","560350001022","2","BG","3272259780","88363711",217454,217454,56,35,102,2,560350001022,"Block Group 2","G5030","S",3272258204,88363711,43.1342463,-109.9219784,560350001022," Sublette County"," Wyoming","No",660,85,12.9,285,10,3.5,56035000102,1515,310,20.5,1005,235,23.4,"No","No",56,35,102,2,3.50431232917,0.371858644574331,3.50431233013379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","013","000300","3","1500000US560130003003","560130003003","3","BG","6778268880","19549421",217687,217687,56,13,300,3,560130003003,"Block Group 3","G5030","S",6778270683,19549421,42.940549,-107.8968005,560130003003," Fremont County"," Wyoming","No",475,95,20,295,80,27.1,56013000300,795,200,25.2,580,155,26.7,"No","No",56,13,300,3,4.34455800342,0.749864026991872,4.34455799711908,"560130003003",95,475,80,295,"560139402021",335,565,250,400,"560130001001",210,380,195,315,640,1420,45.0704225352113,525,1010,51.980198019802
"56","037","970800","2","1500000US560379708002","560379708002","2","BG","4563065","0",217586,217586,56,37,970800,2,560379708002,"Block Group 2","G5030","S",4562248,0,41.6169099,-109.2159833,560379708002," Sweetwater County"," Wyoming","No",330,105,31.8,165,15,9.1,56037970800,1085,250,23,755,160,21.2,"No","No",56,37,970800,2,0.103852259743,0.000492849364945869,0.103852258551748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","021","001300","1","1500000US560210013001","560210013001","1","BG","1073337","0",217675,217675,56,21,1300,1,560210013001,"Block Group 1","G5030","S",1073337,0,41.1801486,-104.8224805,560210013001," Laramie County"," Wyoming","No",430,10,2.3,315,10,3.2,56021001300,1980,390,19.7,1120,295,26.3,"No","No",56,21,1300,1,0.0475090903959,0.00011518568635438,0.0475090893990812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","021","001401","3","1500000US560210014013","560210014013","3","BG","401047","0",217678,217678,56,21,1401,3,560210014013,"Block Group 3","G5030","S",401047,0,41.1648382,-104.782815,560210014013," Laramie County"," Wyoming","No",385,160,41.6,275,135,49.1,56021001401,980,285,29.1,595,210,35.3,"No","No",56,21,1401,3,0.035067525568,4.30285322181589e-05,0.0350675264845796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","021","000900","4","1500000US560210009004","560210009004","4","BG","426723","0",217509,217509,56,21,900,4,560210009004,"Block Group 4","G5030","S",426722,0,41.1491952,-104.8307188,560210009004," Laramie County"," Wyoming","No",110,0,0,50,0,0,56021000900,510,75,14.7,295,55,18.6,"No","No",56,21,900,4,0.0285236501796,4.57721921520715e-05,0.0285236491428413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"56","003","962700","3","1500000US560039627003","560039627003","3","BG","2241201","0",217587,217587,56,3,962700,3,560039627003,"Block Group 3","G5030","S",2241198,0,44.4925402,-108.053631,560039627003," Big Horn County"," Wyoming","Yes",520,285,54.8,365,210,57.5,56003962700,895,365,40.8,585,260,44.4,"Yes","No",56,3,962700,3,0.0726074550993,0.000253569397500542,0.0726074542608202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
