"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Perc18","Tot12","ID12","Perc12","firstGEOID18","B1_ID18","B1_Tot18","B1_Per18","B1_ID12","B1_Tot12","B1_Per12","secondGEOID18","B2_ID18","B2_Tot18","B2_Perc18","B2_ID12","B2_Tot12","B2_Perc12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"230010101001","324863","45576","Yes",145,145,100,85,85,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010101002","555944","123379","Yes",195,170,87.2,125,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010102001","668094","214213","No",160,75,46.9,160,75,46.9,"230010202002",140,160,87.5,110,125,88,"230010209002",325,350,92.9,210,235,89.4,540,670,80.5970149253731,395,520,75.9615384615385,21,11,10,8,13
"230010102002","2106584","8436","No",195,65,33.3,110,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010102003","41183192","11977244","No",565,150,26.5,440,150,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010103001","280230","0","Yes",300,135,45,260,135,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010103002","924031","1250","Yes",335,205,61.2,135,120,88.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010104001","1596149","20429","No",360,160,44.4,210,80,38.1,"230010104002",80,185,43.2,75,150,50,"230010103002",205,335,61.2,120,135,88.9,445,880,50.5681818181818,275,495,55.5555555555556,10,2,8,2,8
"230010104002","660162","0","Yes",185,80,43.2,150,75,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"230010105001","258749","61805","Yes",290,245,84.5,165,155,93.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
