"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Perc18","Tot12","ID12","Perc12","firstGEOID18","B1_ID18","B1_Tot18","B1_Per18","B1_ID12","B1_Tot12","B1_Per12","secondGEOID18","B2_ID18","B2_Tot18","B2_Perc18","B2_ID12","B2_Tot12","B2_Perc12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"260010001001","54484469","7398288","Yes",35,10,28.6,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260010001002","77042050","29316959","Yes",155,90,58.1,100,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019701001","169039704","24562216","No",145,30,20.7,100,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019701002","35190290","8169969","Yes",160,115,71.9,100,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019704001","161443136","827176","Yes",265,150,56.6,145,90,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019704002","265397242","1037279","Yes",240,105,43.8,175,80,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705001","334036706","5661474","Yes",25,10,40,20,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705002","467224946","2292318","Yes",65,35,53.8,40,25,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705003","110238471","1470481","No",120,45,37.5,55,20,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019706001","23719879","6657613","Yes",110,95,86.4,75,65,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019706002","49532369","53435","Yes",85,55,64.7,60,45,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030001001","868693064","110196114","No",100,30,30,50,20,40,"260959602001",35,80,43.8,35,50,70,"261530001001",175,295,59.3,115,175,65.7,240,475,50.5263157894737,170,275,61.8181818181818,28,4,24,13,15
"260030001002","97623055","311080","No",390,115,29.5,280,110,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030001003","2072714","5864521","Yes",150,80,53.3,95,65,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030002001","343782054","44849320","No",265,90,34,175,50,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030002002","226516638","95746576","No",230,105,45.7,185,80,43.2,"260030001001",30,100,30,20,50,40,"260030003001",140,240,58.3,90,135,66.7,275,570,48.2456140350877,190,370,51.3513513513513,21,2,19,7,14
"260030003001","378817293","8138905","Yes",240,140,58.3,135,90,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030003002","452406515","16069056","Yes",135,55,40.7,60,25,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050302001","20159760","113918","No",445,140,31.5,265,70,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050302002","9445089","6881","No",225,35,15.6,175,20,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050303001","39160373","33085","No",460,100,21.7,315,85,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050303002","54780623","169749","No",480,150,31.3,390,140,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050303003","45135368","79587","No",690,145,21,560,145,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050303004","45629312","780209","No",585,110,18.8,390,70,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050304011","38735745","32235","No",455,75,16.5,340,75,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050304012","44442426","21466","No",845,200,23.7,670,170,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050304013","10444070","11503","No",700,255,36.4,525,230,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"260050304021","23737039","331489","No",760,135,17.8,510,100,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050304022","22314420","1310252","No",415,70,16.9,355,50,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050304023","42061808","233218","No",330,105,31.8,225,65,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050305001","8969771","1971","Yes",795,500,62.9,450,285,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050305002","8689907","117001","No",740,170,23,495,115,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050305003","45716789","814361","Yes",320,145,45.3,185,95,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050305004","31022419","1291031","No",295,125,42.4,210,100,47.6,"260050305001",500,795,62.9,285,450,63.3,"260050305003",145,320,45.3,95,185,51.4,770,1410,54.6099290780142,480,845,56.8047337278106,21,5,16,5,16
"260050306001","71621297","641524","No",610,180,29.5,380,110,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050306002","49261087","714538","No",555,255,45.9,395,170,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"260050306003","64115628","166072","No",270,75,27.8,145,50,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307021","64757243","720192","No",715,110,15.4,420,90,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307022","94852448","7737477","No",475,125,26.3,365,105,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307031","30644737","1087607","Yes",435,205,47.1,300,140,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307032","60912454","891455","Yes",310,245,79,200,175,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307041","65863640","1976364","Yes",805,440,54.7,590,320,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050307042","43955821","697539","No",805,230,28.6,460,155,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050308001","40852358","1486194","No",410,40,9.8,165,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050308002","9845326","135211","No",195,60,30.8,150,35,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050308003","7893553","1251508","Yes",110,55,50,80,50,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050308004","9521795","654034","No",275,70,25.5,190,55,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050309011","48143596","77045","Yes",340,145,42.6,185,95,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050309012","14799386","74846","No",125,35,28,65,30,46.2,"261590105003",515,650,79.2,410,475,86.3,"260050309011",145,340,42.6,95,185,51.4,695,1115,62.3318385650224,535,725,73.7931034482759,10,4,6,5,5
"260050309013","37896156","23190","No",300,95,31.7,135,55,40.7,"260050310001",330,445,74.2,155,200,77.5,"261590105003",515,650,79.2,410,475,86.3,940,1395,67.3835125448029,620,810,76.5432098765432,15,8,7,12,3
"260050309021","31584036","173314","Yes",120,80,66.7,45,30,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050309022","51364549","1479703","Yes",360,200,55.6,205,120,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050310001","30610960","436287","Yes",445,330,74.2,200,155,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050310002","19006400","870255","Yes",520,140,26.9,385,75,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050310003","59439628","1099364","Yes",365,205,56.2,195,105,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050310004","45980574","1369327","Yes",185,105,56.8,125,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050310005","26250448","1461327","Yes",125,40,32,85,30,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050311001","28394217","228727","No",350,4,1.1,205,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050311002","21693883","0","Yes",100,90,90,70,70,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050311003","33207829","1510499","No",170,80,47.1,145,70,48.3,"260050318001",130,330,39.4,125,210,59.5,"260050312003",270,605,44.6,175,270,64.8,480,1105,43.4389140271493,370,625,59.2,10,2,8,5,5
