"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"020130001001","6108149428","7397601642","No",35,4,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"020130001002","10804254838","9287760050","No",145,35,80,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"020130001003","1178920859","4114836848","No",250,85,160,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"020160001001","8553160696","22082721229","Yes",180,90,135,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"020160002001","775235736","642276652","No",280,35,185,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"020160002002","2048246830","2459879620","No",500,85,325,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"020200001011","54024402","16406143","No",95,4,95,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"020200001012","1539763489","42567761","No",685,150,370,65,"020200001024",500,580,335,380,"021700013001",30,165,30,105,680,1430,47.5524475524476,430,855,50.2923976608187,55,3,52,4,51
"020200001013","8936536","6523028","No",945,250,700,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"020200001021","20439444","14580356","No",100,0,30,0,"020200001022",30,360,0,150,"020200001024",500,580,335,380,530,1040,50.9615384615385,335,560,59.8214285714286,15,2,13,3,12
"020200001022","6417643","0","No",360,30,150,0,"020200001024",500,580,335,380,"020200001021",0,100,0,30,530,1040,50.9615384615385,335,560,59.8214285714286,10,1,9,1,9
"020200001023","7108911","0","No",245,25,170,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"020200001024","134806878","311165","Yes",580,500,380,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"020200002011","1818313","0","No",830,110,630,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"020200002012","1480523","35477","No",895,195,675,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"020200002021","597845","0","No",270,50,245,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"020200002022","6251656","0","No",445,30,255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"020200002023","1142113","0","No",545,0,445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"020200002024","1193496","0","No",530,10,375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"020200002031","913682","0","No",340,150,285,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"020200002032","5844836","0","No",915,370,705,315,"020200001024",500,580,335,380,"020200002041",15,210,15,210,885,1705,51.9061583577713,665,1295,51.3513513513513,28,2,26,2,26
"020200002033","5710860","200610","No",1530,140,1115,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"020200002034","819488","0","No",715,0,390,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"020200002035","1464244","59769","No",470,25,435,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"020200002041","217053047","420846","No",210,15,210,15,"020200001024",500,580,335,380,"020200002032",370,915,315,705,885,1705,51.9061583577713,665,1295,51.3513513513513,10,1,9,1,9
"020200002042","293200900","1438463","No",425,0,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"020200003001","268329800","56866407","No",2855,905,2395,795,"020200018024",565,820,370,500,"020200007034",735,735,575,575,2205,4410,50,1740,3470,50.1440922190202,528,2,526,1,527
"020200004001","52932747","18904102","No",1735,545,1335,450,"020200006005",375,415,350,365,"020200007021",295,405,250,320,1215,2555,47.5538160469667,1050,2020,51.980198019802,136,0,136,1,135
"020200005001","2506594","9025853","No",170,40,120,30,"020200011002",20,35,10,20,"021700006042",130,190,105,125,190,395,48.1012658227848,145,265,54.7169811320755,28,0,28,3,25
"020200005002","157021","0","No",255,95,200,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"020200006001","2260439","0","Yes",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"020200006002","475449","0","Yes",225,130,215,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
