"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"01","081","040400","4","1500000US010810404004","10810404004","4","BG","2240485","17594",2297,2297,1,81,40400,4,10810404004,"Block Group 4","G5030","S",2240485,17594,32.570459,-85.496824,10810404004," Lee County"," Alabama","Yes",525,395,75.2,265,265,100,1081040400,1340,550,41,795,360,45.3,"Yes","No",1,81,40400,4,0.0721547077518,0.000216843981206694,0.0721547076257952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","095","031100","2","1500000US010950311002","10950311002","2","BG","6376019","18019",2831,2831,1,95,31100,2,10950311002,"Block Group 2","G5030","S",6376019,18019,34.2121228,-86.1858894,10950311002," Marshall County"," Alabama","Yes",455,260,57.1,325,230,70.8,1095031100,1545,855,55.3,1055,685,64.9,"Yes","Yes",1,95,31100,2,0.134253894388,0.000625494956011607,0.134253891400374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","125","012304","1","1500000US011250123041","11250123041","1","BG","2229587","12813",3408,3408,1,125,12304,1,11250123041,"Block Group 1","G5030","S",2229587,12813,33.1633064,-87.5118443,11250123041," Tuscaloosa County"," Alabama","Yes",505,415,82.2,440,355,80.7,1125012304,780,645,82.7,630,505,80.2,"Yes","Yes",1,125,12304,1,0.0637748280709,0.000216750414210765,0.0637748275568866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","069","040700","2","1500000US010690407002","10690407002","2","BG","1562920","0",969,969,1,69,40700,2,10690407002,"Block Group 2","G5030","S",1562920,0,31.2069783,-85.4148196,10690407002," Houston County"," Alabama","Yes",460,305,66.3,285,170,59.6,1069040700,810,550,67.9,520,345,66.3,"Yes","Yes",1,69,40700,2,0.0506737655137,0.000147921566622244,0.0506737658632183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","045","020700","3","1500000US010450207003","10450207003","3","BG","1459579","16200",2365,2365,1,45,20700,3,10450207003,"Block Group 3","G5030","S",1461405,16200,31.4413607,-85.6388015,10450207003," Dale County"," Alabama","Yes",195,175,89.7,130,120,92.3,1045020700,760,645,84.9,645,560,86.8,"Yes","Yes",1,45,20700,3,0.0544674677374,0.000140188769591987,0.0544674652632934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","073","010801","3","1500000US010730108013","10730108013","3","BG","444642","0",35,35,1,73,10801,3,10730108013,"Block Group 3","G5030","S",444642,0,33.4946254,-86.7789092,10730108013," Jefferson County"," Alabama","No",160,0,0,90,0,0,1073010801,1720,105,6.1,1235,105,8.5,"No","No",1,73,10801,3,0.0396221439921,4.313954468671e-05,0.0396221435012536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","085","781000","1","1500000US010857810001","10857810001","1","BG","276412598","12423629",646,646,1,85,781000,1,10857810001,"Block Group 1","G5030","S",276414489,12423629,32.3075989,-86.6459684,10857810001," Lowndes County"," Alabama","Yes",155,80,51.6,100,55,55,1085781000,675,435,64.4,400,220,55,"Yes","Yes",1,85,781000,1,1.29448594874,0.0276587856114929,1.29448594436128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","073","004500","1","1500000US010730045001","10730045001","1","BG","2892952","0",3031,3031,1,73,4500,1,10730045001,"Block Group 1","G5030","S",2892952,0,33.5040847,-86.8038758,10730045001," Jefferson County"," Alabama","Yes",65,45,69.2,0,0,0,1073004500,720,695,96.5,570,570,100,"Yes","Yes",1,73,4500,1,0.0742652442559,0.000280708588888956,0.0742652426928002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"01","097","003606","2","1500000US010970036062","10970036062","2","BG","1530932","0",530,530,1,97,3606,2,10970036062,"Block Group 2","G5030","S",1530985,0,30.6832703,-88.1851965,10970036062," Mobile County"," Alabama","No",780,315,40.4,510,180,35.3,1097003606,1000,360,36,685,200,29.2,"No","No",1,97,3606,2,0.0487545041657,0.000144122146366499,0.0487545033826496,"10970036062",315,780,180,510,"10970036071",500,700,320,460,"10970036021",95,125,65,90,910,1605,56.6978193146417,565,1060,53.3018867924528
"01","073","012802","1","1500000US010730128021","10730128021","1","BG","921949","376",208,208,1,73,12802,1,10730128021,"Block Group 1","G5030","S",884050,376,33.452878,-86.7361143,10730128021," Jefferson County"," Alabama","No",135,0,0,125,0,0,1073012802,595,125,21,530,120,22.6,"No","No",1,73,12802,1,0.0485630532528,8.57687273310148e-05,0.0485630546775817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
