"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"02","100","000100","1","1500000US021000001001","21000001001","1","BG","6198882608","1034836701",3499,3499,2,100,100,1,21000001001,"Block Group 1","G5030","S",5975067241,1030431519,59.0987709,-135.5769363,21000001001," Haines Borough"," Alaska","No",95,15,15.8,60,15,25,2100000100,500,120,24,300,50,16.7,"No","No",2,100,100,1,8.65362335075,1.09647965927434,8.65362334609932,"21000001001",15,95,15,60,"21100005002",130,245,120,210,"21050002001",4,10,4,4,149,350,42.5714285714286,139,274,50.7299270072993
"02","020","002100","4","1500000US020200021004","20200021004","4","BG","199517","0",3532,3532,2,20,2100,4,20200021004,"Block Group 4","G5030","S",199517,0,61.1848347,-149.9302304,20200021004," Anchorage Municipality"," Alaska","No",215,0,0,75,0,0,2020002100,1015,255,25.1,625,225,36,"No","No",2,20,2100,4,0.0337559943196,3.32848385369289e-05,0.0337559932274792,"20200021004",0,215,0,75,"20200022022",195,255,105,140,"20200021003",140,240,120,185,335,710,47.1830985915493,225,400,56.25
"02","020","001732","4","1500000US020200017324","20200017324","4","BG","319377","0",3505,3505,2,20,1732,4,20200017324,"Block Group 4","G5030","S",319377,0,61.1854342,-149.7268561,20200017324," Anchorage Municipality"," Alaska","No",235,65,27.7,180,65,36.1,2020001732,1555,540,34.7,1085,355,32.7,"No","No",2,20,1732,4,0.0360579388265,5.32813846803037e-05,0.0360579378727577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","001700","1","1500000US020900017001","20900017001","1","BG","388042282","52409393",3713,3713,2,90,1700,1,20900017001,"Block Group 1","G5030","S",388216656,52235018,64.5702287,-146.941086,20900017001," Fairbanks North Star Borough"," Alaska","No",315,85,27,195,35,17.9,2090001700,335,85,25.4,210,35,16.7,"No","No",2,90,1700,1,2.83270489037,0.0823586293017797,2.8327048862775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","170","000102","2","1500000US021700001022","21700001022","2","BG","11324229001","96957183",3826,3826,2,170,102,2,21700001022,"Block Group 2","G5030","S",11324229001,96957183,62.4178441,-148.9612386,21700001022," Matanuska0Susitna Borough"," Alaska","No",210,25,11.9,145,10,6.9,2170000102,460,45,9.8,285,25,8.8,"No","No",2,170,102,2,8.72149413748,1.9809087952226,8.72149415136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","188","000100","1","1500000US021880001001","21880001001","1","BG","8812501066","1567307311",3885,3885,2,188,100,1,21880001001,"Block Group 1","G5030","S",8811613371,1564643747,67.5769172,-163.6017304,21880001001," Northwest Arctic Borough"," Alaska","Yes",440,230,52.3,320,175,54.7,2188000100,1790,1110,62,1285,805,62.6,"Yes","Yes",2,188,100,1,11.3142909643,2.19758224146335,11.3142909585316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","002501","5","1500000US020200025015","20200025015","5","BG","695410","0",3547,3547,2,20,2501,5,20200025015,"Block Group 5","G5030","S",695410,0,61.1460742,-149.9017176,20200025015," Anchorage Municipality"," Alaska","No",275,30,10.9,105,0,0,2020002501,1075,295,27.4,645,185,28.7,"No","No",2,20,2501,5,0.0525144410513,0.000115871357593278,0.0525144411757282,"20200025015",30,275,0,105,"20200027121",260,645,210,420,"20200027122",250,385,235,345,540,1305,41.3793103448276,445,870,51.1494252873563
"02","020","001702","3","1500000US020200017023","20200017023","3","BG","766042","102891",3492,3492,2,20,1702,3,20200017023,"Block Group 3","G5030","S",766042,102891,61.2014174,-149.7534944,20200017023," Anchorage Municipality"," Alaska","No",290,0,0,185,0,0,2020001702,1205,125,10.4,755,85,11.3,"No","No",2,20,1702,3,0.0548903276736,0.00014503077181871,0.0548903263583894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","170","000101","1","1500000US021700001011","21700001011","1","BG","36556173615","750110586",3824,3824,2,170,101,1,21700001011,"Block Group 1","G5030","S",36524083632,751853070,62.4177403,-150.4051368,21700001011," Matanuska0Susitna Borough"," Alaska","Yes",70,55,78.6,55,50,90.9,2170000101,70,55,78.6,55,50,90.9,"Yes","Yes",2,170,101,1,18.1579499916,6.48044349675001,18.1579500058497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","050","000300","1","1500000US020500003001","20500003001","1","BG","8140837787","283871108",3943,3943,2,50,300,1,20500003001,"Block Group 1","G5030","S",8147286046,285716574,61.2573746,-159.7632319,20500003001," Bethel Census Area"," Alaska","Yes",370,205,55.4,265,150,56.6,2050000300,480,290,60.4,345,220,63.8,"Yes","Yes",2,50,300,1,9.86387272629,1.41408982739631,9.86387273764959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","240","000100","2","1500000US022400001002","22400001002","2","BG","345287377","0",3953,3953,2,240,100,2,22400001002,"Block Group 2","G5030","S",345287377,0,63.3288523,-143.0375432,22400001002," Southeast Fairbanks Census Area"," Alaska","No",355,110,31,230,75,32.6,2240000100,615,285,46.3,390,180,46.2,"No","No",2,240,100,2,1.78387700466,0.0618274215830752,1.78387700816732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","000300","2","1500000US020900003002","20900003002","2","BG","858748","0",3701,3701,2,90,300,2,20900003002,"Block Group 2","G5030","S",858748,0,64.8256474,-147.7370069,20900003002," Fairbanks North Star Borough"," Alaska","Yes",470,235,50,380,185,48.7,2090000300,950,435,45.8,710,285,40.1,"Yes","No",2,90,300,2,0.0554733229327,0.000162215732416371,0.0554733228271348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","002811","1","1500000US020200028111","20200028111","1","BG","222738","0",3596,3596,2,20,2811,1,20200028111,"Block Group 1","G5030","S",222738,0,61.1332214,-149.8532152,20200028111," Anchorage Municipality"," Alaska","No",295,70,23.7,215,50,23.3,2020002811,1360,285,21,960,170,17.7,"No","No",2,20,2811,1,0.0274839146685,3.70985007975833e-05,0.0274839136116042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","001900","3","1500000US020900019003","20900019003","3","BG","2626899017","0",3722,3722,2,90,1900,3,20900019003,"Block Group 3","G5030","S",2634764223,0,65.188847,-146.8570773,20900019003," Fairbanks North Star Borough"," Alaska","No",10,0,0,10,0,0,2090001900,2090,375,17.9,1390,315,22.7,"No","No",2,90,1900,3,5.94035576686,0.504469274578696,5.94035577165138,"20900019003",0,10,0,10,"22900001002",115,220,85,165,"22900002002",90,185,80,110,205,415,49.3975903614458,165,285,57.8947368421053
"02","020","002603","3","1500000US020200026033","20200026033","3","BG","1294007","0",3536,3536,2,20,2603,3,20200026033,"Block Group 3","G5030","S",1294007,0,61.1411314,-149.819202,20200026033," Anchorage Municipality"," Alaska","No",750,0,0,550,0,0,2020002603,1475,60,4.1,1200,60,5,"No","No",2,20,2603,3,0.07414676852,0.000215577944800316,0.0741467676631911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","001500","2","1500000US020200015002","20200015002","2","BG","608874","36177",3572,3572,2,20,1500,2,20200015002,"Block Group 2","G5030","S",608874,36177,61.1898925,-149.8464333,20200015002," Anchorage Municipality"," Alaska","Yes",185,125,67.6,140,125,89.3,2020001500,915,265,29,515,240,46.6,"Yes","No",2,20,1500,2,0.0493991651231,0.000107634107735066,0.0493991659332973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","170","001003","1","1500000US021700010031","21700010031","1","BG","6760986","517493",3795,3795,2,170,1003,1,21700010031,"Block Group 1","G5030","S",6759535,518521,61.6051064,-149.3728549,21700010031," Matanuska0Susitna Borough"," Alaska","Yes",510,220,43.1,360,180,50,2170001003,1105,405,36.7,710,310,43.7,"Yes","No",2,170,1003,1,0.190327379759,0.00123029064434377,0.190327380141136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","290","000100","2","1500000US022900001002","22900001002","2","BG","26669707773","612903561",3790,3790,2,290,100,2,22900001002,"Block Group 2","G5030","S",26642655206,615220537,65.2875255,-144.7143114,22900001002," Yukon0Koyukuk Census Area"," Alaska","Yes",220,115,52.3,165,85,51.5,2290000100,375,230,61.3,270,170,63,"Yes","Yes",2,290,100,2,29.460775952,5.31118935243103,29.4607759583827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","110","000500","2","1500000US021100005002","21100005002","2","BG","4944320126","524725813",3962,3962,2,110,500,2,21100005002,"Block Group 2","G5030","S",4925556183,521131186,58.2837494,-133.7869735,21100005002," Juneau City and Borough"," Alaska","Yes",245,130,53.1,210,120,57.1,2110000500,550,195,35.5,405,160,39.5,"Yes","No",2,110,500,2,7.15153326506,0.835848201082172,7.15153325747684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","001731","5","1500000US020200017315","20200017315","5","BG","272720","0",3556,3556,2,20,1731,5,20200017315,"Block Group 5","G5030","S",272720,0,61.2041172,-149.7416606,20200017315," Anchorage Municipality"," Alaska","Yes",80,55,68.8,20,20,100,2020001731,1750,375,21.4,950,280,29.5,"Yes","No",2,20,1731,5,0.0373401268008,4.55244471595506e-05,0.0373401263307985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","122","000200","2","1500000US021220002002","21220002002","2","BG","2104248198","1624820411",3849,3849,2,122,200,2,21220002002,"Block Group 2","G5030","S",2104248198,1618212607,60.8348105,-150.7242228,21220002002," Kenai Peninsula Borough"," Alaska","No",145,20,13.8,105,15,14.3,2122000200,1520,390,25.7,945,255,27,"No","No",2,122,200,2,4.04733953812,0.614473332952912,4.04733953850819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","000400","3","1500000US020900004003","20900004003","3","BG","540649","0",3730,3730,2,90,400,3,20900004003,"Block Group 3","G5030","S",540649,0,64.8428622,-147.674946,20900004003," Fairbanks North Star Borough"," Alaska","No",185,30,16.2,100,25,25,2090000400,1180,430,36.4,880,370,42,"No","No",2,90,400,3,0.0422613535201,0.000102192039776128,0.0422613550878179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","001300","3","1500000US020200013003","20200013003","3","BG","1041585","79597",3735,3735,2,20,1300,3,20200013003,"Block Group 3","G5030","S",1041585,79597,61.1996881,-149.9247919,20200013003," Anchorage Municipality"," Alaska","No",225,35,15.6,100,20,20,2020001300,700,55,7.9,415,20,4.8,"No","No",2,20,1300,3,0.0557730751609,0.000187136074600858,0.0557730753249664,"20200013003",35,225,20,100,"20200022022",195,255,105,140,"20200014005",0,0,0,0,230,480,47.9166666666667,125,240,52.0833333333333
"02","020","000600","8","1500000US020200006008","20200006008","8","BG","161799","0",3893,3893,2,20,600,8,20200006008,"Block Group 8","G5030","S",161799,0,61.2259597,-149.8121295,20200006008," Anchorage Municipality"," Alaska","Yes",275,115,41.8,160,45,28.1,2020000600,1815,1205,66.4,1445,940,65.1,"No","Yes",2,20,600,8,0.0221843099297,2.70272457782994e-05,0.0221843104460831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","002000","2","1500000US020200020002","20200020002","2","BG","245171","0",3582,3582,2,20,2000,2,20200020002,"Block Group 2","G5030","S",245171,0,61.1882216,-149.9032851,20200020002," Anchorage Municipality"," Alaska","Yes",190,120,63.2,150,80,53.3,2020002000,655,420,64.1,455,290,63.7,"Yes","Yes",2,20,2000,2,0.029682171732,4.09052890972816e-05,0.0296821720959434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","105","000300","3","1500000US021050003003","21050003003","3","BG","5764662409","3762089782",3934,3934,2,105,300,3,21050003003,"Block Group 3","G5030","S",5773060526,2147483647,57.3784915,-134.2793913,21050003003," Hoonah0Angoon Census Area"," Alaska","Yes",130,75,57.7,95,60,63.2,2105000300,405,210,51.9,305,175,57.4,"Yes","Yes",2,105,300,3,9.93144929018,1.43558073545,9.9314492905473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","000300","3","1500000US020900003003","20900003003","3","BG","1010409","0",3727,3727,2,90,300,3,20900003003,"Block Group 3","G5030","S",1010409,0,64.8291702,-147.7146852,20900003003," Fairbanks North Star Borough"," Alaska","No",195,75,38.5,145,45,31,2090000300,950,435,45.8,710,285,40.1,"No","No",2,90,300,3,0.102536679939,0.000190889098121261,0.102536681806271,"20900003003",75,195,45,145,"20900003002",235,470,185,380,"20900003001",85,120,35,70,395,785,50.3184713375796,265,595,44.5378151260504
"02","188","000100","3","1500000US021880001003","21880001003","3","BG","29877221159","261313349",3935,3935,2,188,100,3,21880001003,"Block Group 3","G5030","S",29876973894,261747849,67.1337559,-157.1968152,21880001003," Northwest Arctic Borough"," Alaska","Yes",315,195,61.9,225,130,57.8,2188000100,1790,1110,62,1285,805,62.6,"Yes","Yes",2,188,100,3,19.3741414774,6.24891373968967,19.3741414495214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","050","000100","3","1500000US020500001003","20500001003","3","BG","15552797376","267456907",3949,3949,2,50,100,3,20500001003,"Block Group 3","G5030","S",15538481628,269200993,60.8121234,-160.4600007,20500001003," Bethel Census Area"," Alaska","Yes",905,680,75.1,650,495,76.2,2050000100,3965,2825,71.2,2825,2035,72,"Yes","Yes",2,50,100,3,15.1441653304,2.61300604675489,15.1441653572588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","020","001801","1","1500000US020200018011","20200018011","1","BG","754290","0",3558,3558,2,20,1801,1,20200018011,"Block Group 1","G5030","S",754290,0,61.1779423,-149.84858,20200018011," Anchorage Municipality"," Alaska","No",290,100,34.5,175,80,45.7,2020001801,985,185,18.8,735,80,10.9,"No","No",2,20,1801,1,0.0561401762037,0.000125808440316177,0.0561401757878778,"20200018011",100,290,80,175,"20200019004",10,105,0,65,"20200018024",565,820,370,500,675,1215,55.5555555555556,450,740,60.8108108108108
"02","122","001300","1","1500000US021220013001","21220013001","1","BG","4835100929","2310991268",3860,3860,2,122,1300,1,21220013001,"Block Group 1","G5030","S",4827762488,2147483647,59.8600265,-149.613411,21220013001," Kenai Peninsula Borough"," Alaska","No",240,70,29.2,215,70,32.6,2122001300,635,100,15.7,430,95,22.1,"No","No",2,122,1300,1,7.51290371028,1.13996036934532,7.51290370884923,"21220013001",70,240,70,215,"21220003001",120,230,90,200,"21220004003",145,200,145,145,335,670,50,305,560,54.4642857142857
"02","020","002502","3","1500000US020200025023","20200025023","3","BG","960170","0",3497,3497,2,20,2502,3,20200025023,"Block Group 3","G5030","S",960169,0,61.149544,-149.8657923,20200025023," Anchorage Municipality"," Alaska","No",100,15,15,70,0,0,2020002502,965,175,18.1,600,50,8.3,"No","No",2,20,2502,3,0.0619008707656,0.000160003864039027,0.0619008723769146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"02","090","000500","1","1500000US020900005001","20900005001","1","BG","745020","56183",3966,3966,2,90,500,1,20900005001,"Block Group 1","G5030","S",745020,56183,64.8584828,-147.7231733,20900005001," Fairbanks North Star Borough"," Alaska","No",155,15,9.7,80,0,0,2090000500,600,155,25.8,415,105,25.3,"No","No",2,90,500,1,0.0846418474313,0.00015153230742726,0.0846418477662108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
