"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"04","017","960500","2","1500000US040179605002","40179605002","2","BG","1749762099","8676885",6597,6597,4,17,960500,2,40179605002,"Block Group 2","G5030","S",1749762099,8676885,34.8164567,-110.528676,40179605002," Navajo County"," Arizona","Yes",530,435,82.1,340,290,85.3,4017960500,965,675,69.9,645,485,75.2,"Yes","Yes",4,17,960500,2,2.04069827346,0.173226565511413,2.0406982723348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"04","013","217600","2","1500000US040132176002","40132176002","2","BG","607465","7876",7078,7078,4,13,217600,2,40132176002,"Block Group 2","G5030","S",607465,7876,33.4835118,-111.9126226,40132176002," Maricopa County"," Arizona","Yes",90,45,50,45,45,100,4013217600,755,505,66.9,470,340,72.3,"Yes","Yes",4,13,217600,2,0.0319102354841,5.96938152739313e-05,0.0319102365564555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"04","013","104222","1","1500000US040131042221","40131042221","1","BG","646565","0",5190,5190,4,13,104222,1,40131042221,"Block Group 1","G5030","S",646565,0,33.5927151,-112.1903433,40131042221," Maricopa County"," Arizona","No",300,85,28.3,145,70,48.3,4013104222,1015,360,35.5,545,245,45,"No","No",4,13,104222,1,0.0318206033559,6.28007383056683e-05,0.0318206039121895,"40131042221",85,300,70,145,"40131042211",240,420,110,200,"40131042232",105,260,70,140,430,980,43.8775510204082,250,485,51.5463917525773
"04","013","104206","2","1500000US040131042062","40131042062","2","BG","370076","0",7463,7463,4,13,104206,2,40131042062,"Block Group 2","G5030","S",370076,0,33.5696969,-112.1389758,40131042062," Maricopa County"," Arizona","No",640,105,16.4,465,85,18.3,4013104206,1310,510,38.9,920,345,37.5,"No","No",4,13,104206,2,0.0276280547918,3.59361215487297e-05,0.0276280557174779,"40131042062",105,640,85,465,"40131042063",175,280,75,150,"40131056022",720,870,675,770,1000,1790,55.8659217877095,835,1385,60.2888086642599
"04","013","116613","3","1500000US040131166133","40131166133","3","BG","5134711","0",4017,4017,4,13,116613,3,40131166133,"Block Group 3","G5030","S",5134710,0,33.3694034,-112.1039986,40131166133," Maricopa County"," Arizona","No",670,135,20.1,630,135,21.4,4013116613,1870,835,44.7,1585,755,47.6,"No","No",4,13,116613,3,0.10216688563,0.000497472955885314,0.102166887811721,"40131166133",135,670,135,630,"40131167023",520,820,275,455,"40131166022",715,950,375,515,1370,2440,56.1475409836066,785,1600,49.0625
"04","007","000500","3","1500000US040070005003","40070005003","3","BG","281906929","41917",6642,6642,4,7,500,3,40070005003,"Block Group 3","G5030","S",281906929,41917,34.1660965,-111.2387537,40070005003," Gila County"," Arizona","Yes",585,225,38.5,415,145,34.9,4007000500,1000,530,53,610,250,41,"No","Yes",4,7,500,3,0.969636122203,0.027578437494185,0.969636119397349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"04","003","000600","1","1500000US040030006001","40030006001","1","BG","605980296","179192",6752,6752,4,3,600,1,40030006001,"Block Group 1","G5030","S",605980297,179192,31.4446728,-109.4183102,40030006001," Cochise County"," Arizona","Yes",350,150,42.9,260,105,40.4,4003000600,745,545,73.2,445,285,64,"No","Yes",4,3,600,1,1.86103188458,0.0575023074741239,1.86103188674775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"04","013","010102","1","1500000US040130101021","40130101021","1","BG","2368917809","32074891",4325,4325,4,13,10102,1,40130101021,"Block Group 1","G5030","S",2368917809,32074891,33.7127644,-111.478901,40130101021," Maricopa County"," Arizona","No",0,0,0,0,0,0,4013010102,175,45,25.7,90,30,33.3,"No","No",4,13,10102,1,3.06252412933,0.233535491351176,3.06252412924617,"40130101021",0,0,0,0,"40134202071",0,125,0,55,"40250015003",220,410,205,215,220,535,41.1214953271028,205,270,75.9259259259259
"04","013","422510","2","1500000US040134225102","40134225102","2","BG","1310441","0",5218,5218,4,13,422510,2,40134225102,"Block Group 2","G5030","S",1310441,0,33.3575453,-111.7429889,40134225102," Maricopa County"," Arizona","No",330,115,34.8,145,55,37.9,4013422510,1070,245,22.9,605,135,22.3,"No","No",4,13,422510,2,0.0464973786324,0.000126944464909684,0.0464973788449488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"04","013","817200","1","1500000US040138172001","40138172001","1","BG","7809866","0",5974,5974,4,13,817200,1,40138172001,"Block Group 1","G5030","S",7809869,0,33.2121804,-111.6603079,40138172001," Maricopa County"," Arizona","No",1440,460,31.9,800,305,38.1,4013817200,2370,460,19.4,1295,305,23.6,"No","No",4,13,817200,1,0.132295114977,0.000755317653784005,0.132295114546793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
