"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"05","119","002403","3","1500000US051190024033","51190024033","3","BG","466649","0",10245,10245,5,119,2403,3,51190024033,"Block Group 3","G5030","S",466649,0,34.72411,-92.362115,51190024033," Pulaski County"," Arkansas","Yes",345,290,84.1,290,290,100,5119002403,1420,890,62.7,1005,745,74.1,"Yes","Yes",5,119,2403,3,0.0282542698279,4.59254210909421e-05,0.028254269841945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","001","480300","1","1500000US050014803001","50014803001","1","BG","20787218","1406556",9067,9067,5,1,480300,1,50014803001,"Block Group 1","G5030","S",20790884,1406556,34.4868452,-91.5130072,50014803001," Arkansas County"," Arkansas","Yes",230,80,34.8,175,80,45.7,5001480300,620,440,71,480,360,75,"No","Yes",5,1,480300,1,0.195106559,0.00217846131704391,0.195106557616734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","031","000501","2","1500000US050310005012","50310005012","2","BG","19445950","15876",9992,9992,5,31,501,2,50310005012,"Block Group 2","G5030","S",19445676,15876,35.8596445,-90.6004574,50310005012," Craighead County"," Arkansas","No",505,215,42.6,250,115,46,5031000501,1580,390,24.7,960,245,25.5,"No","No",5,31,501,2,0.253955630874,0.0019419293091687,0.253955632487765,"50310005012",215,505,115,250,"50310005021",420,530,320,405,"50310006012",370,605,335,355,1005,1640,61.280487804878,770,1010,76.2376237623762
"05","143","010401","4","1500000US051430104014","51430104014","4","BG","606689","0",8598,8598,5,143,10401,4,51430104014,"Block Group 4","G5030","S",606689,0,36.1926142,-94.1515057,51430104014," Washington County"," Arkansas","Yes",500,325,65,330,230,69.7,5143010401,2160,1360,63,1540,1105,71.8,"Yes","Yes",5,143,10401,4,0.0313700156251,6.07879792369204e-05,0.0313700149386234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","053","470200","1","1500000US050534702001","50534702001","1","BG","148130724","117643",8569,8569,5,53,470200,1,50534702001,"Block Group 1","G5030","S",148130786,117643,34.3934853,-92.4012703,50534702001," Grant County"," Arkansas","No",100,10,10,85,10,11.8,5053470200,590,210,35.6,365,140,38.4,"No","No",5,53,470200,1,1.05460881293,0.0145328912403784,1.05460882014939,"50534702001",10,100,10,85,"50534702002",200,490,130,280,"50534704003",215,475,165,245,425,1065,39.906103286385,305,610,50
"05","143","010508","4","1500000US051430105084","51430105084","4","BG","2442632","2779",8484,8484,5,143,10508,4,51430105084,"Block Group 4","G5030","S",2442220,2779,36.0863647,-94.2255413,51430105084," Washington County"," Arkansas","No",840,330,39.3,690,250,36.2,5143010508,1905,480,25.2,1240,350,28.2,"No","No",5,143,10508,4,0.0641712233709,0.000244654047946824,0.0641712231798074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","119","003703","4","1500000US051190037034","51190037034","4","BG","1043972","0",10186,10186,5,119,3703,4,51190037034,"Block Group 4","G5030","S",1043972,0,34.8142656,-92.2216353,51190037034," Pulaski County"," Arkansas","No",160,45,28.1,150,45,30,5119003703,1570,565,36,945,280,29.6,"No","No",5,119,3703,4,0.0429681129088,0.000102853442967898,0.0429681142565726,"51190037034",45,160,45,150,"51190037036",195,275,65,125,"51190037031",150,260,145,210,390,695,56.1151079136691,255,485,52.5773195876289
"05","119","003608","3","1500000US051190036083","51190036083","3","BG","1477536","0",9129,9129,5,119,3608,3,51190036083,"Block Group 3","G5030","S",1477515,0,34.8716613,-92.0950959,51190036083," Pulaski County"," Arkansas","Yes",505,370,73.3,435,370,85.1,5119003608,1145,480,41.9,805,430,53.4,"Yes","Yes",5,119,3608,3,0.0569892666448,0.000145666427215474,0.0569892671188578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","031","000300","5","1500000US050310003005","50310003005","5","BG","342286","0",8298,8298,5,31,300,5,50310003005,"Block Group 5","G5030","S",342286,0,35.8263456,-90.728251,50310003005," Craighead County"," Arkansas","Yes",220,185,84.1,185,185,100,5031000300,1770,685,38.7,1235,580,47,"Yes","No",5,31,300,5,0.0251065406369,3.41396480507683e-05,0.0251065402769098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"05","075","470502","3","1500000US050754705023","50754705023","3","BG","4658240","0",8630,8630,5,75,470502,3,50754705023,"Block Group 3","G5030","S",4658241,0,36.0676222,-90.9764038,50754705023," Lawrence County"," Arkansas","No",345,135,39.1,280,105,37.5,5075470502,1075,475,44.2,810,330,40.7,"No","No",5,75,470502,3,0.0925484129233,0.000466009303863757,0.0925484127928805,"50754705023",135,345,105,280,"50754705025",145,170,105,120,"50754705022",40,100,40,100,320,615,52.0325203252033,250,500,50
