"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"08","049","000201","1","1500000US080490002011","80490002011","1","BG","580838578","30369797",35893,35893,8,49,201,1,80490002011,"Block Group 1","G5030","S",580838578,30369797,40.1161126,-105.8713586,80490002011," Grand County"," Colorado","Yes",180,100,55.6,95,70,73.7,8049000201,740,265,35.8,510,200,39.2,"Yes","No",8,49,201,1,1.72059749803,0.0645742801079905,1.72059749808325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","031","008305","2","1500000US080310083052","80310083052","2","BG","279939","0",36674,36674,8,31,8305,2,80310083052,"Block Group 2","G5030","S",279939,0,39.796056,-104.8239124,80310083052," Denver County"," Colorado","Yes",485,350,72.2,350,265,75.7,8031008305,1685,1100,65.3,1230,850,69.1,"Yes","Yes",8,31,8305,2,0.0228656356831,2.94378282887919e-05,0.022865637103346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","101","001800","1","1500000US081010018001","81010018001","1","BG","396493","0",34968,34968,8,101,1800,1,81010018001,"Block Group 1","G5030","S",396493,0,38.2590212,-104.6399935,81010018001," Pueblo County"," Colorado","Yes",215,130,60.5,150,85,56.7,8101001800,430,220,51.2,295,130,44.1,"Yes","Yes",8,101,1800,1,0.0277574905781,4.08121704822406e-05,0.0277574897699931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","031","000903","2","1500000US080310009032","80310009032","2","BG","379305","0",34648,34648,8,31,903,2,80310009032,"Block Group 2","G5030","S",379305,0,39.713867,-105.0287681,80310009032," Denver County"," Colorado","Yes",295,225,76.3,215,175,81.4,8031000903,2085,1590,76.3,1295,1000,77.2,"Yes","Yes",8,31,903,2,0.0256012258522,3.98399497498758e-05,0.0256012258751152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","069","000202","2","1500000US080690002022","80690002022","2","BG","1292633","65690",33618,33618,8,69,202,2,80690002022,"Block Group 2","G5030","S",1292633,65690,40.59653,-105.0884147,80690002022," Larimer County"," Colorado","No",220,20,9.1,205,20,9.8,8069000202,490,110,22.4,455,100,22,"No","No",8,69,202,2,0.0551435151765,0.000144507856020937,0.0551435150688884,"80690002022",20,220,20,205,"80690013061",300,605,270,495,"80690013042",355,450,255,285,675,1275,52.9411764705882,545,985,55.3299492385787
"08","069","001007","1","1500000US080690010071","80690010071","1","BG","1202739","0",35467,35467,8,69,1007,1,80690010071,"Block Group 1","G5030","S",1202739,0,40.5286549,-105.0750565,80690010071," Larimer County"," Colorado","Yes",320,215,67.2,260,195,75,8069001007,565,255,45.1,435,215,49.4,"Yes","No",8,69,1007,1,0.0554193033222,0.000127828328004398,0.0554193036106378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","013","013005","1","1500000US080130130051","80130130051","1","BG","961701","0",36956,36956,8,13,13005,1,80130130051,"Block Group 1","G5030","S",961701,0,39.9818562,-105.1328958,80130130051," Boulder County"," Colorado","No",350,65,18.6,200,60,30,8013013005,915,205,22.4,620,175,28.2,"No","No",8,13,13005,1,0.0473527340391,0.000101400501534954,0.0473527331475135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","041","006902","2","1500000US080410069022","80410069022","2","BG","895890","0",36232,36232,8,41,6902,2,80410069022,"Block Group 2","G5030","S",895890,0,38.9386589,-104.7482264,80410069022," El Paso County"," Colorado","No",325,70,21.5,230,70,30.4,8041006902,1650,255,15.5,1095,195,17.8,"No","No",8,41,6902,2,0.0525681373613,9.30790622533095e-05,0.05256813682244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","005","005621","1","1500000US080050056211","80050056211","1","BG","1167422","19519",34901,34901,8,5,5621,1,80050056211,"Block Group 1","G5030","S",1167420,19519,39.6038333,-105.044184,80050056211," Arapahoe County"," Colorado","No",500,155,31,330,125,37.9,8005005621,750,200,26.7,475,160,33.7,"No","No",8,5,5621,1,0.0468558877414,0.000124477654026123,0.0468558878873587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"08","031","003102","1","1500000US080310031021","80310031021","1","BG","451283","0",35015,35015,8,31,3102,1,80310031021,"Block Group 1","G5030","S",437431,0,39.7449522,-104.9663945,80310031021," Denver County"," Colorado","Yes",150,105,70,150,105,70,8031003102,250,155,62,190,110,57.9,"Yes","Yes",8,31,3102,1,0.0357072641411,4.59658322142786e-05,0.0357072632373429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
