"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"18","097","310110","2","1500000US180973101102","180973101102","2","BG","1643927","0",70321,70321,18,97,310110,2,180973101102,"Block Group 2","G5030","S",1643927,0,39.8446289,-86.2835917,180973101102," Marion County"," Indiana","No",485,165,34,410,150,36.6,18097310110,620,255,41.1,520,215,41.3,"No","No",18,97,310110,2,0.0645459726412,0.000172992215766499,0.064545971935298,"180973101102",165,485,150,410,"180973101112",165,495,120,260,"180973103052",900,900,520,520,1230,1880,65.4255319148936,790,1190,66.3865546218487
"18","141","010800","3","1500000US181410108003","181410108003","3","BG","3721423","0",72276,72276,18,141,10800,3,181410108003,"Block Group 3","G5030","S",3721423,0,41.6971658,-86.5138215,181410108003," St. Joseph County"," Indiana","No",595,90,15.1,390,75,19.2,18141010800,1135,250,22,740,200,27,"No","No",18,141,10800,3,0.0943698139156,0.000402510997218997,0.0943698152814113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","083","955500","3","1500000US180839555003","180839555003","3","BG","544816","0",72110,72110,18,83,955500,3,180839555003,"Block Group 3","G5030","S",545941,0,38.6687361,-87.5294504,180839555003," Knox County"," Indiana","Yes",90,65,72.2,90,65,72.2,18083955500,675,340,50.4,435,215,49.4,"Yes","Yes",18,83,955500,3,0.0333785391802,5.65094730973215e-05,0.033378538183539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","003","001600","1","1500000US180030016001","180030016001","1","BG","2828268","0",73591,73591,18,3,1600,1,180030016001,"Block Group 1","G5030","S",2828269,0,41.0641416,-85.0873597,180030016001," Allen County"," Indiana","Yes",255,190,74.5,170,135,79.4,18003001600,860,685,79.7,600,485,80.8,"Yes","Yes",18,3,1600,1,0.0746981425017,0.000302988593148257,0.0746981411170496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","177","000700","1","1500000US181770007001","181770007001","1","BG","1522992","0",69913,69913,18,177,700,1,181770007001,"Block Group 1","G5030","S",1522992,0,39.828845,-84.9327291,181770007001," Wayne County"," Indiana","Yes",465,450,96.8,385,370,96.1,18177000700,1325,675,50.9,970,500,51.5,"Yes","Yes",18,177,700,1,0.0597757567444,0.000160230069468525,0.0597757557337585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","073","100902","2","1500000US180731009022","180731009022","2","BG","23982231","131135",70055,70055,18,73,100902,2,180731009022,"Block Group 2","G5030","S",23982234,131135,41.2343963,-87.1885638,180731009022," Jasper County"," Indiana","No",185,35,18.9,85,0,0,18073100902,1670,630,37.7,1150,460,40,"No","No",18,73,100902,2,0.257750691762,0.00258989354392725,0.25775069283242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","097","322100","2","1500000US180973221002","180973221002","2","BG","321077","0",71756,71756,18,97,322100,2,180973221002,"Block Group 2","G5030","S",318432,0,39.8268977,-86.1450625,180973221002," Marion County"," Indiana","Yes",560,390,69.6,395,245,62,18097322100,845,410,48.5,585,265,45.3,"Yes","No",18,97,322100,2,0.025937501301,3.350050019435e-05,0.0259375005068649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","089","012000","2","1500000US180890120002","180890120002","2","BG","643192","0",69834,69834,18,89,12000,2,180890120002,"Block Group 2","G5030","S",643192,0,41.5701795,-87.3480279,180890120002," Lake County"," Indiana","Yes",70,55,78.6,30,30,100,18089012000,190,170,89.5,115,115,100,"Yes","Yes",18,89,12000,2,0.0522406381535,6.94327636665548e-05,0.0522406380954391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","065","976100","2","1500000US180659761002","180659761002","2","BG","990176","3396",70036,70036,18,65,976100,2,180659761002,"Block Group 2","G5030","S",990177,3396,39.9402345,-85.3644096,180659761002," Henry County"," Indiana","No",135,4,3,90,4,4.4,18065976100,410,140,34.1,225,85,37.8,"No","No",18,65,976100,2,0.0494967697679,0.000104698695167826,0.0494967711135523,"180659761002",4,135,4,90,"180659760001",105,105,30,30,"180659763002",100,145,65,75,209,385,54.2857142857143,99,195,50.7692307692308
"18","039","001400","1","1500000US180390014001","180390014001","1","BG","21128138","0",73915,73915,18,39,1400,1,180390014001,"Block Group 1","G5030","S",21128139,0,41.6286031,-86.0330339,180390014001," Elkhart County"," Indiana","No",810,80,9.9,595,80,13.4,18039001400,2775,620,22.3,1910,485,25.4,"No","No",18,39,1400,1,0.229404562385,0.00228283429851217,0.229404566528793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","089","042402","4","1500000US180890424024","180890424024","4","BG","1985632","0",73724,73724,18,89,42402,4,180890424024,"Block Group 4","G5030","S",1985632,0,41.4923096,-87.3283252,180890424024," Lake County"," Indiana","Yes",280,95,33.9,160,95,59.4,18089042402,1555,410,26.4,955,330,34.6,"Yes","No",18,89,42402,4,0.0586477471147,0.000214096457511914,0.0586477472241872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","003","002000","4","1500000US180030020004","180030020004","4","BG","267802","0",73633,73633,18,3,2000,4,180030020004,"Block Group 4","G5030","S",267802,0,41.0658401,-85.1484302,180030020004," Allen County"," Indiana","Yes",95,65,68.4,70,65,92.9,18003002000,880,765,86.9,660,595,90.2,"Yes","Yes",18,3,2000,4,0.0264028729275,2.86898841750372e-05,0.0264028738283748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","127","050101","3","1500000US181270501013","181270501013","3","BG","19583456","173358",72845,72845,18,127,50101,3,181270501013,"Block Group 3","G5030","S",19583456,173358,41.5539932,-87.1121153,181270501013," Porter County"," Indiana","No",865,135,15.6,395,35,8.9,18127050101,2570,630,24.5,1730,485,28,"No","No",18,127,50101,3,0.289327733057,0.00213218349313138,0.289327733683912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","141","011405","3","1500000US181410114053","181410114053","3","BG","1641373","0",69305,69305,18,141,11405,3,181410114053,"Block Group 3","G5030","S",1641373,0,41.7570742,-86.0750431,181410114053," St. Joseph County"," Indiana","No",540,20,3.7,310,10,3.2,18141011405,1120,125,11.2,735,100,13.6,"No","No",18,141,11405,3,0.0645948283971,0.000177690043756229,0.06459482656249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","097","357400","2","1500000US180973574002","180973574002","2","BG","1342311","0",70009,70009,18,97,357400,2,180973574002,"Block Group 2","G5030","S",1342311,0,39.7418278,-86.0922686,180973574002," Marion County"," Indiana","Yes",295,240,81.4,170,135,79.4,18097357400,1095,880,80.4,860,685,79.7,"Yes","Yes",18,97,357400,2,0.0530738066618,0.000141045628197389,0.0530738060604494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","105","000301","2","1500000US181050003012","181050003012","2","BG","435884","0",71368,71368,18,105,301,2,181050003012,"Block Group 2","G5030","S",435884,0,39.1547815,-86.5294275,181050003012," Monroe County"," Indiana","Yes",135,20,14.8,80,20,25,18105000301,320,135,42.2,210,105,50,"No","Yes",18,105,301,2,0.0308029252238,4.54228993476136e-05,0.0308029253684469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","045","957600","3","1500000US180459576003","180459576003","3","BG","117809529","0",71911,71911,18,45,957600,3,180459576003,"Block Group 3","G5030","S",117809529,0,40.2008208,-87.201081,180459576003," Fountain County"," Indiana","No",145,10,6.9,100,4,4,18045957600,535,80,15,355,70,19.7,"No","No",18,45,957600,3,0.622850504638,0.0124611174778693,0.622850504073093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","065","975900","3","1500000US180659759003","180659759003","3","BG","8551661","730381",70935,70935,18,65,975900,3,180659759003,"Block Group 3","G5030","S",8551648,730381,39.908558,-85.4137821,180659759003," Henry County"," Indiana","Yes",210,150,71.4,115,85,73.9,18065975900,980,485,49.5,620,365,58.9,"Yes","Yes",18,65,975900,3,0.172598019762,0.000977650940058084,0.172598019849835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","089","040802","2","1500000US180890408022","180890408022","2","BG","385727","0",69605,69605,18,89,40802,2,180890408022,"Block Group 2","G5030","S",385727,0,41.5408882,-87.4514714,180890408022," Lake County"," Indiana","Yes",250,105,42,200,100,50,18089040802,840,260,31,565,165,29.2,"Yes","No",18,89,40802,2,0.0314015303092,4.16196571677574e-05,0.0314015306800341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","065","976500","2","1500000US180659765002","180659765002","2","BG","251649","0",69952,69952,18,65,976500,2,180659765002,"Block Group 2","G5030","S",251649,0,39.9216652,-85.359879,180659765002," Henry County"," Indiana","Yes",165,155,93.9,125,125,100,18065976500,655,595,90.8,450,405,90,"Yes","Yes",18,65,976500,2,0.0247348885199,2.65108947132831e-05,0.0247348875874488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","113","971800","1","1500000US181139718001","181139718001","1","BG","458584","0",71805,71805,18,113,971800,1,181139718001,"Block Group 1","G5030","S",458584,0,41.4491603,-85.2644047,181139718001," Noble County"," Indiana","Yes",205,135,65.9,180,115,63.9,18113971800,1105,685,62,780,530,67.9,"Yes","Yes",18,113,971800,1,0.0282770636806,4.94138232625119e-05,0.0282770637077712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","055","955300","4","1500000US180559553004","180559553004","4","BG","3925132","0",70839,70839,18,55,955300,4,180559553004,"Block Group 4","G5030","S",3925132,0,38.9874358,-87.0805111,180559553004," Greene County"," Indiana","Yes",150,90,60,90,50,55.6,18055955300,795,225,28.3,475,115,24.2,"Yes","No",18,55,955300,4,0.0886616210429,0.0004080791427441,0.0886616220516332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","041","954300","1","1500000US180419543001","180419543001","1","BG","1148322","0",72982,72982,18,41,954300,1,180419543001,"Block Group 1","G5030","S",1148322,0,39.6665058,-85.144425,180419543001," Fayette County"," Indiana","Yes",85,35,41.2,55,30,54.5,18041954300,665,405,60.9,445,330,74.2,"Yes","Yes",18,41,954300,1,0.0479682047821,0.000120532211894897,0.0479682040294644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","003","011608","1","1500000US180030116081","180030116081","1","BG","4707556","0",73131,73131,18,3,11608,1,180030116081,"Block Group 1","G5030","S",4707557,0,41.066655,-85.2922789,180030116081," Allen County"," Indiana","No",340,0,0,125,0,0,18003011608,2075,405,19.5,1475,370,25.1,"No","No",18,3,11608,1,0.0989703728135,0.000504332405625973,0.0989703730606121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","097","354200","2","1500000US180973542002","180973542002","2","BG","649857","0",69554,69554,18,97,354200,2,180973542002,"Block Group 2","G5030","S",649857,0,39.7803713,-86.1469271,180973542002," Marion County"," Indiana","No",0,0,0,0,0,0,18097354200,245,110,44.9,175,80,45.7,"No","No",18,97,354200,2,0.0395753881932,6.83222410771123e-05,0.0395753889043837,"180973542002",0,0,0,0,"180973542003",110,230,80,160,"180973909001",175,220,165,210,285,450,63.3333333333333,245,370,66.2162162162162
"18","163","001000","4","1500000US181630010004","181630010004","4","BG","311284","0",69837,69837,18,163,1000,4,181630010004,"Block Group 4","G5030","S",311284,0,37.9519045,-87.5458623,181630010004," Vanderburgh County"," Indiana","Yes",80,65,81.3,65,55,84.6,18163001000,1100,925,84.1,795,675,84.9,"Yes","Yes",18,163,1000,4,0.0233540136671,3.19092073368665e-05,0.0233540139885003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","097","310105","1","1500000US180973101051","180973101051","1","BG","4962904","0",72045,72045,18,97,310105,1,180973101051,"Block Group 1","G5030","S",4962904,0,39.9039867,-86.2516274,180973101051," Marion County"," Indiana","No",200,60,30,165,40,24.2,18097310105,850,255,30,545,110,20.2,"No","No",18,97,310105,1,0.109981088157,0.000522698178883729,0.109981087885154,"180973101051",60,200,40,165,"180973102011",110,225,0,80,"180973101032",320,445,320,400,490,870,56.3218390804598,360,645,55.8139534883721
"18","163","003702","5","1500000US181630037025","181630037025","5","BG","317242","0",70487,70487,18,163,3702,5,181630037025,"Block Group 5","G5030","S",317242,0,37.9515179,-87.5089975,181630037025," Vanderburgh County"," Indiana","Yes",220,180,81.8,135,90,66.7,18163003702,1440,1280,88.9,1100,985,89.5,"Yes","Yes",18,163,3702,5,0.0233333741632,3.25194891956926e-05,0.0233333735914333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","105","001303","3","1500000US181050013033","181050013033","3","BG","7536994","0",69484,69484,18,105,1303,3,181050013033,"Block Group 3","G5030","S",7537917,0,39.2310179,-86.5829753,181050013033," Monroe County"," Indiana","No",415,135,32.5,145,0,0,18105001303,1490,380,25.5,980,210,21.4,"No","No",18,105,1303,3,0.121366262215,0.000786353893317937,0.121366262030955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","071","967700","4","1500000US180719677004","180719677004","4","BG","1035706","0",72794,72794,18,71,967700,4,180719677004,"Block Group 4","G5030","S",1035871,0,38.9569944,-85.9036152,180719677004," Jackson County"," Indiana","No",195,80,41,105,40,38.1,18071967700,935,150,16,675,105,15.6,"No","No",18,71,967700,4,0.0500664502456,0.000107649507981478,0.0500664534607436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","089","012200","1","1500000US180890122001","180890122001","1","BG","464245","0",73689,73689,18,89,12200,1,180890122001,"Block Group 1","G5030","S",464245,0,41.5762334,-87.3216064,180890122001," Lake County"," Indiana","Yes",75,70,93.3,45,45,100,18089012200,645,615,95.3,460,445,96.7,"Yes","Yes",18,89,12200,1,0.0320613378001,5.01201848237542e-05,0.0320613389255056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","105","000901","2","1500000US181050009012","181050009012","2","BG","1407794","0",69503,69503,18,105,901,2,181050009012,"Block Group 2","G5030","S",1407794,0,39.157331,-86.5031329,181050009012," Monroe County"," Indiana","No",235,105,44.7,90,25,27.8,18105000901,265,105,39.6,120,25,20.8,"No","No",18,105,901,2,0.0481886634192,0.000146709470755013,0.0481886623926776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","111","100700","3","1500000US181111007003","181111007003","3","BG","599316","0",70653,70653,18,111,100700,3,181111007003,"Block Group 3","G5030","S",599317,0,40.7753344,-87.4456196,181111007003," Newton County"," Indiana","Yes",200,115,57.5,170,100,58.8,18111100700,605,345,57,425,265,62.4,"Yes","Yes",18,111,100700,3,0.0409100458033,6.39282177417044e-05,0.0409100457929682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","039","001802","2","1500000US180390018022","180390018022","2","BG","1548884","39803",70817,70817,18,39,1802,2,180390018022,"Block Group 2","G5030","S",1548884,39803,41.7010899,-85.9270413,180390018022," Elkhart County"," Indiana","No",180,25,13.9,125,25,20,18039001802,1520,445,29.3,1015,345,34,"No","No",18,39,1802,2,0.0938145152278,0.000171841307746945,0.0938145137396938,"180390018022",25,180,25,125,"180390017025",270,270,175,175,"180390017021",330,405,245,300,625,855,73.0994152046784,445,600,74.1666666666667
"18","035","001600","2","1500000US180350016002","180350016002","2","BG","1277305","11988",70809,70809,18,35,1600,2,180350016002,"Block Group 2","G5030","S",1277306,11988,40.1724353,-85.3920348,180350016002," Delaware County"," Indiana","Yes",245,70,28.6,160,60,37.5,18035001600,535,260,48.6,320,200,62.5,"No","Yes",18,35,1600,2,0.0593544034869,0.000136319099055982,0.0593544029193563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","157","001000","1","1500000US181570010001","181570010001","1","BG","1003711","0",73628,73628,18,157,1000,1,181570010001,"Block Group 1","G5030","S",1003711,0,40.406019,-86.8896279,181570010001," Tippecanoe County"," Indiana","No",350,135,38.6,225,105,46.7,18157001000,350,135,38.6,225,105,46.7,"No","No",18,157,1000,1,0.0489840122536,0.000106483963691062,0.0489840119753645,"181570010001",135,350,105,225,"181570111003",0,40,0,0,"181570111001",75,90,75,90,210,480,43.75,180,315,57.1428571428571
"18","035","000700","3","1500000US180350007003","180350007003","3","BG","417194","21002",73684,73684,18,35,700,3,180350007003,"Block Group 3","G5030","S",417194,21002,40.1934893,-85.4024895,180350007003," Delaware County"," Indiana","No",20,4,20,15,0,0,18035000700,130,55,42.3,80,35,43.8,"No","No",18,35,700,3,0.0397078170813,4.63447413494578e-05,0.0397078156538794,"180350007003",4,20,0,15,"180350009022",0,0,0,0,"180350008001",110,165,105,130,114,185,61.6216216216216,105,145,72.4137931034483
"18","019","050303","2","1500000US180190503032","180190503032","2","BG","633960","0",71423,71423,18,19,50303,2,180190503032,"Block Group 2","G5030","S",633960,0,38.2925748,-85.7237537,180190503032," Clark County"," Indiana","Yes",270,150,55.6,205,110,53.7,18019050303,650,350,53.8,530,270,50.9,"Yes","Yes",18,19,50303,2,0.0339659298443,6.52845353670273e-05,0.0339659301726467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","081","610401","1","1500000US180816104011","180816104011","1","BG","508109","0",71030,71030,18,81,610401,1,180816104011,"Block Group 1","G5030","S",508109,0,39.6318759,-86.1292782,180816104011," Johnson County"," Indiana","Yes",125,105,84,40,40,100,18081610401,1290,425,32.9,435,125,28.7,"Yes","No",18,81,610401,1,0.0384750595604,5.33070951860282e-05,0.0384750625608899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","043","070302","4","1500000US180430703024","180430703024","4","BG","219985","0",69876,69876,18,43,70302,4,180430703024,"Block Group 4","G5030","S",219985,0,38.2986438,-85.8067067,180430703024," Floyd County"," Indiana","No",75,10,13.3,40,10,25,18043070302,765,225,29.4,445,130,29.2,"No","No",18,43,70302,4,0.0225613293474,2.2655738348476e-05,0.0225613299633793,"180430703024",10,75,10,40,"180430702001",115,225,75,130,"180430703023",15,80,15,20,140,380,36.8421052631579,100,190,52.6315789473684
"18","003","002000","1","1500000US180030020001","180030020001","1","BG","603062","0",73603,73603,18,3,2000,1,180030020001,"Block Group 1","G5030","S",603061,0,41.0686905,-85.143636,180030020001," Allen County"," Indiana","Yes",290,275,94.8,235,235,100,18003002000,880,765,86.9,660,595,90.2,"Yes","Yes",18,3,2000,1,0.0390385893467,6.46095556930959e-05,0.0390385900546056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"18","059","410500","1","1500000US180594105001","180594105001","1","BG","2632073","0",72671,72671,18,59,410500,1,180594105001,"Block Group 1","G5030","S",2632078,0,39.7793043,-85.7804462,180594105001," Hancock County"," Indiana","No",440,215,48.9,320,155,48.4,18059410500,750,270,36,500,195,39,"No","No",18,59,410500,1,0.0936028094145,0.000276718200439063,0.0936028078802769,"180594105001",215,440,155,320,"180594104001",160,285,160,210,"180594104002",175,285,175,270,550,1010,54.4554455445545,490,800,61.25
