"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"19","153","010706","2","1500000US191530107062","191530107062","2","BG","11018955","0",74059,74059,19,153,10706,2,191530107062,"Block Group 2","G5030","S",11018955,0,41.6313535,-93.4935015,191530107062," Polk County"," Iowa","No",520,0,0,430,0,0,19153010706,2150,200,9.3,1590,185,11.6,"No","No",19,153,10706,2,0.161725732784,0.00119061620011962,0.161725733144658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","187","000700","1","1500000US191870007001","191870007001","1","BG","582213","0",74131,74131,19,187,700,1,191870007001,"Block Group 1","G5030","S",582213,0,42.5063643,-94.1750538,191870007001," Webster County"," Iowa","Yes",255,185,72.5,130,95,73.1,19187000700,315,215,68.3,185,115,62.2,"Yes","Yes",19,187,700,1,0.0420778417918,6.3769474536457e-05,0.0420778415365994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","013","002303","2","1500000US190130023032","190130023032","2","BG","656587","1593",74954,74954,19,13,2303,2,190130023032,"Block Group 2","G5030","S",656587,1593,42.5149832,-92.4607823,190130023032," Black Hawk County"," Iowa","No",0,0,0,0,0,0,19013002303,15,0,0,15,0,0,"No","No",19,13,2303,2,0.0447032067463,7.21004817023641e-05,0.0447032071267682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","123","950600","2","1500000US191239506002","191239506002","2","BG","4458672","0",74985,74985,19,123,950600,2,191239506002,"Block Group 2","G5030","S",4458672,0,41.3102514,-92.66189,191239506002," Mahaska County"," Iowa","Yes",190,80,42.1,130,80,61.5,19123950600,595,245,41.2,435,235,54,"Yes","Yes",19,123,950600,2,0.10561694083,0.00047942221658559,0.105616942209973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","057","000600","1","1500000US190570006001","190570006001","1","BG","388449","0",75242,75242,19,57,600,1,190570006001,"Block Group 1","G5030","S",388448,0,40.7914944,-91.1027946,190570006001," Des Moines County"," Iowa","Yes",265,140,52.8,140,55,39.3,19057000600,930,475,51.1,580,310,53.4,"Yes","Yes",19,57,600,1,0.0278032665558,4.14451362757973e-05,0.0278032675688956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","075","960400","2","1500000US190759604002","190759604002","2","BG","15696500","0",75151,75151,19,75,960400,2,190759604002,"Block Group 2","G5030","S",15696500,0,42.2244632,-92.8749394,190759604002," Grundy County"," Iowa","No",255,35,13.7,150,30,20,19075960400,475,85,17.9,295,60,20.3,"No","No",19,75,960400,2,0.176534098368,0.00171163637992322,0.176534098226495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","123","950700","1","1500000US191239507001","191239507001","1","BG","5064899","0",75050,75050,19,123,950700,1,191239507001,"Block Group 1","G5030","S",5064899,0,41.2750642,-92.6526752,191239507001," Mahaska County"," Iowa","No",295,95,32.2,250,75,30,19123950700,635,290,45.7,495,220,44.4,"No","No",19,123,950700,1,0.122773071819,0.0005443184466003,0.122773072918846,"191239507001",95,295,75,250,"191239505002",195,330,120,200,"191239507002",140,190,105,150,430,815,52.760736196319,300,600,50
"19","163","012902","3","1500000US191630129023","191630129023","3","BG","2010942","0",75551,75551,19,163,12902,3,191630129023,"Block Group 3","G5030","S",2010942,0,41.5665891,-90.5478835,191630129023," Scott County"," Iowa","No",440,145,33,300,100,33.3,19163012902,1235,195,15.8,780,100,12.8,"No","No",19,163,12902,3,0.0651972147755,0.000217070935377706,0.0651972153141373,"191630129023",145,440,100,300,"191630128021",140,295,125,275,"191630128011",770,925,545,630,1055,1660,63.5542168674699,770,1205,63.9004149377593
"19","169","001100","3","1500000US191690011003","191690011003","3","BG","333837","0",74806,74806,19,169,1100,3,191690011003,"Block Group 3","G5030","S",333837,0,42.0175317,-93.6434146,191690011003," Story County"," Iowa","Yes",245,120,49,155,90,58.1,19169001100,290,140,48.3,175,90,51.4,"Yes","Yes",19,169,1100,3,0.0287855271869,3.62866724117339e-05,0.0287855274807761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"19","113","000800","4","1500000US191130008004","191130008004","4","BG","572221","0",75418,75418,19,113,800,4,191130008004,"Block Group 4","G5030","S",572221,0,42.0151187,-91.6604103,191130008004," Linn County"," Iowa","Yes",110,75,68.2,80,50,62.5,19113000800,925,305,33,775,250,32.3,"Yes","No",19,113,800,4,0.0357008569703,6.21954136477143e-05,0.035700857269206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
