"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"23","003","951100","3","1500000US230039511003","230039511003","3","BG","119872904","1504050",86060,86060,23,3,951100,3,230039511003,"Block Group 3","G5030","S",119872904,1504050,46.5992969,-68.119375,230039511003," Aroostook County"," Maine","No",295,80,27.1,215,70,32.6,23003951100,655,200,30.5,460,145,31.5,"No","No",23,3,951100,3,0.473799676517,0.0142565335409017,0.473799675949028,"230039511003",80,295,70,215,"230039523004",0,10,0,10,"230039520001",250,270,195,215,330,575,57.3913043478261,265,440,60.2272727272727
"23","001","020300","4","1500000US230010203004","230010203004","4","BG","119774","0",86099,86099,23,1,20300,4,230010203004,"Block Group 4","G5030","S",119774,0,44.0985993,-70.20813,230010203004," Androscoggin County"," Maine","Yes",150,150,100,115,115,100,23001020300,895,755,84.4,690,565,81.9,"Yes","Yes",23,1,20300,4,0.0152471853404,1.34617878302379e-05,0.0152471835406476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","005","001800","3","1500000US230050018003","230050018003","3","BG","440412","0",86303,86303,23,5,1800,3,230050018003,"Block Group 3","G5030","S",440412,0,43.6715625,-70.282067,230050018003," Cumberland County"," Maine","No",95,0,0,50,0,0,23005001800,435,35,8,310,35,11.3,"No","No",23,5,1800,3,0.0302348025131,4.91510331812606e-05,0.0302348031644842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","027","045000","2","1500000US230270450002","230270450002","2","BG","42900044","1276537",86379,86379,23,27,45000,2,230270450002,"Block Group 2","G5030","S",42900044,1276537,44.4281885,-69.1698382,230270450002," Waldo County"," Maine","No",200,85,42.5,105,40,38.1,23027045000,1295,530,40.9,730,280,38.4,"No","No",23,27,45000,2,0.299518692068,0.00499322877294617,0.299518692177281,"230270450002",85,200,40,105,"230270430002",275,420,275,360,"230270450004",160,430,55,210,520,1050,49.5238095238095,370,675,54.8148148148148
"23","001","020300","3","1500000US230010203003","230010203003","3","BG","145492","0",86598,86598,23,1,20300,3,230010203003,"Block Group 3","G5030","S",145492,0,44.0978553,-70.2117386,230010203003," Androscoggin County"," Maine","Yes",150,150,100,105,105,100,23001020300,895,755,84.4,690,565,81.9,"Yes","Yes",23,1,20300,3,0.0161172440681,1.6352371631001e-05,0.0161172433001153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","019","000600","2","1500000US230190006002","230190006002","2","BG","255020","0",85806,85806,23,19,600,2,230190006002,"Block Group 2","G5030","S",255020,0,44.7927992,-68.7797892,230190006002," Penobscot County"," Maine","Yes",140,80,57.1,85,60,70.6,23019000600,225,140,62.2,115,65,56.5,"Yes","Yes",23,19,600,2,0.0231448975491,2.90006794330111e-05,0.0231448970668615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","005","001900","2","1500000US230050019002","230050019002","2","BG","387035","0",86246,86246,23,5,1900,2,230050019002,"Block Group 2","G5030","S",387035,0,43.6719619,-70.2932636,230050019002," Cumberland County"," Maine","No",155,55,35.5,90,25,27.8,23005001900,775,200,25.8,475,110,23.2,"No","No",23,5,1900,2,0.0368039821403,4.31943674357171e-05,0.036803982312821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","019","031200","1","1500000US230190312001","230190312001","1","BG","105031183","33017",85875,85875,23,19,31200,1,230190312001,"Block Group 1","G5030","S",105031183,33017,45.0776517,-69.0314323,230190312001," Penobscot County"," Maine","Yes",315,170,54,180,95,52.8,23019031200,980,520,53.1,590,355,60.2,"Yes","Yes",23,19,31200,1,0.444530427029,0.0120050307939437,0.444530427421237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"23","019","004300","1","1500000US230190043001","230190043001","1","BG","5708131","0",86597,86597,23,19,4300,1,230190043001,"Block Group 1","G5030","S",5708131,0,44.7816115,-68.7267747,230190043001," Penobscot County"," Maine","No",170,0,0,70,0,0,23019004300,1165,455,39.1,835,375,44.9,"No","No",23,19,4300,1,0.12245157656,0.000649000265639188,0.122451576196113,"230190043001",0,170,0,70,"230190042001",20,115,20,100,"230190043004",265,340,265,340,285,625,45.6,285,510,55.8823529411765
"23","005","002501","2","1500000US230050025012","230050025012","2","BG","2687638","262940",86301,86301,23,5,2501,2,230050025012,"Block Group 2","G5030","S",2687638,262940,43.7323456,-70.2180203,230050025012," Cumberland County"," Maine","No",245,0,0,135,0,0,23005002501,745,60,8.1,415,25,6,"No","No",23,5,2501,2,0.100849906483,0.000329612501218435,0.100849909379426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
