"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"26","041","970900","2","1500000US260419709002","260419709002","2","BG","1998578","3814489",96286,96286,26,41,970900,2,260419709002,"Block Group 2","G5030","S",1998808,3814265,45.7351234,-87.0609673,260419709002," Delta County"," Michigan","Yes",330,175,53,210,120,57.1,26041970900,425,250,58.8,270,170,63,"Yes","Yes",26,41,970900,2,0.155886452847,0.000671849655873302,0.155886455116858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","027","001100","1","1500000US260270011001","260270011001","1","BG","15266397","4404",100347,100347,26,27,1100,1,260270011001,"Block Group 1","G5030","S",15266397,4404,41.7750141,-85.943067,260270011001," Cass County"," Michigan","Yes",490,290,59.2,280,180,64.3,26027001100,800,315,39.4,480,185,38.5,"Yes","No",26,27,1100,1,0.197588722477,0.00165354722389566,0.197588722596957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","163","568300","3","1500000US261635683003","261635683003","3","BG","566118","0",99899,99899,26,163,568300,3,261635683003,"Block Group 3","G5030","S",566118,0,42.2912934,-83.4029589,261635683003," Wayne County"," Michigan","Yes",230,30,13,135,20,14.8,26163568300,890,510,57.3,515,260,50.5,"No","Yes",26,163,568300,3,0.0315160724517,6.17972807503975e-05,0.0315160720178375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","033","970100","2","1500000US260339701002","260339701002","2","BG","19979080","1424613",100213,100213,26,33,970100,2,260339701002,"Block Group 2","G5030","S",19983784,1429170,46.4467516,-84.3060491,260339701002," Chippewa County"," Michigan","No",265,100,37.7,125,45,36,26033970100,615,215,35,290,90,31,"No","No",26,33,970100,2,0.246912449478,0.00250701849836332,0.24691245020078,"260339701002",100,265,45,125,"260339702001",345,440,255,340,"260339701003",35,200,20,105,480,905,53.0386740331492,320,570,56.140350877193
"26","163","535100","2","1500000US261635351002","261635351002","2","BG","646297","0",97792,97792,26,163,535100,2,261635351002,"Block Group 2","G5030","S",646297,0,42.3694339,-83.1778189,261635351002," Wayne County"," Michigan","Yes",365,270,74,255,185,72.5,26163535100,470,350,74.5,360,265,73.6,"Yes","Yes",26,163,535100,2,0.0340957383619,7.06360901858716e-05,0.0340957376611239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","111","291101","1","1500000US261112911011","261112911011","1","BG","47520300","856523",102525,102525,26,111,291101,1,261112911011,"Block Group 1","G5030","S",47520300,856523,43.7746928,-84.3342124,261112911011," Midland County"," Michigan","No",280,90,32.1,215,75,34.9,26111291101,690,225,32.6,465,150,32.3,"No","No",26,111,291101,1,0.372571081195,0.00540848197420019,0.372571080256316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","065","006600","3","1500000US260650066003","260650066003","3","BG","1411764","88899",97363,97363,26,65,6600,3,260650066003,"Block Group 3","G5030","S",1411764,88899,42.7309334,-84.5437487,260650066003," Ingham County"," Michigan","Yes",280,280,100,165,165,100,26065006600,740,705,95.3,565,530,93.8,"Yes","Yes",26,65,6600,3,0.0784260446396,0.000164951374472366,0.0784260458496945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","161","411000","3","1500000US261614110003","261614110003","3","BG","188746","0",100480,100480,26,161,411000,3,261614110003,"Block Group 3","G5030","S",188746,0,42.2450549,-83.619229,261614110003," Washtenaw County"," Michigan","Yes",55,15,27.3,40,0,0,26161411000,130,65,50,85,25,29.4,"No","Yes",26,161,411000,3,0.0295930982494,2.05887993161014e-05,0.0295930983714126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","007","000800","2","1500000US260070008002","260070008002","2","BG","532114","0",98755,98755,26,7,800,2,260070008002,"Block Group 2","G5030","S",532114,0,45.0598691,-83.4427659,260070008002," Alpena County"," Michigan","Yes",205,150,73.2,95,70,73.7,26007000800,580,170,29.3,340,90,26.5,"Yes","No",26,7,800,2,0.0471448527748,6.07897729878459e-05,0.0471448533242774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","049","011102","3","1500000US260490111023","260490111023","3","BG","17805667","302937",97422,97422,26,49,11102,3,260490111023,"Block Group 3","G5030","S",17805667,302937,42.8806196,-83.6485739,260490111023," Genesee County"," Michigan","No",645,85,13.2,565,65,11.5,26049011102,1240,235,19,880,155,17.6,"No","No",26,49,11102,3,0.223806670592,0.00199537303547004,0.223806667661038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","075","006402","6","1500000US260750064026","260750064026","6","BG","37819059","398918",97601,97601,26,75,6402,6,260750064026,"Block Group 6","G5030","S",37819059,398918,42.1078433,-84.6033354,260750064026," Jackson County"," Michigan","Yes",260,145,55.8,155,100,64.5,26075006402,1930,720,37.3,1205,560,46.5,"Yes","No",26,75,6402,6,0.290887965859,0.00415965478782709,0.290887965112025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"26","049","010113","1","1500000US260490101131","260490101131","1","BG","2261386","1552",100284,100284,26,49,10113,1,260490101131,"Block Group 1","G5030","S",2263100,1552,43.1697619,-83.7180007,260490101131," Genesee County"," Michigan","Yes",215,175,81.4,140,125,89.3,26049010113,505,315,62.4,290,220,75.9,"Yes","Yes",26,49,10113,1,0.0710776316284,0.00025068139098039,0.0710776309022289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
