"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"28","049","000100","1","1500000US280490001001","280490001001","1","BG","1225867","0",109419,109419,28,49,100,1,280490001001,"Block Group 1","G5030","S",1225866,0,32.3758761,-90.1450097,280490001001," Hinds County"," Mississippi","No",110,30,27.3,95,30,31.6,28049000100,1265,340,26.9,810,215,26.5,"No","No",28,49,100,1,0.058247732658,0.000117468358894257,0.0582477323406549,"280490001001",30,110,30,95,"280490001003",45,330,20,205,"280490102011",690,875,495,655,765,1315,58.1749049429658,545,955,57.0680628272251
"28","163","950200","4","1500000US281639502004","281639502004","4","BG","581576","0",108260,108260,28,163,950200,4,281639502004,"Block Group 4","G5030","S",581576,0,32.8568959,-90.4016418,281639502004," Yazoo County"," Mississippi","Yes",435,435,100,340,340,100,28163950200,915,660,72.1,635,480,75.6,"Yes","Yes",28,163,950200,4,0.0351611337201,5.60240771392273e-05,0.035161133721144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","035","000600","4","1500000US280350006004","280350006004","4","BG","915490","0",109967,109967,28,35,600,4,280350006004,"Block Group 4","G5030","S",915490,0,31.3063342,-89.3064068,280350006004," Forrest County"," Mississippi","Yes",265,200,75.5,215,150,69.8,28035000600,2460,2070,84.1,1720,1375,79.9,"Yes","Yes",28,35,600,4,0.0415154381699,8.67351291162777e-05,0.0415154384583409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","001","000200","3","1500000US280010002003","280010002003","3","BG","4483132","0",108201,108201,28,1,200,3,280010002003,"Block Group 3","G5030","S",4483132,0,31.587522,-91.359356,280010002003," Adams County"," Mississippi","Yes",205,80,39,175,65,37.1,28001000200,730,430,58.9,550,340,61.8,"No","Yes",28,1,200,3,0.109571323439,0.000425991408519621,0.109571324096702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","049","003300","4","1500000US280490033004","280490033004","4","BG","705924","0",108143,108143,28,49,3300,4,280490033004,"Block Group 4","G5030","S",709598,0,32.2714468,-90.2476634,280490033004," Hinds County"," Mississippi","Yes",185,185,100,150,150,100,28049003300,2585,2250,87,1580,1330,84.2,"Yes","Yes",28,49,3300,4,0.0365989821064,6.792028966629e-05,0.0365989825194652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","051","950300","2","1500000US280519503002","280519503002","2","BG","344413356","6324394",110015,110015,28,51,950300,2,280519503002,"Block Group 2","G5030","S",344413356,6324394,33.2428717,-90.2358422,280519503002," Holmes County"," Mississippi","Yes",175,140,80,90,80,88.9,28051950300,835,770,92.2,550,525,95.5,"Yes","Yes",28,51,950300,2,1.28838269994,0.0339333054294002,1.28838269961508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","035","000200","1","1500000US280350002001","280350002001","1","BG","553321","0",109974,109974,28,35,200,1,280350002001,"Block Group 1","G5030","S",553321,0,31.3193375,-89.2900601,280350002001," Forrest County"," Mississippi","Yes",25,10,40,20,4,20,28035000200,635,360,56.7,515,270,52.4,"No","Yes",28,35,200,1,0.0361334331903,5.24297640822624e-05,0.0361334332610753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","025","950300","2","1500000US280259503002","280259503002","2","BG","518379","0",108775,108775,28,25,950300,2,280259503002,"Block Group 2","G5030","S",518379,0,33.6011787,-88.648992,280259503002," Clay County"," Mississippi","Yes",235,175,74.5,190,165,86.8,28025950300,1205,1030,85.5,850,750,88.2,"Yes","Yes",28,25,950300,2,0.0290119369799,5.03549563291017e-05,0.0290119364297578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","059","041100","3","1500000US280590411003","280590411003","3","BG","702652","0",109415,109415,28,59,41100,3,280590411003,"Block Group 3","G5030","S",702652,0,30.3785373,-88.643924,280590411003," Jackson County"," Mississippi","Yes",610,565,92.6,610,565,92.6,28059041100,2295,1405,61.2,1535,910,59.3,"Yes","Yes",28,59,41100,3,0.0399581439993,6.59424397326802e-05,0.0399581441313422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"28","003","950500","2","1500000US280039505002","280039505002","2","BG","807496","0",108891,108891,28,3,950500,2,280039505002,"Block Group 2","G5030","S",807496,0,34.9230111,-88.5098618,280039505002," Alcorn County"," Mississippi","Yes",175,45,25.7,105,15,14.3,28003950500,1755,1230,70.1,1200,905,75.4,"No","Yes",28,3,950500,2,0.0367444483759,7.96590140907938e-05,0.0367444482412132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
