"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"30","075","000100","1","1500000US300750001001","300750001001","1","BG","8290127071","1565958",114903,114903,30,75,100,1,300750001001,"Block Group 1","G5030","S",8290127187,1565958,45.3809271,-105.6340904,300750001001," Powder River County"," Montana","Yes",175,95,54.3,100,60,60,30075000100,275,115,41.8,160,80,50,"Yes","Yes",30,75,100,1,5.39782851312,0.952765662180809,5.39782852268852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"30","013","000300","3","1500000US300130003003","300130003003","3","BG","316858","0",115124,115124,30,13,300,3,300130003003,"Block Group 3","G5030","S",316858,0,47.5084832,-111.2729058,300130003003," Cascade County"," Montana","No",115,20,17.4,80,20,25,30013000300,860,355,41.3,575,210,36.5,"No","No",30,13,300,3,0.0390919287218,3.78319678020489e-05,0.0390919287336258,"300130003003",20,115,20,80,"300130003002",225,365,120,230,"300130004002",130,190,110,150,375,670,55.9701492537313,250,460,54.3478260869565
"30","063","000500","1","1500000US300630005001","300630005001","1","BG","597161","21119",115218,115218,30,63,500,1,300630005001,"Block Group 1","G5030","S",597161,21119,46.8635335,-113.993347,300630005001," Missoula County"," Montana","Yes",15,15,100,0,0,0,30063000500,720,245,34,565,210,37.2,"Yes","No",30,63,500,1,0.0366834104414,7.29397643226548e-05,0.0366834116858889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"30","073","977000","4","1500000US300739770004","300739770004","4","BG","528764","0",115404,115404,30,73,977000,4,300739770004,"Block Group 4","G5030","S",528764,0,48.1705831,-111.9566311,300739770004," Pondera County"," Montana","No",280,100,35.7,190,75,39.5,30073977000,965,425,44,715,350,49,"No","No",30,73,977000,4,0.0424900633069,6.39336781205202e-05,0.0424900643757505,"300739770004",100,280,75,190,"300739770003",4,125,4,45,"300739770005",230,345,190,295,334,750,44.5333333333333,269,530,50.7547169811321
"30","031","001002","4","1500000US300310010024","300310010024","4","BG","1262568","0",115351,115351,30,31,1002,4,300310010024,"Block Group 4","G5030","S",1262568,0,45.6603403,-111.0252201,300310010024," Gallatin County"," Montana","No",255,25,9.8,125,4,3.2,30031001002,770,125,16.2,460,60,13,"No","No",30,31,1002,4,0.0681564773574,0.000145756067468028,0.0681564770287558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"30","063","001000","3","1500000US300630010003","300630010003","3","BG","523462","0",115172,115172,30,63,1000,3,300630010003,"Block Group 3","G5030","S",523462,0,46.8516558,-114.0327992,300630010003," Missoula County"," Montana","Yes",290,185,63.8,170,130,76.5,30063001000,995,555,55.8,575,250,43.5,"Yes","Yes",30,63,1000,3,0.0397322248853,6.17403229625779e-05,0.0397322253459255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"30","029","000300","4","1500000US300290003004","300290003004","4","BG","868075","62197",115436,115436,30,29,300,4,300290003004,"Block Group 4","G5030","S",868455,62210,48.4171118,-114.3424166,300290003004," Flathead County"," Montana","No",145,40,27.6,115,20,17.4,30029000300,775,285,36.8,695,265,38.1,"No","No",30,29,300,4,0.0668689308658,0.000113067230358865,0.0668689288869491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"30","013","002200","3","1500000US300130022003","300130022003","3","BG","743412","0",115376,115376,30,13,2200,3,300130022003,"Block Group 3","G5030","S",743412,0,47.4905627,-111.2793326,300130022003," Cascade County"," Montana","No",105,30,28.6,75,15,20,30013002200,1010,470,46.5,635,290,45.7,"No","No",30,13,2200,3,0.0392475141229,8.87315209183726e-05,0.0392475138039892,"300130022003",30,105,15,75,"300130009003",345,455,260,310,"300130008002",120,130,100,110,495,690,71.7391304347826,375,495,75.7575757575758
"30","111","000705","3","1500000US301110007053","301110007053","3","BG","690087","0",114933,114933,30,111,705,3,301110007053,"Block Group 3","G5030","S",690087,0,45.8165304,-108.4933196,301110007053," Yellowstone County"," Montana","No",270,40,14.8,125,10,8,30111000705,875,285,32.6,465,175,37.6,"No","No",30,111,705,3,0.0416155650432,7.98870892140258e-05,0.0416155641198991,"301110007053",40,270,10,125,"301110007051",205,265,130,155,"301110007062",115,170,115,150,360,705,51.063829787234,255,430,59.3023255813954
"30","089","000200","1","1500000US300890002001","300890002001","1","BG","897084152","19401118",115400,115400,30,89,200,1,300890002001,"Block Group 1","G5030","S",897084167,19401120,48.048009,-115.7219347,300890002001," Sanders County"," Montana","Yes",150,45,30,70,30,42.9,30089000200,1290,760,58.9,755,465,61.6,"No","Yes",30,89,200,1,2.45592432273,0.110549195310796,2.45592431828349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
