"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"33","015","065008","2","1500000US330150650082","330150650082","2","BG","399531","325473",119269,119269,33,15,65008,2,330150650082,"Block Group 2","G5030","S",399531,325473,42.8934378,-70.8159603,330150650082," Rockingham County"," New Hampshire","No",30,0,0,30,0,0,33015065008,245,95,38.8,215,65,30.2,"No","No",33,15,65008,2,0.0392365994562,7.99023518993636e-05,0.0392366008352869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","011","200200","1","1500000US330112002001","330112002001","1","BG","5277660","86103",119408,119408,33,11,200200,1,330112002001,"Block Group 1","G5030","S",5277660,86103,42.7051293,-71.3270943,330112002001," Hillsborough County"," New Hampshire","No",200,0,0,180,0,0,33011200200,1010,30,3,695,10,1.4,"No","No",33,11,200200,1,0.118045862842,0.000589346704373384,0.118045862925713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","015","053000","1","1500000US330150530001","330150530001","1","BG","15327327","90700",119383,119383,33,15,53000,1,330150530001,"Block Group 1","G5030","S",15327327,90700,42.9309435,-71.134261,330150530001," Rockingham County"," New Hampshire","No",575,90,15.7,290,65,22.4,33015053000,1135,145,12.8,685,120,17.5,"No","No",33,15,53000,1,0.182143822735,0.00170014716991318,0.182143822304928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","007","951100","1","1500000US330079511001","330079511001","1","BG","34154603","929686",119146,119146,33,7,951100,1,330079511001,"Block Group 1","G5030","S",34154603,929686,44.3436549,-71.6219683,330079511001," Coos County"," New Hampshire","Yes",180,130,72.2,120,115,95.8,33007951100,510,275,53.9,335,205,61.2,"Yes","Yes",33,7,951100,1,0.300219133757,0.00395941683450474,0.300219134822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","011","023000","5","1500000US330110230005","330110230005","5","BG","3231670","7338",119189,119189,33,11,23000,5,330110230005,"Block Group 5","G5030","S",3231670,7338,42.8786099,-71.9435746,330110230005," Hillsborough County"," New Hampshire","No",225,45,20,100,10,10,33011023000,1185,175,14.8,670,70,10.4,"No","No",33,11,23000,5,0.0922140168958,0.000356873898454069,0.0922140165530982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","011","014202","3","1500000US330110142023","330110142023","3","BG","2171320","0",119071,119071,33,11,14202,3,330110142023,"Block Group 3","G5030","S",2171320,0,42.8837554,-71.492806,330110142023," Hillsborough County"," New Hampshire","No",265,0,0,100,0,0,33011014202,1520,270,17.8,975,225,23.1,"No","No",33,11,14202,3,0.073216681418,0.000239251377706751,0.0732166808901075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","015","065005","2","1500000US330150650052","330150650052","2","BG","567198","603763",119050,119050,33,15,65005,2,330150650052,"Block Group 2","G5030","S",567198,603763,42.9349456,-70.7962773,330150650052," Rockingham County"," New Hampshire","No",10,0,0,0,0,0,33015065005,535,0,0,255,0,0,"No","No",33,15,65005,2,0.0588181504053,0.000129131699395657,0.0588181513012614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"33","011","000300","1","1500000US330110003001","330110003001","1","BG","102723","0",119271,119271,33,11,300,1,330110003001,"Block Group 1","G5030","S",102723,0,42.9955241,-71.4763453,330110003001," Hillsborough County"," New Hampshire","No",95,25,26.3,60,0,0,33011000300,560,205,36.6,465,140,30.1,"No","No",33,11,300,1,0.0184397775395,1.13389942271169e-05,0.0184397783004015,"330110003001",25,95,0,60,"330110002022",80,130,50,90,"330110021001",265,475,140,265,370,700,52.8571428571429,190,415,45.7831325301205
"33","011","011000","1","1500000US330110110001","330110110001","1","BG","2472062","244136",119167,119167,33,11,11000,1,330110110001,"Block Group 1","G5030","S",2472062,244136,42.7398011,-71.4452915,330110110001," Hillsborough County"," New Hampshire","No",425,140,32.9,230,45,19.6,33011011000,980,235,24,655,100,15.3,"No","No",33,11,11000,1,0.110873387208,0.000298600409905703,0.110873386535846,"330110110001",140,425,45,230,"330110106004",285,375,205,240,"330110106003",220,460,175,300,645,1260,51.1904761904762,425,770,55.1948051948052
"33","019","975500","2","1500000US330199755002","330199755002","2","BG","58119026","238931",119897,119897,33,19,975500,2,330199755002,"Block Group 2","G5030","S",58119026,238931,43.2719844,-72.1006905,330199755002," Sullivan County"," New Hampshire","No",150,65,43.3,105,50,47.6,33019975500,455,125,27.5,275,85,30.9,"No","No",33,19,975500,2,0.357053365174,0.00647237938915168,0.357053369023376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
