"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","�..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"35","007","950700","3","1500000US350079507003","350079507003","3","BG","2911506430","9356014",127117,127117,35,7,950700,3,350079507003,"Block Group 3","G5030","S",2911503912,9356014,36.5517512,-104.998355,350079507003," Colfax County"," New Mexico","Yes",205,150,73.2,155,140,90.3,35007950700,870,655,75.3,570,480,84.2,"Yes","Yes",35,7,950700,3,3.93804562328,0.294130482998298,3.93804562408081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","000206","1","1500000US350010002061","350010002061","1","BG","703445","0",126450,126450,35,1,206,1,350010002061,"Block Group 1","G5030","S",703444,0,35.1204128,-106.5817449,350010002061," Bernalillo County"," New Mexico","No",305,100,32.8,175,75,42.9,35001000206,680,125,18.4,355,105,29.6,"No","No",35,1,206,1,0.0340727625494,6.95590329087281e-05,0.034072761743043,"350010002061",100,305,75,175,"350010002051",15,20,15,20,"350010002054",130,190,95,150,245,515,47.5728155339806,185,345,53.6231884057971
"35","001","000601","3","1500000US350010006013","350010006013","3","BG","652459","0",126485,126485,35,1,601,3,350010006013,"Block Group 3","G5030","S",652459,0,35.0909723,-106.573144,350010006013," Bernalillo County"," New Mexico","Yes",35,0,0,15,0,0,35001000601,540,260,48.1,420,220,52.4,"No","Yes",35,1,601,3,0.0323581873945,6.44944659597968e-05,0.032358187891571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","000127","3","1500000US350010001273","350010001273","3","BG","541653","0",126438,126438,35,1,127,3,350010001273,"Block Group 3","G5030","S",541653,0,35.0985034,-106.5286994,350010001273," Bernalillo County"," New Mexico","No",160,40,25,105,40,38.1,35001000127,560,165,29.5,415,145,34.9,"No","No",35,1,127,3,0.0308978727659,5.3546401886706e-05,0.030897871908173,"350010001273",40,160,40,105,"350010001153",135,180,135,160,"350010001231",0,95,0,60,175,435,40.2298850574713,175,325,53.8461538461538
"35","001","003737","1","1500000US350010037371","350010037371","1","BG","878953","0",126940,126940,35,1,3737,1,350010037371,"Block Group 1","G5030","S",878956,0,35.142061,-106.5076462,350010037371," Bernalillo County"," New Mexico","No",140,0,0,75,0,0,35001003737,560,0,0,335,0,0,"No","No",35,1,3737,1,0.0477568740372,8.69367345330829e-05,0.0477568739264133,"350010037371",0,140,0,75,"350010037383",145,255,55,100,"350010037384",260,335,140,185,405,730,55.4794520547945,195,360,54.1666666666667
"35","001","000601","1","1500000US350010006011","350010006011","1","BG","887074","0",126473,126473,35,1,601,1,350010006011,"Block Group 1","G5030","S",887074,0,35.08962,-106.5571065,350010006011," Bernalillo County"," New Mexico","Yes",180,130,72.2,180,130,72.2,35001000601,540,260,48.1,420,220,52.4,"Yes","Yes",35,1,601,1,0.0639461898172,8.7684417167111e-05,0.0639461894520363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","031","943600","4","1500000US350319436004","350319436004","4","BG","246004798","320031",127236,127236,35,31,943600,4,350319436004,"Block Group 4","G5030","S",246004798,320031,35.6033675,-108.2434724,350319436004," McKinley County"," New Mexico","Yes",150,130,86.7,85,75,88.2,35031943600,1860,1485,79.8,1120,895,79.9,"Yes","Yes",35,31,943600,4,0.99485511911,0.0245017788981841,0.994855122328134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","004742","1","1500000US350010047421","350010047421","1","BG","21956","0",126943,126943,35,1,4742,1,350010047421,"Block Group 1","G5030","S",21956,0,35.1225989,-106.7276033,350010047421," Bernalillo County"," New Mexico","No",0,0,0,0,0,0,35001004742,1775,825,46.5,1135,535,47.1,"No","No",35,1,4742,1,0.0191798745119,2.17126194002049e-06,0.019179874758982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","035","000305","4","1500000US350350003054","350350003054","4","BG","566406","0",127247,127247,35,35,305,4,350350003054,"Block Group 4","G5030","S",566489,0,32.9116837,-105.948501,350350003054," Otero County"," New Mexico","Yes",385,180,46.8,335,160,47.8,35035000305,1255,780,62.2,940,540,57.4,"No","Yes",35,35,305,4,0.0295844675132,5.46035116713028e-05,0.0295844662117682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","045","943000","3","1500000US350459430003","350459430003","3","BG","1252273482","30095",126988,126988,35,45,943000,3,350459430003,"Block Group 3","G5030","S",1252273481,30095,36.4018146,-108.4147089,350459430003," San Juan County"," New Mexico","Yes",370,320,86.5,245,205,83.7,35045943000,1465,1020,69.6,995,660,66.3,"Yes","Yes",35,45,943000,3,2.02806813149,0.125825919302315,2.02806812395334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","045","000401","4","1500000US350450004014","350450004014","4","BG","304309","0",127553,127553,35,45,401,4,350450004014,"Block Group 4","G5030","S",304865,0,36.7417425,-108.205477,350450004014," San Juan County"," New Mexico","Yes",220,140,63.6,35,0,0,35045000401,1530,850,55.6,1030,550,53.4,"Yes","Yes",35,45,401,4,0.0223576004721,3.07594136756961e-05,0.0223575997026785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","003202","3","1500000US350010032023","350010032023","3","BG","406966","0",126736,126736,35,1,3202,3,350010032023,"Block Group 3","G5030","S",406960,0,35.1285287,-106.6443051,350010032023," Bernalillo County"," New Mexico","Yes",270,30,11.1,215,30,14,35001003202,1715,975,56.9,1345,815,60.6,"No","Yes",35,1,3202,3,0.0271076640963,4.02456539632112e-05,0.0271076651235455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","025","000600","6","1500000US350250006006","350250006006","6","BG","307575","0",127183,127183,35,25,600,6,350250006006,"Block Group 6","G5030","S",307575,0,32.7149534,-103.1517247,350250006006," Lea County"," New Mexico","No",285,80,28.1,125,20,16,35025000600,2445,1020,41.7,1605,540,33.6,"No","No",35,25,600,6,0.0255863294165,2.95827392164938e-05,0.025586327381144,"350250006006",80,285,20,125,"350250002003",305,540,235,390,"350250006005",300,315,235,235,685,1140,60.0877192982456,490,750,65.3333333333333
"35","001","000207","1","1500000US350010002071","350010002071","1","BG","642614","0",127646,127646,35,1,207,1,350010002071,"Block Group 1","G5030","S",642614,0,35.112762,-106.5732135,350010002071," Bernalillo County"," New Mexico","No",195,25,12.8,150,0,0,35001000207,440,125,28.4,300,55,18.3,"No","No",35,1,207,1,0.032062460938,6.35381443316874e-05,0.032062461752473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","009","000400","4","1500000US350090004004","350090004004","4","BG","1093127","0",127517,127517,35,9,400,4,350090004004,"Block Group 4","G5030","S",1093127,0,34.400853,-103.1982284,350090004004," Curry County"," New Mexico","Yes",220,185,84.1,215,185,86,35009000400,1420,1315,92.6,1145,1075,93.9,"Yes","Yes",35,9,400,4,0.0436363097774,0.00010717141412897,0.0436363116071656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","049","001107","1","1500000US350490011071","350490011071","1","BG","850612","0",127158,127158,35,49,1107,1,350490011071,"Block Group 1","G5030","S",850612,0,35.6481357,-105.9794205,350490011071," Santa Fe County"," New Mexico","No",150,35,23.3,35,15,42.9,35049001107,900,330,36.7,615,230,37.4,"No","No",35,49,1107,1,0.0387502277272,8.46534701395285e-05,0.0387502270747884,"350490011071",35,150,15,35,"350490011072",160,330,110,210,"350490011051",100,205,75,140,295,685,43.0656934306569,200,385,51.9480519480519
"35","043","010712","2","1500000US350430107122","350430107122","2","BG","1588301","0",126815,126815,35,43,10712,2,350430107122,"Block Group 2","G5030","S",1586173,0,35.258773,-106.7027001,350430107122," Sandoval County"," New Mexico","Yes",430,210,48.8,260,130,50,35043010712,1295,660,51,910,515,56.6,"Yes","Yes",35,43,10712,2,0.0651235487476,0.000157109045858306,0.0651235494376985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","045","943201","2","1500000US350459432012","350459432012","2","BG","1630433787","368298",126989,126989,35,45,943201,2,350459432012,"Block Group 2","G5030","S",1630433787,368298,36.1277101,-108.0101011,350459432012," San Juan County"," New Mexico","Yes",360,310,86.1,250,220,88,35045943201,1605,1235,76.9,1085,880,81.1,"Yes","Yes",35,45,943201,2,2.23550634457,0.163255979251289,2.23550633368859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","000125","2","1500000US350010001252","350010001252","2","BG","780889","0",126437,126437,35,1,125,2,350010001252,"Block Group 2","G5030","S",780890,0,35.0918165,-106.4927602,350010001252," Bernalillo County"," New Mexico","No",200,45,22.5,120,20,16.7,35001000125,590,90,15.3,335,50,14.9,"No","No",35,1,125,2,0.0385929178405,7.7190445836095e-05,0.0385929171575437,"350010001252",45,200,20,120,"350010007122",475,585,350,410,"350010001253",25,160,25,125,545,945,57.6719576719577,395,655,60.3053435114504
"35","013","001806","2","1500000US350130018062","350130018062","2","BG","2291425","0",127028,127028,35,13,1806,2,350130018062,"Block Group 2","G5030","S",2291433,0,32.0056284,-106.6099834,350130018062," Doña Ana County"," New Mexico","Yes",1515,1320,87.1,1030,910,88.3,35013001806,2435,1925,79.1,1620,1275,78.7,"Yes","Yes",35,13,1806,2,0.0656703245723,0.00021870260684409,0.0656703253523054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","025","000100","2","1500000US350250001002","350250001002","2","BG","800812","0",127033,127033,35,25,100,2,350250001002,"Block Group 2","G5030","S",827710,0,32.7070234,-103.1393941,350250001002," Lea County"," New Mexico","Yes",370,90,24.3,360,80,22.2,35025000100,935,505,54,860,435,50.6,"No","Yes",35,25,100,2,0.0435823023735,7.96031295067223e-05,0.0435823019438733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","003732","1","1500000US350010037321","350010037321","1","BG","3844132","0",126482,126482,35,1,3732,1,350010037321,"Block Group 1","G5030","S",3843302,0,35.1915025,-106.5465466,350010037321," Bernalillo County"," New Mexico","No",1055,100,9.5,705,55,7.8,35001003732,2285,290,12.7,1525,130,8.5,"No","No",35,1,3732,1,0.098451889786,0.000380362331952711,0.0984518894595038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"35","001","000300","1","1500000US350010003001","350010003001","1","BG","680987","0",126452,126452,35,1,300,1,350010003001,"Block Group 1","G5030","S",680987,0,35.1026557,-106.6093306,350010003001," Bernalillo County"," New Mexico","Yes",75,30,40,60,30,50,35001000300,650,235,36.2,440,130,29.5,"Yes","No",35,1,300,1,0.034763846675,6.73238216677419e-05,0.0347638465067798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
