"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"38","097","970400","2","1500000US380979704002","380979704002","2","BG","9225105","0",149700,149700,38,97,970400,2,380979704002,"Block Group 2","G5030","S",9225101,0,47.4135484,-97.0383843,380979704002," Traill County"," North Dakota","No",260,45,17.3,185,40,21.6,38097970400,375,110,29.3,280,100,35.7,"No","No",38,97,970400,2,0.149408876096,0.00109948866020204,0.14940887627494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","017","000201","2","1500000US380170002012","380170002012","2","BG","415723","0",149697,149697,38,17,201,2,380170002012,"Block Group 2","G5030","S",415723,0,46.9101907,-96.7848786,380170002012," Cass County"," North Dakota","No",320,70,21.9,130,50,38.5,38017000201,585,135,23.1,335,105,31.3,"No","No",38,17,201,2,0.0329492200363,4.90862630613265e-05,0.0329492194649998,"380170002012",70,320,50,130,"380170002022",115,245,95,200,"380170003001",55,65,55,65,240,630,38.0952380952381,200,395,50.6329113924051
"38","017","000901","5","1500000US380170009015","380170009015","5","BG","405659","0",149613,149613,38,17,901,5,380170009015,"Block Group 5","G5030","S",405659,0,46.8516403,-96.8061403,380170009015," Cass County"," North Dakota","No",160,0,0,65,0,0,38017000901,1485,560,37.7,1090,400,36.7,"No","No",38,17,901,5,0.0282000677983,4.78462875435071e-05,0.0282000682559298,"380170009015",0,160,0,65,"380170009041",40,260,40,150,"380170009013",370,510,260,380,410,930,44.0860215053763,300,595,50.4201680672269
"38","035","011800","2","1500000US380350118002","380350118002","2","BG","2590526","0",149355,149355,38,35,11800,2,380350118002,"Block Group 2","G5030","S",2590534,0,47.7372251,-97.570363,380350118002," Grand Forks County"," North Dakota","No",170,65,38.2,135,45,33.3,38035011800,380,95,25,285,70,24.6,"No","No",38,35,11800,2,0.0718775599729,0.000310641819396551,0.0718775594885341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","101","010500","3","1500000US381010105003","381010105003","3","BG","1220724","0",149380,149380,38,101,10500,3,381010105003,"Block Group 3","G5030","S",1220724,0,48.2219915,-101.3063328,381010105003," Ward County"," North Dakota","No",365,4,1.1,240,0,0,38101010500,1835,445,24.3,1320,370,28,"No","No",38,101,10500,3,0.0665772810974,0.000147746078255295,0.0665772829040977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","051","972900","3","1500000US380519729003","380519729003","3","BG","12939279","0",149758,149758,38,51,972900,3,380519729003,"Block Group 3","G5030","S",12939219,0,46.0373562,-99.376878,380519729003," McIntosh County"," North Dakota","No",115,45,39.1,65,20,30.8,38051972900,515,155,30.1,325,95,29.2,"No","No",38,51,972900,3,0.16948801246,0.00150378892521985,0.16948801219474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","089","964000","1","1500000US380899640001","380899640001","1","BG","98658272","458188",149740,149740,38,89,964000,1,380899640001,"Block Group 1","G5030","S",98658267,458188,46.9130554,-103.1989452,380899640001," Stark County"," North Dakota","No",270,15,5.6,215,4,1.9,38089964000,500,30,6,375,20,5.3,"No","No",38,89,964000,1,0.465517262182,0.0117031955696802,0.465517261304385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","093","967800","3","1500000US380939678003","380939678003","3","BG","440575","0",149541,149541,38,93,967800,3,380939678003,"Block Group 3","G5030","S",440575,0,46.899673,-98.6955354,380939678003," Stutsman County"," North Dakota","Yes",130,120,92.3,40,40,100,38093967800,910,560,61.5,540,305,56.5,"Yes","Yes",38,93,967800,3,0.0291885865074,5.20107728334551e-05,0.0291885869801972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","105","953900","2","1500000US381059539002","381059539002","2","BG","654099","0",149808,149808,38,105,953900,2,381059539002,"Block Group 2","G5030","S",654099,0,48.1651022,-103.6203468,381059539002," Williams County"," North Dakota","No",195,0,0,155,0,0,38105953900,845,35,4.1,590,15,2.5,"No","No",38,105,953900,2,0.0364039616103,7.9080154591793e-05,0.0364039618249433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"38","017","000904","1","1500000US380170009041","380170009041","1","BG","649869","0",149504,149504,38,17,904,1,380170009041,"Block Group 1","G5030","S",649869,0,46.8578944,-96.8143129,380170009041," Cass County"," North Dakota","No",260,40,15.4,150,40,26.7,38017000904,790,240,30.4,595,210,35.3,"No","No",38,17,904,1,0.0355727023584,7.6659035130433e-05,0.0355727035494792,"380170009041",40,260,40,150,"380170009015",0,160,0,65,"380170009031",210,225,210,210,250,645,38.7596899224806,250,425,58.8235294117647
