"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"40","027","201612","2","1500000US400272016122","400272016122","2","BG","728845","10458",159174,159174,40,27,201612,2,400272016122,"Block Group 2","G5030","S",728845,10458,35.3439719,-97.5250623,400272016122," Cleveland County"," Oklahoma","No",65,0,0,60,0,0,40027201612,920,215,23.4,680,170,25,"No","No",40,27,201612,2,0.0367459130281,7.33035249140812e-05,0.0367459121991231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","105","172400","3","1500000US401051724003","401051724003","3","BG","1072571","0",159333,159333,40,105,172400,3,401051724003,"Block Group 3","G5030","S",1072571,0,36.7024944,-95.6359701,401051724003," Nowata County"," Oklahoma","No",170,70,41.2,130,60,46.2,40105172400,1260,575,45.6,825,375,45.5,"No","No",40,105,172400,3,0.0482135426136,0.000108163740378586,0.0482135433430024,"401051724003",70,170,60,130,"401051724005",110,130,70,85,"401051724001",135,245,75,145,315,545,57.7981651376147,205,360,56.9444444444444
"40","109","108704","3","1500000US401091087043","401091087043","3","BG","16340255","0",160454,160454,40,109,108704,3,401091087043,"Block Group 3","G5030","S",16340255,0,35.4051248,-97.2548905,401091087043," Oklahoma County"," Oklahoma","No",345,75,21.7,245,65,26.5,40109108704,1145,295,25.8,795,180,22.6,"No","No",40,109,108704,3,0.184573940099,0.00162136760604881,0.184573939983168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","027","200601","2","1500000US400272006012","400272006012","2","BG","488530","0",161139,161139,40,27,200601,2,400272006012,"Block Group 2","G5030","S",488530,0,35.2133945,-97.4153302,400272006012," Cleveland County"," Oklahoma","Yes",335,250,74.6,275,210,76.4,40027200601,1230,580,47.2,985,505,51.3,"Yes","Yes",40,27,200601,2,0.0328190508423,4.83618719044898e-05,0.0328190504953519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","047","001401","1","1500000US400470014011","400470014011","1","BG","455909","0",159588,159588,40,47,1401,1,400470014011,"Block Group 1","G5030","S",455909,0,36.3921195,-97.8991287,400470014011," Garfield County"," Oklahoma","Yes",195,125,64.1,130,80,61.5,40047001401,990,540,54.5,810,435,53.7,"Yes","Yes",40,47,1401,1,0.0407836787555,4.57954711237107e-05,0.0407836786325491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","049","681300","2","1500000US400496813002","400496813002","2","BG","3001243","1208",160984,160984,40,49,681300,2,400496813002,"Block Group 2","G5030","S",3001243,1208,34.7336096,-97.2006677,400496813002," Garvin County"," Oklahoma","Yes",200,170,85,145,130,89.7,40049681300,695,435,62.6,470,305,64.9,"Yes","Yes",40,49,681300,2,0.0786292165279,0.000295538914770077,0.0786292164732722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","147","000500","3","1500000US401470005003","401470005003","3","BG","489487","0",160871,160871,40,147,500,3,401470005003,"Block Group 3","G5030","S",489487,0,36.7537661,-95.9317043,401470005003," Washington County"," Oklahoma","No",225,105,46.7,175,55,31.4,40147000500,1750,855,48.9,1150,570,49.6,"No","No",40,147,500,3,0.028558785732,4.93948559778801e-05,0.0285587861483231,"401470005003",105,225,55,175,"401470004003",190,290,130,210,"401470004002",50,130,35,60,345,645,53.4883720930233,220,445,49.438202247191
"40","133","583600","3","1500000US401335836003","401335836003","3","BG","10736095","0",159233,159233,40,133,583600,3,401335836003,"Block Group 3","G5030","S",10736095,0,35.1301275,-96.4938216,401335836003," Seminole County"," Oklahoma","Yes",315,230,73,220,175,79.5,40133583600,1060,745,70.3,745,570,76.5,"Yes","Yes",40,133,583600,3,0.142574004637,0.00106174785651092,0.142574005046504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","143","007637","2","1500000US401430076372","401430076372","2","BG","2592396","0",160432,160432,40,143,7637,2,401430076372,"Block Group 2","G5030","S",2592396,0,35.9955834,-95.9133038,401430076372," Tulsa County"," Oklahoma","No",580,0,0,355,0,0,40143007637,1500,40,2.7,820,40,4.9,"No","No",40,143,7637,2,0.0647165638705,0.000259109310036365,0.0647165639969151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"40","109","107213","4","1500000US401091072134","401091072134","4","BG","788044","0",160277,160277,40,109,107213,4,401091072134,"Block Group 4","G5030","S",788044,0,35.3992531,-97.5718896,401091072134," Oklahoma County"," Oklahoma","Yes",455,115,25.3,350,95,27.1,40109107213,1775,1185,66.8,1160,825,71.1,"No","Yes",40,109,107213,4,0.0453610643377,7.81885573815089e-05,0.0453610648726851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
