"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"41","023","960100","3","1500000US410239601003","410239601003","3","BG","2127514607","234152",162293,162293,41,23,960100,3,410239601003,"Block Group 3","G5030","S",2127514608,234152,44.281442,-118.6375984,410239601003," Grant County"," Oregon","Yes",120,80,66.7,90,75,83.3,41023960100,315,180,57.1,230,145,63,"Yes","Yes",41,23,960100,3,3.02073224971,0.239822198067486,3.02073224365256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","057","960400","6","1500000US410579604006","410579604006","6","BG","305020776","0",164370,164370,41,57,960400,6,410579604006,"Block Group 6","G5030","S",305020776,0,45.5283968,-123.5209814,410579604006," Tillamook County"," Oregon","No",95,0,0,65,0,0,41057960400,1785,700,39.2,1330,550,41.4,"No","No",41,57,960400,6,1.4071028444,0.0351314185900264,1.40710284470484,"410579604006",0,95,0,65,"410579603001",105,170,95,125,"410579604004",130,160,110,110,235,425,55.2941176470588,205,300,68.3333333333333
"41","051","006501","3","1500000US410510065013","410510065013","3","BG","1177881","0",163921,163921,41,51,6501,3,410510065013,"Block Group 3","G5030","S",1177881,0,45.4613441,-122.7383083,410510065013," Multnomah County"," Oregon","No",620,200,32.3,375,115,30.7,41051006501,1465,265,18.1,1000,155,15.5,"No","No",41,51,6501,3,0.0487503238765,0.000135505766138522,0.0487503234579651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","035","970100","1","1500000US410359701001","410359701001","1","BG","2360607943","95223151",164107,164107,41,35,970100,1,410359701001,"Block Group 1","G5030","S",2360607943,95223151,43.2379323,-121.9629892,410359701001," Klamath County"," Oregon","Yes",125,25,20,55,0,0,41035970100,575,290,50.4,305,150,49.2,"No","Yes",41,35,970100,1,3.4912899124,0.272065867047331,3.49128991112439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","067","031617","4","1500000US410670316174","410670316174","4","BG","62290","0",162629,162629,41,67,31617,4,410670316174,"Block Group 4","G5030","S",62290,0,45.5417952,-122.8850989,410670316174," Washington County"," Oregon","No",50,4,8,30,4,13.3,41067031617,850,190,22.4,640,110,17.2,"No","No",41,67,31617,4,0.0136330294472,7.17595639798674e-06,0.0136330293963072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","043","020801","1","1500000US410430208011","410430208011","1","BG","891409","0",162940,162940,41,43,20801,1,410430208011,"Block Group 1","G5030","S",891409,0,44.6283367,-123.09936,410430208011," Linn County"," Oregon","Yes",285,170,59.6,250,155,62,41043020801,580,425,73.3,500,370,74,"Yes","Yes",41,43,20801,1,0.0477002382536,0.000101086833183217,0.0477002369897799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","027","950200","1","1500000US410279502001","410279502001","1","BG","1335352","0",162501,162501,41,27,950200,1,410279502001,"Block Group 1","G5030","S",1335352,0,45.6950529,-121.533607,410279502001," Hood River County"," Oregon","No",265,50,18.9,235,50,21.3,41027950200,1430,400,28,1035,350,33.8,"No","No",41,27,950200,1,0.0594466851632,0.000154253031269036,0.0594466869368064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","051","009301","3","1500000US410510093013","410510093013","3","BG","384429","0",164453,164453,41,51,9301,3,410510093013,"Block Group 3","G5030","S",384429,0,45.5207115,-122.5036102,410510093013," Multnomah County"," Oregon","Yes",1155,710,61.5,875,580,66.3,41051009301,2110,1155,54.7,1680,950,56.5,"Yes","Yes",41,51,9301,3,0.034639378464,4.42716618636041e-05,0.0346393776016891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","039","004501","2","1500000US410390045012","410390045012","2","BG","200869","0",164148,164148,41,39,4501,2,410390045012,"Block Group 2","G5030","S",200869,0,44.0428627,-123.0991329,410390045012," Lane County"," Oregon","No",85,30,35.3,70,20,28.6,41039004501,370,165,44.6,295,120,40.7,"No","No",41,39,4501,2,0.0191472074807,2.25553603740991e-05,0.0191472085858565,"410390045012",30,85,20,70,"410390045013",90,175,90,155,"410390039002",90,90,65,65,210,350,60,175,290,60.3448275862069
"41","047","001501","1","1500000US410470015011","410470015011","1","BG","1340361","0",163252,163252,41,47,1501,1,410470015011,"Block Group 1","G5030","S",1340362,0,45.0119213,-123.0004073,410470015011," Marion County"," Oregon","Yes",425,55,12.9,175,25,14.3,41047001501,1275,585,45.9,780,445,57.1,"No","Yes",41,47,1501,1,0.0556324987321,0.000152999064084725,0.0556324987325669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","011","000300","3","1500000US410110003003","410110003003","3","BG","951686","8826",163998,163998,41,11,300,3,410110003003,"Block Group 3","G5030","S",951686,8826,43.3994271,-124.2354818,410110003003," Coos County"," Oregon","No",85,0,0,20,0,0,41011000300,615,270,43.9,385,175,45.5,"No","No",41,11,300,3,0.0448552906322,0.000106719912309927,0.0448552908346602,"410110003003",0,85,0,20,"410110004005",125,425,105,265,"410110004001",200,210,100,110,325,720,45.1388888888889,205,395,51.8987341772152
"41","001","950200","3","1500000US410019502003","410019502003","3","BG","4305017","0",164333,164333,41,1,950200,3,410019502003,"Block Group 3","G5030","S",4305017,0,44.7868777,-117.8608477,410019502003," Baker County"," Oregon","No",225,30,13.3,115,30,26.1,41001950200,730,285,39,430,190,44.2,"No","No",41,1,950200,3,0.134997058715,0.000489513815864484,0.134997061101626,"410019502003",30,225,30,115,"410019502001",60,250,60,155,"410019505002",105,110,105,110,195,585,33.3333333333333,195,380,51.3157894736842
"41","051","004102","4","1500000US410510041024","410510041024","4","BG","483941","0",162512,162512,41,51,4102,4,410510041024,"Block Group 4","G5030","S",483941,0,45.5918882,-122.7438298,410510041024," Multnomah County"," Oregon","No",265,100,37.7,240,100,41.7,41051004102,845,315,37.3,645,220,34.1,"No","No",41,51,4102,4,0.030381364385,5.58011001885461e-05,0.030381365706514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","051","009201","3","1500000US410510092013","410510092013","3","BG","713875","0",163793,163793,41,51,9201,3,410510092013,"Block Group 3","G5030","S",713875,0,45.5094096,-122.5338098,410510092013," Multnomah County"," Oregon","Yes",440,180,40.9,265,155,58.5,41051009201,1885,1260,66.8,1385,1060,76.5,"Yes","Yes",41,51,9201,3,0.0367290002209,8.21948578959564e-05,0.036728999744205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","051","002903","3","1500000US410510029033","410510029033","3","BG","362822","0",162527,162527,41,51,2903,3,410510029033,"Block Group 3","G5030","S",362822,0,45.5375084,-122.5759752,410510029033," Multnomah County"," Oregon","Yes",380,175,46.1,295,175,59.3,41051002903,1175,595,50.6,810,400,49.4,"Yes","Yes",41,51,2903,3,0.0272927461334,4.179540928817e-05,0.0272927460889491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","051","010600","2","1500000US410510106002","410510106002","2","BG","200838","0",163486,163486,41,51,10600,2,410510106002,"Block Group 2","G5030","S",200838,0,45.5168769,-122.681796,410510106002," Multnomah County"," Oregon","Yes",10,0,0,0,0,0,41051010600,20,10,50,10,10,100,"No","Yes",41,51,10600,2,0.0217497762295,2.31272033488494e-05,0.0217497763588877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","039","000707","1","1500000US410390007071","410390007071","1","BG","2130532","0",164012,164012,41,39,707,1,410390007071,"Block Group 1","G5030","S",2130532,0,44.0010083,-124.0942398,410390007071," Lane County"," Oregon","Yes",105,105,100,105,105,100,41039000707,425,365,85.9,370,330,89.2,"Yes","Yes",41,39,707,1,0.0661879302189,0.000239070324369095,0.0661879289123919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","051","002401","3","1500000US410510024013","410510024013","3","BG","218909","0",162169,162169,41,51,2401,3,410510024013,"Block Group 3","G5030","S",218909,0,45.5412344,-122.6548222,410510024013," Multnomah County"," Oregon","No",210,0,0,165,0,0,41051002401,605,20,3.3,490,10,2,"No","No",41,51,2401,3,0.0215032677641,2.52189533966884e-05,0.0215032674289679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","015","950301","1","1500000US410159503011","410159503011","1","BG","1400785555","23292060",164198,164198,41,15,950301,1,410159503011,"Block Group 1","G5030","S",1400827168,23255169,42.3052762,-124.1330589,410159503011," Curry County"," Oregon","No",310,30,9.7,185,10,5.4,41015950301,755,265,35.1,365,45,12.3,"No","No",41,15,950301,1,2.81159135665,0.155496431373194,2.81159135672168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","067","031910","1","1500000US410670319101","410670319101","1","BG","2203452","0",164234,164234,41,67,31910,1,410670319101,"Block Group 1","G5030","S",2203452,0,45.4197372,-122.8053521,410670319101," Washington County"," Oregon","No",1200,155,12.9,735,70,9.5,41067031910,2550,385,15.1,1620,190,11.7,"No","No",41,67,31910,1,0.0922386550262,0.000253305046499008,0.0922386568205065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","039","002404","2","1500000US410390024042","410390024042","2","BG","893817","0",162423,162423,41,39,2404,2,410390024042,"Block Group 2","G5030","S",893817,0,44.100442,-123.1383907,410390024042," Lane County"," Oregon","No",480,130,27.1,320,70,21.9,41039002404,1000,325,32.5,670,130,19.4,"No","No",41,39,2404,2,0.0473915098383,0.000100462834325299,0.047391508969576,"410390024042",130,480,70,320,"410390028001",310,385,200,250,"410390027001",325,665,180,335,765,1530,50,450,905,49.7237569060773
"41","051","003200","1","1500000US410510032001","410510032001","1","BG","276489","0",164536,164536,41,51,3200,1,410510032001,"Block Group 1","G5030","S",276489,0,45.5608888,-122.6453077,410510032001," Multnomah County"," Oregon","No",120,20,16.7,95,10,10.5,41051003200,685,50,7.3,560,40,7.1,"No","No",41,51,3200,1,0.0248825225223,3.18629863613751e-05,0.0248825220130946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","067","030803","1","1500000US410670308031","410670308031","1","BG","581224","0",162626,162626,41,67,30803,1,410670308031,"Block Group 1","G5030","S",581224,0,45.4117,-122.7861263,410670308031," Washington County"," Oregon","No",635,240,37.8,445,150,33.7,41067030803,890,290,32.6,630,175,27.8,"No","No",41,67,30803,1,0.0481482693761,6.68068541926914e-05,0.0481482666117539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","033","360100","2","1500000US410333601002","410333601002","2","BG","488679205","441788",164080,164080,41,33,360100,2,410333601002,"Block Group 2","G5030","S",488679205,441788,42.6139854,-123.6765708,410333601002," Josephine County"," Oregon","Yes",125,70,56,50,4,8,41033360100,465,335,72,255,180,70.6,"Yes","Yes",41,33,360100,2,2.11136284277,0.0536410000599972,2.11136284427992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","047","010306","3","1500000US410470103063","410470103063","3","BG","149058","0",163853,163853,41,47,10306,3,410470103063,"Block Group 3","G5030","S",149058,0,45.1489767,-122.8668181,410470103063," Marion County"," Oregon","Yes",180,90,50,180,90,50,41047010306,3885,2725,70.1,2900,1995,68.8,"Yes","Yes",41,47,10306,3,0.0244432769986,1.70549537870102e-05,0.0244432775041913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"41","067","032004","2","1500000US410670320042","410670320042","2","BG","835425","0",162100,162100,41,67,32004,2,410670320042,"Block Group 2","G5030","S",835425,0,45.3723856,-122.7528481,410670320042," Washington County"," Oregon","No",170,50,29.4,100,20,20,41067032004,470,125,26.6,300,55,18.3,"No","No",41,67,32004,2,0.0462720143449,9.59594599407865e-05,0.046272014330587,"410670320042",50,170,20,100,"410670321081",50,405,35,265,"410670320053",570,730,445,600,670,1305,51.3409961685824,500,965,51.8134715025907
