"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"44","009","051504","2","1500000US440090515042","440090515042","2","BG","2225655","772280",175271,175271,44,9,51504,2,440090515042,"Block Group 2","G5030","S",2225658,772281,41.3787004,-71.4792387,440090515042," Washington County"," Rhode Island","No",95,40,42.1,45,20,44.4,44009051504,500,85,17,300,55,18.3,"No","No",44,9,51504,2,0.0925013262641,0.000322700023616562,0.0925013245689507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","009","050901","1","1500000US440090509011","440090509011","1","BG","6618568","178045",175072,175072,44,9,50901,1,440090509011,"Block Group 1","G5030","S",6618568,178045,41.4088138,-71.8206958,440090509011," Washington County"," Rhode Island","No",450,70,15.6,290,35,12.1,44009050901,1250,410,32.8,850,250,29.4,"No","No",44,9,50901,1,0.151510640679,0.000731888554128091,0.151510640851491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","014100","1","1500000US440070141001","440070141001","1","BG","363570","0",174988,174988,44,7,14100,1,440070141001,"Block Group 1","G5030","S",363574,0,41.8045063,-71.4471214,440070141001," Providence County"," Rhode Island","Yes",555,295,53.2,335,175,52.2,44007014100,1200,595,49.6,860,420,48.8,"Yes","No",44,7,14100,1,0.0293960479854,3.9389415178448e-05,0.0293960490494359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","013702","2","1500000US440070137022","440070137022","2","BG","355883","83271",174920,174920,44,7,13702,2,440070137022,"Block Group 2","G5030","S",355883,83271,41.7754489,-71.4430848,440070137022," Providence County"," Rhode Island","Yes",225,125,55.6,175,75,42.9,44007013702,805,425,52.8,490,245,50,"Yes","Yes",44,7,13702,2,0.0379813597406,4.75561287203163e-05,0.0379813582550391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","002300","5","1500000US440070023005","440070023005","5","BG","201524","0",174819,174819,44,7,2300,5,440070023005,"Block Group 5","G5030","S",201524,0,41.8404497,-71.4363502,440070023005," Providence County"," Rhode Island","Yes",85,50,58.8,85,50,58.8,44007002300,680,270,39.7,430,170,39.5,"Yes","No",44,7,2300,5,0.0225943148076,2.18449174553825e-05,0.0225943151798176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","001","030800","1","1500000US440010308001","440010308001","1","BG","654758","2667",174784,174784,44,1,30800,1,440010308001,"Block Group 1","G5030","S",654759,2667,41.6751626,-71.2626976,440010308001," Bristol County"," Rhode Island","Yes",390,290,74.4,165,105,63.6,44001030800,600,350,58.3,320,165,51.6,"Yes","Yes",44,1,30800,1,0.0346137139586,7.10829569925409e-05,0.0346137121645306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","010101","2","1500000US440070101012","440070101012","2","BG","730305","3956",175188,175188,44,7,10101,2,440070101012,"Block Group 2","G5030","S",730305,3956,41.84745,-71.3596994,440070101012," Providence County"," Rhode Island","No",195,0,0,110,0,0,44007010101,925,230,24.9,520,125,24,"No","No",44,7,10101,2,0.0380700046378,7.96002657352801e-05,0.0380700048416514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","003","021502","4","1500000US440030215024","440030215024","4","BG","627467","148355",174731,174731,44,3,21502,4,440030215024,"Block Group 4","G5030","S",627468,148354,41.697547,-71.3810878,440030215024," Kent County"," Rhode Island","No",230,95,41.3,140,55,39.3,44003021502,810,150,18.5,505,90,17.8,"No","No",44,3,21502,4,0.0534120381801,8.39136016566044e-05,0.0534120370987364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","013400","1","1500000US440070134001","440070134001","1","BG","354287","0",174515,174515,44,7,13400,1,440070134001,"Block Group 1","G5030","S",354287,0,41.7770069,-71.3960727,440070134001," Providence County"," Rhode Island","No",205,60,29.3,190,60,31.6,44007013400,785,160,20.4,555,135,24.3,"No","No",44,7,13400,1,0.0294858081143,3.83668830181705e-05,0.0294858069678487,"440070134001",60,205,60,190,"440070135003",0,35,0,25,"440070135004",320,440,120,170,380,680,55.8823529411765,180,385,46.7532467532467
"44","007","017500","3","1500000US440070175003","440070175003","3","BG","478715","0",174472,174472,44,7,17500,3,440070175003,"Block Group 3","G5030","S",478715,0,41.9883601,-71.5185736,440070175003," Providence County"," Rhode Island","Yes",270,155,57.4,200,105,52.5,44007017500,700,350,50,545,285,52.3,"Yes","Yes",44,7,17500,3,0.0319634606108,5.2010993613294e-05,0.0319634594959198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","012104","2","1500000US440070121042","440070121042","2","BG","485262","29793",175110,175110,44,7,12104,2,440070121042,"Block Group 2","G5030","S",485262,29793,41.8669949,-71.4886346,440070121042," Providence County"," Rhode Island","Yes",185,125,67.6,140,100,71.4,44007012104,810,295,36.4,645,230,35.7,"Yes","No",44,7,12104,2,0.0439003449607,5.58518063371594e-05,0.0439003444304797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","014700","1","1500000US440070147001","440070147001","1","BG","372914","0",175161,175161,44,7,14700,1,440070147001,"Block Group 1","G5030","S",372913,0,41.8025717,-71.4550544,440070147001," Providence County"," Rhode Island","Yes",575,285,49.6,285,55,19.3,44007014700,1520,835,54.9,880,470,53.4,"No","Yes",44,7,14700,1,0.0246055687345,4.03995368287724e-05,0.0246055696608464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","003","022100","4","1500000US440030221004","440030221004","4","BG","643796","222127",174753,174753,44,3,22100,4,440030221004,"Block Group 4","G5030","S",643796,222127,41.7084699,-71.459113,440030221004," Kent County"," Rhode Island","No",345,0,0,165,0,0,44003022100,1110,255,23,685,120,17.5,"No","No",44,3,22100,4,0.0447917705905,9.36739447752188e-05,0.0447917695412427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","013600","1","1500000US440070136001","440070136001","1","BG","515725","25944",174887,174887,44,7,13600,1,440070136001,"Block Group 1","G5030","S",515725,25944,41.7694944,-71.4103801,440070136001," Providence County"," Rhode Island","Yes",240,10,4.2,170,10,5.9,44007013600,550,250,45.5,445,235,52.8,"No","Yes",44,7,13600,1,0.0371999719988,5.86523251513427e-05,0.0371999710818326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","002200","1","1500000US440070022001","440070022001","1","BG","327687","0",174927,174927,44,7,2200,1,440070022001,"Block Group 1","G5030","S",327687,0,41.8319269,-71.4335911,440070022001," Providence County"," Rhode Island","Yes",515,345,67,310,215,69.4,44007002200,1760,1230,69.9,1150,770,67,"Yes","Yes",44,7,2200,1,0.0284080011634,3.55159766058932e-05,0.028408000364988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","007","016800","3","1500000US440070168003","440070168003","3","BG","347860","0",174593,174593,44,7,16800,3,440070168003,"Block Group 3","G5030","S",347860,0,41.8733373,-71.3614297,440070168003," Providence County"," Rhode Island","Yes",215,85,39.5,125,80,64,44007016800,620,315,50.8,425,290,68.2,"Yes","Yes",44,7,16800,3,0.0246911203695,3.77267338080856e-05,0.0246911219514121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"44","001","030700","1","1500000US440010307001","440010307001","1","BG","174519","0",174782,174782,44,1,30700,1,440010307001,"Block Group 1","G5030","S",174517,0,41.6760909,-71.2720968,440010307001," Bristol County"," Rhode Island","No",295,0,0,160,0,0,44001030700,600,150,25,325,85,26.2,"No","No",44,1,30700,1,0.021161651415,1.88697529210913e-05,0.0211616506964558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
