"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"47","065","003200","2","1500000US470650032002","470650032002","2","BG","991998","0",181376,181376,47,65,3200,2,470650032002,"Block Group 2","G5030","S",991999,0,35.0416568,-85.2488033,470650032002," Hamilton County"," Tennessee","Yes",45,0,0,30,0,0,47065003200,730,515,70.5,570,435,76.3,"No","Yes",47,65,3200,2,0.0465743565005,9.79995454599703e-05,0.0465743545233024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","157","000200","1","1500000US471570002001","471570002001","1","BG","1056567","45527",182513,182513,47,157,200,1,471570002001,"Block Group 1","G5030","S",1056567,45527,35.1681487,-90.0424321,471570002001," Shelby County"," Tennessee","Yes",295,250,84.7,190,150,78.9,47157000200,295,250,84.7,190,150,78.9,"Yes","Yes",47,157,200,1,0.0520242546189,0.000109041802033971,0.0520242537601994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","065","012400","2","1500000US470650124002","470650124002","2","BG","476141","0",182429,182429,47,65,12400,2,470650124002,"Block Group 2","G5030","S",476141,0,35.0456799,-85.2949845,470650124002," Hamilton County"," Tennessee","Yes",60,25,41.7,40,20,50,47065012400,105,30,28.6,55,20,36.4,"Yes","No",47,65,12400,2,0.0320230984476,4.70401701022638e-05,0.0320230973875775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","105","060202","3","1500000US471050602023","471050602023","3","BG","525040","0",182609,182609,47,105,60202,3,471050602023,"Block Group 3","G5030","S",525040,0,35.7928947,-84.2716579,471050602023," Loudon County"," Tennessee","Yes",505,225,44.6,380,200,52.6,47105060202,2660,1475,55.5,2005,1240,61.8,"Yes","Yes",47,105,60202,3,0.0353489989285,5.2345762242112e-05,0.0353489978333661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","037","011200","6","1500000US470370112006","470370112006","6","BG","590186","0",182384,182384,47,37,11200,6,470370112006,"Block Group 6","G5030","S",590186,0,36.2164128,-86.7327744,470370112006," Davidson County"," Tennessee","No",150,30,20,110,30,27.3,47037011200,630,195,31,435,145,33.3,"No","No",47,37,11200,6,0.0322151848551,5.91519758472714e-05,0.0322151843466713,"470370112006",30,150,30,110,"470370112001",25,75,25,45,"470370110022",300,460,180,315,355,685,51.8248175182482,235,470,50
"47","179","061000","1","1500000US471790610001","471790610001","1","BG","1217811","0",180700,180700,47,179,61000,1,471790610001,"Block Group 1","G5030","S",1217811,0,36.3305443,-82.3447927,471790610001," Washington County"," Tennessee","Yes",180,80,44.4,135,70,51.9,47179061000,640,535,83.6,515,440,85.4,"Yes","Yes",47,179,61000,1,0.0644964323781,0.000122231916748206,0.0644964308606078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","157","010820","4","1500000US471570108204","471570108204","4","BG","664816","0",181932,181932,47,157,10820,4,471570108204,"Block Group 4","G5030","S",664816,0,35.0532094,-89.8705664,471570108204," Shelby County"," Tennessee","Yes",350,255,72.9,185,160,86.5,47157010820,1075,695,64.7,655,485,74,"Yes","Yes",47,157,10820,4,0.0347800630112,6.56862052892393e-05,0.0347800628182575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","049","965200","1","1500000US470499652001","470499652001","1","BG","158291384","0",183016,183016,47,49,965200,1,470499652001,"Block Group 1","G5030","S",158291384,0,36.3327707,-84.9379558,470499652001," Fentress County"," Tennessee","Yes",610,320,52.5,400,210,52.5,47049965200,1160,560,48.3,715,440,61.5,"Yes","Yes",47,49,965200,1,0.905883864254,0.0158882008927321,0.90588386411767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","157","022330","3","1500000US471570223303","471570223303","3","BG","1056667","0",182115,182115,47,157,22330,3,471570223303,"Block Group 3","G5030","S",1056667,0,35.0282347,-90.0897367,471570223303," Shelby County"," Tennessee","Yes",650,520,80,495,420,84.8,47157022330,1585,1200,75.7,1055,885,83.9,"Yes","Yes",47,157,22330,3,0.0517505046069,0.000104371118140989,0.0517505048478103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"47","157","010610","3","1500000US471570106103","471570106103","3","BG","475431","0",179243,179243,47,157,10610,3,471570106103,"Block Group 3","G5030","S",475431,0,35.0669396,-89.9267036,471570106103," Shelby County"," Tennessee","Yes",335,320,95.5,140,140,100,47157010610,2005,1525,76.1,1190,950,79.8,"Yes","Yes",47,157,10610,3,0.0310895879214,4.69821679871529e-05,0.0310895872200706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
