"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"49","037","942000","2","1500000US490379420002","490379420002","2","BG","1507786151","2732974",200609,200609,49,37,942000,2,490379420002,"Block Group 2","G5030","S",1507786151,2732974,37.1192282,-109.4181235,490379420002," San Juan County"," Utah","Yes",545,420,77.1,395,300,75.9,49037942000,1110,805,72.5,765,580,75.8,"Yes","Yes",49,37,942000,2,2.23538199603,0.153156250685015,2.23538199129419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","035","112502","1","1500000US490351125021","490351125021","1","BG","394769","0",198931,198931,49,35,112502,1,490351125021,"Block Group 1","G5030","S",394769,0,40.6263048,-111.863016,490351125021," Salt Lake County"," Utah","No",375,170,45.3,280,135,48.2,49035112502,2075,995,48,1520,725,47.7,"No","No",49,35,112502,1,0.0268871223259,4.20168280470534e-05,0.0268871228244218,"490351125021",170,375,135,280,"490351125022",0,230,0,180,"490351125024",430,460,325,355,600,1065,56.3380281690141,460,815,56.441717791411
"49","035","111102","1","1500000US490351111021","490351111021","1","BG","687706","0",199640,199640,49,35,111102,1,490351111021,"Block Group 1","G5030","S",687706,0,40.6606839,-111.8400458,490351111021," Salt Lake County"," Utah","Yes",510,305,59.8,295,160,54.2,49035111102,1280,395,30.9,730,185,25.3,"Yes","No",49,35,111102,1,0.0381947049222,7.32327252990217e-05,0.0381947058960808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","011","126801","1","1500000US490111268011","490111268011","1","BG","924276","0",199856,199856,49,11,126801,1,490111268011,"Block Group 1","G5030","S",924276,0,40.8777661,-111.855976,490111268011," Davis County"," Utah","No",395,60,15.2,265,50,18.9,49011126801,1005,200,19.9,695,145,20.9,"No","No",49,11,126801,1,0.050045915624,9.87411131063709e-05,0.0500459158945453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","035","100500","4","1500000US490351005004","490351005004","4","BG","503509","0",199476,199476,49,35,100500,4,490351005004,"Block Group 4","G5030","S",503509,0,40.7868832,-111.9329232,490351005004," Salt Lake County"," Utah","Yes",275,215,78.2,250,195,78,49035100500,1800,1025,56.9,1280,770,60.2,"Yes","Yes",49,35,100500,4,0.0302064282745,5.37178834747465e-05,0.0302064304540975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","053","271100","4","1500000US490532711004","490532711004","4","BG","3416056","0",199367,199367,49,53,271100,4,490532711004,"Block Group 4","G5030","S",3354002,0,37.1195411,-113.5174987,490532711004," Washington County"," Utah","Yes",825,445,53.9,650,410,63.1,49053271100,3000,1705,56.8,2245,1335,59.5,"Yes","Yes",49,53,271100,4,0.101110899323,0.000340058197252802,0.101110898245567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","049","001002","1","1500000US490490010021","490490010021","1","BG","960218","0",199889,199889,49,49,1002,1,490490010021,"Block Group 1","G5030","S",960218,0,40.2861539,-111.6832478,490490010021," Utah County"," Utah","Yes",585,240,41,375,155,41.3,49049001002,770,385,50,520,275,52.9,"No","Yes",49,49,1002,1,0.0430181486582,0.000101691356576339,0.0430181485394724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","033","950100","1","1500000US490339501001","490339501001","1","BG","927261326","143897570",200589,200589,49,33,950100,1,490339501001,"Block Group 1","G5030","S",927261326,143897570,41.8920167,-111.2635446,490339501001," Rich County"," Utah","No",335,155,46.3,245,120,49,49033950100,775,320,41.3,540,245,45.4,"No","No",49,33,950100,1,1.67509819449,0.116160683784983,1.67509818875865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","017","000400","1","1500000US490170004001","490170004001","1","BG","8938390600","79513231",200289,200289,49,17,400,1,490170004001,"Block Group 1","G5030","S",8938390600,79513231,37.9596643,-111.0922585,490170004001," Garfield County"," Utah","Yes",210,120,57.1,120,100,83.3,49017000400,705,290,41.1,400,185,46.3,"Yes","No",49,17,400,1,5.59013030903,0.923417146049815,5.59013030305774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"49","011","126902","2","1500000US490111269022","490111269022","2","BG","586218","0",199868,199868,49,11,126902,2,490111269022,"Block Group 2","G5030","S",586218,0,40.8671591,-111.8822014,490111269022," Davis County"," Utah","No",330,30,9.1,295,15,5.1,49011126902,1780,275,15.4,1460,225,15.4,"No","No",49,11,126902,2,0.0330644676236,6.26164392087958e-05,0.0330644681729104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
