"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"50","023","954800","2","1500000US500239548002","500239548002","2","BG","414511","19389",200721,200721,50,23,954800,2,500239548002,"Block Group 2","G5030","S",414511,19389,44.2557342,-72.5707389,500239548002," Washington County"," Vermont","No",215,35,16.3,135,25,18.5,50023954800,370,60,16.2,230,40,17.4,"No","No",50,23,954800,2,0.0321231636451,4.88966070406605e-05,0.0321231634119965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","021","963500","3","1500000US500219635003","500219635003","3","BG","57769534","31828",200853,200853,50,21,963500,3,500219635003,"Block Group 3","G5030","S",57769534,31828,43.4828326,-73.1274581,500219635003," Rutland County"," Vermont","No",155,40,25.8,90,20,22.2,50021963500,390,105,26.9,255,65,25.5,"No","No",50,21,963500,3,0.321403851086,0.00643086464583575,0.321403850986421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","021","962300","2","1500000US500219623002","500219623002","2","BG","71120057","3562843",200764,200764,50,21,962300,2,500219623002,"Block Group 2","G5030","S",71120057,3562843,43.7339667,-73.1635384,500219623002," Rutland County"," Vermont","No",85,10,11.8,45,4,8.9,50021962300,525,200,38.1,300,120,40,"No","No",50,21,962300,2,0.379441587614,0.00834042528163081,0.3794415895425,"500219623002",10,85,4,45,"500219623001",50,130,35,85,"500219622003",115,175,115,140,175,390,44.8717948717949,154,270,57.037037037037
"50","021","963300","2","1500000US500219633002","500219633002","2","BG","919847","0",200636,200636,50,21,963300,2,500219633002,"Block Group 2","G5030","S",919847,0,43.6010299,-72.9639808,500219633002," Rutland County"," Vermont","Yes",65,40,61.5,55,40,72.7,50021963300,970,530,54.6,700,385,55,"Yes","Yes",50,21,963300,2,0.0481455758028,0.000102538574310529,0.0481455751972654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","027","965100","3","1500000US500279651003","500279651003","3","BG","55982485","350072",200864,200864,50,27,965100,3,500279651003,"Block Group 3","G5030","S",55982485,350072,43.7959847,-72.5704223,500279651003," Windsor County"," Vermont","Yes",90,0,0,65,0,0,50027965100,645,295,45.7,465,280,60.2,"No","Yes",50,27,965100,3,0.370539559183,0.00629980947974218,0.370539559747547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","003","970800","2","1500000US500039708002","500039708002","2","BG","48964734","3003",200702,200702,50,3,970800,2,500039708002,"Block Group 2","G5030","S",48964734,3003,43.0003203,-73.2277284,500039708002," Bennington County"," Vermont","No",400,175,43.8,280,110,39.3,50003970800,955,350,36.6,620,250,40.3,"No","No",50,3,970800,2,0.307310050429,0.00540500800161681,0.307310051546084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","027","965400","3","1500000US500279654003","500279654003","3","BG","126001612","615008",200837,200837,50,27,965400,3,500279654003,"Block Group 3","G5030","S",126001612,615008,43.6987923,-72.6338507,500279654003," Windsor County"," Vermont","No",165,40,24.2,140,30,21.4,50027965400,645,105,16.3,440,60,13.6,"No","No",50,27,965400,3,0.483998268827,0.0141442012850348,0.483998268968246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","019","951700","4","1500000US500199517004","500199517004","4","BG","101531942","1452095",201071,201071,50,19,951700,4,500199517004,"Block Group 4","G5030","S",101531942,1452095,44.6497848,-72.3877684,500199517004," Orleans County"," Vermont","No",245,60,24.5,140,45,32.1,50019951700,935,375,40.1,585,215,36.8,"No","No",50,19,951700,4,0.443028177596,0.0116834896737146,0.443028178214254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","021","963000","1","1500000US500219630001","500219630001","1","BG","1531905","12529",201103,201103,50,21,963000,1,500219630001,"Block Group 1","G5030","S",1531905,12529,43.6217088,-72.9655671,500219630001," Rutland County"," Vermont","Yes",90,15,16.7,30,15,50,50021963000,750,150,20,420,115,27.4,"Yes","No",50,21,963000,1,0.0728805963783,0.000172221192997313,0.0728805927805099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"50","007","000900","2","1500000US500070009002","500070009002","2","BG","164226","0",200942,200942,50,7,900,2,500070009002,"Block Group 2","G5030","S",164226,0,44.4711258,-73.2094243,500070009002," Chittenden County"," Vermont","Yes",85,85,100,75,75,100,50007000900,185,95,51.4,160,85,53.1,"Yes","Yes",50,7,900,2,0.0251105049604,1.85738263098756e-05,0.0251105068521259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
