"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"51","510","202002","1","1500000US515102020021","515102020021","1","BG","413720","13735",202039,202039,51,510,202002,1,515102020021,"Block Group 1","G5030","S",413720,13735,38.7958155,-77.0438535,515102020021," Alexandria city"," Virginia","No",170,0,0,155,0,0,51510202002,170,0,0,155,0,0,"No","No",51,510,202002,1,0.0284063753871,4.43225933395297e-05,0.0284063759764629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","710","002600","2","1500000US517100026002","517100026002","2","BG","465251","7386",205831,205831,51,710,2600,2,517100026002,"Block Group 2","G5030","S",465251,7386,36.8825099,-76.2965715,517100026002," Norfolk city"," Virginia","Yes",150,130,86.7,55,55,100,51710002600,220,165,75,115,80,69.6,"Yes","Yes",51,710,2600,2,0.0284886501401,4.7773469304957e-05,0.0284886482030538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","760","040900","1","1500000US517600409001","517600409001","1","BG","346816","0",205190,205190,51,760,40900,1,517600409001,"Block Group 1","G5030","S",346816,0,37.5572839,-77.4771007,517600409001," Richmond city"," Virginia","No",60,4,6.7,35,4,11.4,51760040900,255,120,47.1,130,30,23.1,"No","No",51,760,40900,1,0.0245007274653,3.53654199898301e-05,0.0245007271470503,"517600409001",4,60,4,35,"517600405002",25,85,25,65,"517600411003",90,110,80,105,119,255,46.6666666666667,109,205,53.1707317073171
"51","087","200112","4","1500000US510872001124","510872001124","4","BG","1182894","32717",204540,204540,51,87,200112,4,510872001124,"Block Group 4","G5030","S",1183800,32071,37.6037015,-77.6321021,510872001124," Henrico County"," Virginia","Yes",20,20,100,20,20,100,51087200112,980,295,30.1,675,195,28.9,"Yes","No",51,87,200112,4,0.060519184584,0.000124059740983284,0.0605191874056939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","650","010312","1","1500000US516500103121","516500103121","1","BG","880983","0",206391,206391,51,650,10312,1,516500103121,"Block Group 1","G5030","S",880983,0,37.0440335,-76.4133662,516500103121," Hampton city"," Virginia","No",415,195,47,370,180,48.6,51650010312,740,235,31.8,590,215,36.4,"No","No",51,650,10312,1,0.0378049271779,8.92345003649098e-05,0.0378049260067082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","540","000502","2","1500000US515400005022","515400005022","2","BG","525863","0",201836,201836,51,540,502,2,515400005022,"Block Group 2","G5030","S",525863,0,38.0242022,-78.5097776,515400005022," Charlottesville city"," Virginia","No",70,0,0,70,0,0,51540000502,960,85,8.9,795,85,10.7,"No","No",51,540,502,2,0.0327916210372,5.39570141881995e-05,0.0327916202428323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","059","482602","4","1500000US510594826024","510594826024","4","BG","618690","110",204819,204819,51,59,482602,4,510594826024,"Block Group 4","G5030","S",618690,110,38.8762454,-77.3796657,510594826024," Fairfax County"," Virginia","No",325,0,0,255,0,0,51059482602,1930,220,11.4,1305,160,12.3,"No","No",51,59,482602,4,0.0370840931319,6.42363656879752e-05,0.0370840940747972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","660","000101","3","1500000US516600001013","516600001013","3","BG","565459","0",202756,202756,51,660,101,3,516600001013,"Block Group 3","G5030","S",565459,0,38.4522615,-78.8576592,516600001013," Harrisonburg city"," Virginia","Yes",155,70,45.2,65,25,38.5,51660000101,1120,610,54.5,760,460,60.5,"No","Yes",51,660,101,3,0.0314336339228,5.83567671128549e-05,0.0314336366719967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","550","020805","2","1500000US515500208052","515500208052","2","BG","663304","15720",201540,201540,51,550,20805,2,515500208052,"Block Group 2","G5030","S",663304,15720,36.7585447,-76.2465037,515500208052," Chesapeake city"," Virginia","Yes",270,175,64.8,210,135,64.3,51550020805,1220,260,21.3,910,205,22.5,"Yes","No",51,550,20805,2,0.0338329766021,6.85262261868047e-05,0.0338329765902737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"51","153","901411","3","1500000US511539014113","511539014113","3","BG","3723248","523263",206155,206155,51,153,901411,3,511539014113,"Block Group 3","G5030","S",3723248,523263,38.7810086,-77.6188583,511539014113," Prince William County"," Virginia","No",1360,35,2.6,1005,35,3.5,51153901411,1820,65,3.6,1275,35,2.7,"No","No",51,153,901411,3,0.0900396039213,0.000440230252479523,0.0900396020989085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
