"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"53","055","960100","1","1500000US530559601001","530559601001","1","BG","59109282","47703345",208426,208426,53,55,960100,1,530559601001,"Block Group 1","G5030","S",59109282,47703345,48.6522974,-122.9763119,530559601001," San Juan County"," Washington","No",235,95,40.4,185,75,40.5,53055960100,725,290,40,465,210,45.2,"No","No",53,55,960100,1,1.10785954385,0.0130385410698182,1.10785954321297,"530559601001",95,235,75,185,"530559605002",125,250,120,185,"530559601004",155,280,110,170,375,765,49.0196078431373,305,540,56.4814814814815
"53","033","029305","3","1500000US530330293053","530330293053","3","BG","901339","833",209227,209227,53,33,29305,3,530330293053,"Block Group 3","G5030","S",901339,833,47.4256513,-122.2071326,530330293053," King County"," Washington","No",230,45,19.6,180,25,13.9,53033029305,770,200,26,500,155,31,"No","No",53,33,29305,3,0.0492611019311,0.000107551614746626,0.0492610999530565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","033","020500","2","1500000US530330205002","530330205002","2","BG","447232","0",208564,208564,53,33,20500,2,530330205002,"Block Group 2","G5030","S",447232,0,47.7545632,-122.3083357,530330205002," King County"," Washington","No",200,30,15,165,30,18.2,53033020500,1120,155,13.8,695,80,11.5,"No","No",53,33,20500,2,0.0318627685966,5.36472211933869e-05,0.0318627684479665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","077","002802","1","1500000US530770028021","530770028021","1","BG","11072723","0",207275,207275,53,77,2802,1,530770028021,"Block Group 1","G5030","S",11096356,0,46.552592,-120.6217546,530770028021," Yakima County"," Washington","Yes",415,215,51.8,310,120,38.7,53077002802,2125,750,35.3,1320,345,26.1,"Yes","No",53,77,2802,1,0.247336811562,0.00130164892925677,0.247336812510285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","049","990100","0","1500000US530499901000","530499901000","0","BG","0","327305184",208089,208089,53,49,990100,0,530499901000,"Block Group 0","G5030","S",0,327305184,46.5287657,-124.1095524,530499901000," Pacific County"," Washington","No",0,0,0,0,0,0,53049990100,0,0,0,0,0,0,"No","No",53,49,990100,0,1.25378035414,0.0383779610897363,1.25378035309507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","053","062000","3","1500000US530530620003","530530620003","3","BG","291933","0",207050,207050,53,53,62000,3,530530620003,"Block Group 3","G5030","S",291933,0,47.226965,-122.418494,530530620003," Pierce County"," Washington","Yes",460,300,65.2,345,200,58,53053062000,1230,615,50,965,455,47.2,"Yes","Yes",53,53,62000,3,0.0245431230213,3.46727520081913e-05,0.0245431229405981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","007","960500","5","1500000US530079605005","530079605005","5","BG","322779196","338883",208040,208040,53,7,960500,5,530079605005,"Block Group 5","G5030","S",322779196,338883,47.4376836,-120.7255586,530079605005," Chelan County"," Washington","Yes",220,170,77.3,80,80,100,53007960500,1775,610,34.4,965,365,37.8,"Yes","No",53,7,960500,5,1.51191676151,0.0385273776773829,1.5119167632362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","053","061300","2","1500000US530530613002","530530613002","2","BG","254253","0",210643,210643,53,53,61300,2,530530613002,"Block Group 2","G5030","S",254254,0,47.2525021,-122.4569683,530530613002," Pierce County"," Washington","Yes",280,210,75,215,185,86,53053061300,1410,810,57.4,1140,685,60.1,"Yes","Yes",53,53,61300,2,0.0228590718374,3.02120115520665e-05,0.0228590717778129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","061","052705","5","1500000US530610527055","530610527055","5","BG","612363","0",210927,210927,53,61,52705,5,530610527055,"Block Group 5","G5030","S",612363,0,48.0502049,-122.1345807,530610527055," Snohomish County"," Washington","No",145,45,31,40,0,0,53061052705,2330,300,12.9,1435,195,13.6,"No","No",53,61,52705,5,0.0402073970286,7.38707167329267e-05,0.0402073974886209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"53","033","010500","1","1500000US530330105001","530330105001","1","BG","279610","0",210699,210699,53,33,10500,1,530330105001,"Block Group 1","G5030","S",279610,0,47.5601821,-122.3788541,530330105001," King County"," Washington","No",25,0,0,0,0,0,53033010500,955,175,18.3,670,160,23.9,"No","No",53,33,10500,1,0.0269621882378,3.34169430971087e-05,0.0269621870446522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
