"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","ï..OBJECTID_1","OBJECTID","STATEFP.1","COUNTYFP.1","TRACTCE.1","BLKGRPCE.1","GEOID.1","NAMELSAD","MTFCC","FUNCSTAT","ALAND.1","AWATER.1","INTPTLAT","INTPTLON","GEOID_1","County","State","ELIGFY19","TotPovUniv","Num18BG","Pct18BG","TotPovUn_1","Num12BG","Pct12BG","GEOIDTRACT","TotPovUn_2","Num18CT","Pct18CT","TotPovUn_3","Num12CT","Pct12CT","BLGELIGFY1","TRACTELIGF","STFIPS","CTYFIPS","CTFIPS","BGFIPS","Shape_Leng","Shape__Area","Shape__Length","GEOID.2","ID18","Tot18","ID12","Tot12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12"
"55","105","000600","1","1500000US551050006001","551050006001","1","BG","1747036","0",216465,216465,55,105,600,1,551050006001,"Block Group 1","G5030","S",1747035,0,42.6995984,-89.0188703,551050006001," Rock County"," Wisconsin","Yes",495,285,57.6,330,180,54.5,55105000600,910,450,49.5,630,305,48.4,"Yes","No",55,105,600,1,0.058992446032,0.000191936323290065,0.0589924472408656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","001","950400","2","1500000US550019504002","550019504002","2","BG","96233566","567460",217087,217087,55,1,950400,2,550019504002,"Block Group 2","G5030","S",96236734,567460,43.9394558,-89.8249028,550019504002," Adams County"," Wisconsin","Yes",190,75,39.5,120,60,50,55001950400,870,515,59.2,600,360,60,"Yes","Yes",55,1,950400,2,0.715870953825,0.0108502409755147,0.715870951109331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","139","001400","1","1500000US551390014001","551390014001","1","BG","339216","0",213168,213168,55,139,1400,1,551390014001,"Block Group 1","G5030","S",339216,0,44.0038609,-88.5487189,551390014001," Winnebago County"," Wisconsin","Yes",295,205,69.5,225,145,64.4,55139001400,890,355,39.9,605,225,37.2,"Yes","No",55,139,1400,1,0.0249335136217,3.80658198082529e-05,0.0249335129646528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","079","018700","2","1500000US550790187002","550790187002","2","BG","140193","0",215149,215149,55,79,18700,2,550790187002,"Block Group 2","G5030","S",140193,0,42.9966161,-87.9298768,550790187002," Milwaukee County"," Wisconsin","Yes",545,480,88.1,400,380,95,55079018700,1265,1065,84.2,960,855,89.1,"Yes","Yes",55,79,18700,2,0.0190075213099,1.54752665366686e-05,0.0190075218026251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","139","003702","4","1500000US551390037024","551390037024","4","BG","8560996","93004",214470,214470,55,139,3702,4,551390037024,"Block Group 4","G5030","S",8631176,13666,44.182523,-88.5163024,551390037024," Winnebago County"," Wisconsin","No",305,15,4.9,250,15,6,55139003702,1990,335,16.8,1415,265,18.7,"No","No",55,139,3702,4,0.133651700391,0.000973004269098965,0.133651700881178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","035","000801","2","1500000US550350008012","550350008012","2","BG","643857","0",217085,217085,55,35,801,2,550350008012,"Block Group 2","G5030","S",643857,0,44.7901273,-91.4830761,550350008012," Eau Claire County"," Wisconsin","No",290,0,0,155,0,0,55035000801,855,105,12.3,480,90,18.8,"No","No",55,35,801,2,0.0363410028355,7.32151147531113e-05,0.036341002099876,"550350008012",0,290,0,155,"550350008013",65,145,55,120,"550350007006",285,370,225,260,350,805,43.4782608695652,280,535,52.3364485981308
"55","079","001400","2","1500000US550790014002","550790014002","2","BG","629296","0",213392,213392,55,79,1400,2,550790014002,"Block Group 2","G5030","S",629296,0,43.1305227,-88.0208219,550790014002," Milwaukee County"," Wisconsin","Yes",380,200,52.6,250,150,60,55079001400,900,660,73.3,630,470,74.6,"Yes","Yes",55,79,1400,2,0.0339950288673,6.96153481385409e-05,0.0339950284747838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","087","011502","4","1500000US550870115024","550870115024","4","BG","7401766","617417",216363,216363,55,87,11502,4,550870115024,"Block Group 4","G5030","S",7403537,505862,44.2823134,-88.3563487,550870115024," Outagamie County"," Wisconsin","No",155,15,9.7,75,15,20,55087011502,1020,465,45.6,595,290,48.7,"No","No",55,87,11502,4,0.152699586074,0.000891750866912844,0.152699586192704,"550870115024",15,155,15,75,"550870115011",45,140,20,80,"550870106011",240,480,185,280,300,775,38.7096774193548,220,435,50.5747126436782
"55","139","001500","1","1500000US551390015001","551390015001","1","BG","554854","545189",213173,213173,55,139,1500,1,551390015001,"Block Group 1","G5030","S",554854,545192,44.0066207,-88.5349347,551390015001," Winnebago County"," Wisconsin","Yes",305,200,65.6,145,100,69,55139001500,660,335,50.8,385,165,42.9,"Yes","Yes",55,139,1500,1,0.0597953488989,0.00012345105278655,0.059795348738088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"55","105","001900","1","1500000US551050019001","551050019001","1","BG","1065415","9828",214346,214346,55,105,1900,1,551050019001,"Block Group 1","G5030","S",1065415,9828,42.5077277,-89.0187554,551050019001," Rock County"," Wisconsin","Yes",520,335,64.4,435,300,69,55105001900,625,335,53.6,505,300,59.4,"Yes","Yes",55,105,1900,1,0.0519255985635,0.000117775207172599,0.0519255981606551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
