"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"100010401001","49641789","0","No",770,265,505,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"100010401002","41529492","0","No",475,115,295,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"100010401003","33574570","0","No",265,100,115,50,"100010418011",175,580,115,320,"100010419001",460,720,280,415,735,1565,46.9648562300319,445,850,52.3529411764706,6,1,5,2,4
"100010402011","8066648","37235","No",635,250,470,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"100010402012","1663473","0","No",620,185,420,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"100010402021","6957687","163069","No",1100,210,675,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"100010402022","25001798","506259","No",2990,885,1985,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"100010402031","4549606","0","Yes",1020,540,830,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010402032","54819210","1534599","No",485,105,380,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"100010405011","7661165","0","Yes",205,50,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010405012","2732940","0","Yes",755,530,410,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010405021","23433802","461377","No",255,90,205,70,"100010405022",100,160,65,115,"100010402031",540,1020,405,830,730,1435,50.8710801393728,540,1150,46.9565217391304,15,5,10,4,11
"100010405022","5947173","0","Yes",160,100,115,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010407001","4072860","0","No",285,30,255,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"100010407002","776449","0","Yes",290,175,180,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010407003","1227758","0","No",165,35,135,30,"100010433002",195,330,105,205,"100010407002",175,290,135,180,405,785,51.5923566878981,270,520,51.9230769230769,15,6,9,7,8
"100010409001","1404260","247831","No",230,30,180,0,"100010433002",195,330,105,205,"100010405012",530,755,320,410,755,1315,57.4144486692015,425,795,53.4591194968553,36,27,9,27,9
"100010410001","10476402","0","Yes",675,410,580,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010410002","16256322","21809","Yes",915,800,810,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010411001","1556545","86421","Yes",1005,480,770,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010411002","15315732","134107","Yes",255,105,235,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010412001","3325679","199562","Yes",690,360,515,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010412002","3933245","383778","Yes",775,430,515,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010413001","2323560","0","Yes",550,505,430,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010414001","6037861","0","Yes",285,20,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100010414002","694213","0","Yes",495,365,385,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
