"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"180010301001","59364016","161597","No",200,20,155,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"180010301002","51004194","101759","No",455,200,320,150,"180030118022",90,260,65,205,"180010303001",370,605,215,325,660,1320,50,430,850,50.5882352941176,36,3,33,5,31
"180010301003","71860177","0","No",320,15,175,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"180010301004","18833412","100960","No",360,95,300,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"180010302001","13214606","178130","No",155,35,110,20,"180010303001",370,605,215,325,"180010303002",115,300,115,220,520,1060,49.0566037735849,350,655,53.4351145038168,10,1,9,4,6
"180010302002","2358233","0","No",235,55,150,35,"180010302003",210,225,140,155,"180010303001",370,605,215,325,635,1065,59.6244131455399,390,630,61.9047619047619,21,6,15,9,12
"180010302003","1707518","0","Yes",225,210,155,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"180010302004","7025154","0","No",400,145,375,145,"180010302003",210,225,140,155,"180010304002",185,320,185,285,540,945,57.1428571428571,470,815,57.6687116564417,6,1,5,1,5
"180010303001","6279619","0","Yes",605,370,325,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"180010303002","373280","0","Yes",300,115,220,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"180010303003","467961","0","Yes",55,25,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
