"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"210019701001","69271451","5219162","Yes",135,95,120,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019701002","106147557","2590622","Yes",165,140,145,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019702001","104299933","7455175","No",365,110,205,100,"212179205002",330,425,185,255,"210879304002",4,65,0,35,444,855,51.9298245614035,285,495,57.5757575757576,66,18,48,50,16
"210019703001","78582587","553402","Yes",100,60,80,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019703002","66763849","96771","No",385,145,310,80,"210019703003",115,185,50,95,"210019704021",310,555,245,430,570,1125,50.6666666666667,375,835,44.9101796407186,10,1,9,0,10
"210019703003","46166131","248069","Yes",185,115,95,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704011","78291048","333653","Yes",425,180,195,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704012","3893843","52764","Yes",225,185,115,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704013","23185288","320171","Yes",385,200,300,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704021","49254304","200841","Yes",555,310,430,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704022","2110331","56069","Yes",60,20,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019704023","15655698","272451","Yes",205,145,130,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019705001","114272665","500400","Yes",260,170,190,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019705002","149418521","120056","Yes",235,130,130,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210019706001","142364888","411177","Yes",390,335,210,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210039201001","95936889","255690","No",200,20,130,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"210039201002","70048876","4622712","No",170,60,140,50,"210099509002",45,135,25,80,"210039204003",270,325,175,195,375,630,59.5238095238095,250,415,60.2409638554217,21,4,17,5,16
"210039201003","42572659","6509088","No",160,35,95,25,"210099509002",45,135,25,80,"210099509003",195,285,175,250,275,580,47.4137931034483,225,425,52.9411764705882,10,5,5,7,3
"210039202001","146615102","910926","No",910,345,650,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"210039203001","44534036","106757","No",530,0,365,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"210039203002","21333174","105467","No",170,40,110,25,"210039206002",325,510,210,265,"210039204001",285,520,220,335,650,1200,54.1666666666667,455,710,64.0845070422535,15,7,8,9,6
"210039203003","1569694","0","Yes",230,155,170,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210039203004","2396626","10475","Yes",100,75,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210039204001","51694978","161395","Yes",520,285,335,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
