"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"220019601001","11430057","0","Yes",190,20,135,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019601002","12971035","0","Yes",445,380,205,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019601003","4540382","0","Yes",100,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019601004","8009924","0","Yes",585,435,500,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019601005","10292094","0","Yes",345,165,215,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019602001","102483055","217002","No",1085,405,670,265,"220019601002",380,445,170,205,"220979608001",145,275,60,170,930,1805,51.5235457063712,495,1045,47.3684210526316,28,5,23,6,22
"220019602002","70126457","107022","No",395,105,280,95,"220019603001",120,365,80,270,"220979611001",375,435,305,355,600,1195,50.2092050209205,480,905,53.0386740331492,28,8,20,11,17
"220019602003","178659811","72231","No",465,95,320,50,"220019601002",380,445,170,205,"220019603002",220,400,190,355,695,1310,53.0534351145038,410,880,46.5909090909091,55,1,54,0,55
"220019603001","106996099","340795","No",365,120,270,80,"220019603002",220,400,190,355,"220530001001",315,520,220,340,655,1285,50.9727626459144,490,965,50.7772020725389,21,3,18,3,18
"220019603002","79972311","168721","Yes",400,220,355,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019603003","46584499","522436","No",215,30,155,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"220019604001","107554094","215748","No",590,70,360,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"220019604002","15066681","0","No",490,215,265,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"220019604003","106173621","28505","No",480,130,390,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"220019604004","102248206","1188838","No",405,45,270,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"220019605001","77041480","108375","No",675,60,580,60,"220019601002",380,445,170,205,"220019601004",435,585,355,500,875,1705,51.3196480938416,585,1285,45.5252918287938,45,1,44,0,45
"220019605002","65958613","0","No",120,0,120,0,"220019607001",205,330,165,270,"220019608001",275,380,230,310,480,830,57.8313253012048,395,700,56.4285714285714,15,1,14,1,14
"220019605003","49361192","0","No",910,145,425,135,"220019607001",205,330,165,270,"220019606001",530,530,480,480,880,1770,49.7175141242938,780,1175,66.3829787234042,28,1,27,6,22
"220019606001","29193275","45220","Yes",530,530,480,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019606002","1283696","0","Yes",60,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019606003","1425581","0","Yes",305,195,200,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019606004","794634","0","Yes",230,185,155,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019606005","1615663","0","Yes",465,350,390,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019607001","9847037","37156","Yes",330,205,270,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019607002","611875","0","Yes",310,215,170,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019607003","620241","0","Yes",55,45,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019607004","9595642","49540","Yes",680,310,535,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019608001","28789341","120124","Yes",380,275,310,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019608002","1178691","0","Yes",295,135,285,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019608003","1096905","0","Yes",400,230,235,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"220019608004","659516","0","Yes",270,125,215,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
