"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"260010001001","54484469","7398288","Yes",35,10,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260010001002","77042050","29316959","Yes",155,90,100,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019701001","169039704","24562216","No",145,30,100,15,"260019701002",115,160,75,100,"260010001002",90,155,55,100,235,460,51.0869565217391,145,300,48.3333333333333,28,4,24,3,25
"260019701002","35190290","8169969","Yes",160,115,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019704001","161443136","827176","Yes",265,150,145,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019704002","265397242","1037279","Yes",240,105,175,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705001","334036706","5661474","Yes",25,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705002","467224946","2292318","Yes",65,35,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019705003","110238471","1470481","No",120,45,55,20,"260690001003",135,170,55,85,"260019704002",105,240,80,175,285,530,53.7735849056604,155,315,49.2063492063492,3,2,1,1,2
"260019706001","23719879","6657613","Yes",110,95,75,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260019706002","49532369","53435","Yes",85,55,60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030001001","868693064","110196114","No",100,30,50,20,"260959602001",35,80,35,50,"261530001001",175,295,115,175,240,475,50.5263157894737,170,275,61.8181818181818,28,4,24,13,15
"260030001002","97623055","311080","No",390,115,280,110,"261530001001",175,295,115,175,"260030001003",80,150,65,95,370,835,44.311377245509,290,550,52.7272727272727,15,0,15,1,14
"260030001003","2072714","5864521","Yes",150,80,95,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030002001","343782054","44849320","No",265,90,175,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"260030002002","226516638","95746576","No",230,105,185,80,"260030001001",30,100,20,50,"260030003001",140,240,90,135,275,570,48.2456140350877,190,370,51.3513513513513,21,2,19,7,14
"260030003001","378817293","8138905","Yes",240,140,135,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260030003002","452406515","16069056","Yes",135,55,60,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"260050302001","20159760","113918","No",445,140,265,70,"260050324021",185,300,130,185,"260050324023",165,355,165,270,490,1100,44.5454545454545,365,720,50.6944444444444,10,0,10,1,9
