"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"330019651001","34356644","7711887","No",95,10,65,4,"330019651002",45,185,30,110,"330019652002",485,575,395,445,540,855,63.1578947368421,429,620,69.1935483870968,28,7,21,7,21
"330019651002","53821687","2278666","No",185,45,110,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"330019651003","41404452","1884861","No",250,20,145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"330019652001","28225379","27045646","Yes",285,0,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019652002","7105216","794965","Yes",575,485,445,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019653001","46331391","5038837","No",120,10,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"330019653002","18520526","107887","No",310,15,220,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"330019653003","3607445","4554587","No",185,25,165,15,"330019651002",45,185,30,110,"330019652002",485,575,395,445,555,945,58.7301587301587,440,720,61.1111111111111,28,5,23,5,23
"330019654001","18133249","3698995","No",205,35,140,15,"330019658002",240,350,170,210,"330019655983",85,175,75,125,360,730,49.3150684931507,260,475,54.7368421052632,15,0,15,1,14
"330019654002","104561887","2195765","No",310,65,225,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"330019655981","3010396","150557","Yes",355,170,270,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019655982","16793533","240050","No",175,0,105,0,"330019655981",170,355,150,270,"330130430013",150,255,130,175,320,785,40.7643312101911,280,550,50.9090909090909,36,0,36,2,34
"330019655983","9061071","1673081","Yes",175,85,125,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019656001","41442640","1136241","No",270,75,205,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"330019656002","63256561","466231","No",150,25,110,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330019656003","45185247","2905330","No",225,105,200,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330019657001","13801361","1347761","No",405,145,250,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"330019657002","55157607","805981","No",290,0,155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"330019657003","41996272","3282504","No",215,80,150,55,"330130350001",185,330,40,145,"330130350002",345,670,245,395,610,1215,50.2057613168724,340,690,49.2753623188406,36,1,35,2,34
"330019658001","21964813","110577","No",365,105,205,50,"330019664025",4,50,0,25,"330019658002",240,350,170,210,349,765,45.6209150326797,220,440,50,36,1,35,3,33
"330019658002","15893861","2266213","Yes",350,240,210,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019658003","20318975","389094","No",385,140,230,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"330019658004","19374241","2257938","No",345,60,265,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330019659001","1901670","4923","Yes",170,130,95,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019659002","199922","0","Yes",210,150,160,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019659003","370051","15432","Yes",160,55,115,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019659004","1564089","0","Yes",185,40,140,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019660001","1146329","825","Yes",250,75,145,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019660002","735054","0","Yes",390,390,335,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019660003","673783","42497","Yes",105,105,105,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019660004","15162597","6127983","Yes",425,145,285,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019661001","510052","43800","Yes",90,55,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019661002","2358437","1757619","No",115,55,80,25,"330019661004",55,180,55,105,"330019660003",105,105,105,105,215,400,53.75,185,290,63.7931034482759,15,4,11,6,9
"330019661003","882231","44710","No",200,35,115,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"330019661004","12837189","5018638","Yes",180,55,105,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019662001","396880","0","Yes",40,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019662002","1770805","9513","Yes",150,70,100,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019662003","8603957","3093747","No",350,55,315,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"330019662004","2350474","8167","Yes",20,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019664011","13390143","37862184","No",155,10,115,10,"330019664022",220,415,220,330,"330039563004",10,130,0,15,240,700,34.2857142857143,230,460,50,28,0,28,3,25
"330019664021","4776425","1194","Yes",285,85,165,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019664022","9430235","10205","Yes",415,220,330,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330019664023","16440669","5143","No",260,30,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"330019664024","9964578","196313","No",140,0,20,0,"330019664025",4,50,0,25,"330019664022",220,415,220,330,224,605,37.0247933884297,220,375,58.6666666666667,21,0,21,7,14
"330019664025","46368361","146723","No",50,4,25,0,"330019664024",0,140,0,20,"330019664022",220,415,220,330,224,605,37.0247933884297,220,375,58.6666666666667,21,0,21,4,17
"330019665001","44271737","872719","No",330,60,220,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"330019665002","43004178","10563370","No",245,20,185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"330019665003","19581018","12749950","No",430,125,305,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1
"330019665004","58115449","26270814","No",220,15,105,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,55,0,55,0,55
"330039551001","277477320","811954","No",355,95,210,75,"330039551002",95,105,30,30,"330099604002",175,260,60,90,365,720,50.6944444444444,165,330,50,21,1,20,1,20
"330039551002","108608833","352540","Yes",105,95,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039551003","35389730","319913","No",195,35,155,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330039553001","211708778","1491406","No",150,15,105,15,"330039553006",80,95,80,95,"330039553005",235,405,160,285,330,650,50.7692307692308,255,485,52.5773195876289,21,1,20,1,20
"330039553002","14166310","193712","Yes",220,115,100,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039553003","4716316","3678","No",125,0,25,0,"330039553006",80,95,80,95,"330039553004",0,100,0,0,80,320,25,80,120,66.6666666666667,10,0,10,2,8
"330039553004","10800206","641567","No",100,0,0,0,"330039553006",80,95,80,95,"330039554001",60,160,30,115,140,355,39.4366197183099,110,210,52.3809523809524,21,1,20,8,13
"330039553005","9713336","340239","Yes",405,235,285,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039553006","771758","0","Yes",95,80,95,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039554001","4025288","79205","No",160,60,115,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330039554002","2640346","458563","No",20,0,20,0,"330039553004",0,100,0,0,"330039555002",135,245,130,205,135,365,36.986301369863,130,225,57.7777777777778,10,0,10,1,9
"330039554003","13673501","147110","No",300,95,175,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"330039554004","27735140","3128648","No",135,55,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"330039554005","26863947","776119","No",280,105,195,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"330039555001","109534025","8012553","No",280,40,135,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"330039555002","53127154","1491499","Yes",245,135,205,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039556001","274019030","3429821","No",295,80,230,75,"330039551002",95,105,30,30,"330099604002",175,260,60,90,350,660,53.030303030303,165,350,47.1428571428571,45,1,44,2,43
"330039556002","75191255","619068","No",210,15,160,15,"330039559003",140,305,85,160,"330039563001",140,255,140,160,295,770,38.3116883116883,240,480,50,10,0,10,1,9
"330039556003","235372576","8471289","No",215,75,155,70,"330099611004",140,510,115,335,"330039563001",140,255,140,160,355,980,36.2244897959184,325,650,50,36,1,35,5,31
"330039558001","100448062","2962193","Yes",240,115,150,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039558002","89961653","8215961","Yes",245,125,120,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039559001","52184991","321882","Yes",145,60,75,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039559002","70215992","1848877","No",300,80,190,25,"330039563001",140,255,140,160,"330039559001",60,145,60,75,280,700,40,225,425,52.9411764705882,10,0,10,1,9
"330039559003","60109157","10266999","Yes",305,140,160,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039560001","73211545","1096398","No",220,45,135,30,"330039559001",60,145,60,75,"330039561005",265,620,240,435,370,985,37.5634517766497,330,645,51.1627906976744,36,0,36,1,35
"330039560002","27956060","2439849","No",205,40,95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"330039560003","49824190","10374953","No",610,230,470,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"330039560004","10715475","811651","No",70,0,20,0,"330170880002",235,350,125,205,"330170880001",75,195,75,145,310,615,50.4065040650407,200,370,54.0540540540541,15,1,14,1,14
"330039561001","37526441","1031151","No",145,70,75,0,"330039559001",60,145,60,75,"330039561005",265,620,240,435,395,910,43.4065934065934,300,585,51.2820512820513,6,0,6,1,5
"330039561002","8503086","200659","No",0,0,0,0,"330039564002",20,85,0,30,"330039561005",265,620,240,435,285,705,40.4255319148936,240,465,51.6129032258064,10,0,10,3,7
"330039561003","7724029","7616312","No",85,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"330039561004","15920897","5005881","No",125,50,110,50,"330039561005",265,620,240,435,"330039561002",0,0,0,0,315,745,42.2818791946309,290,545,53.2110091743119,15,0,15,2,13
"330039561005","54519013","13319559","Yes",620,265,435,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039563001","77204737","15589186","Yes",255,140,160,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"330039563002","24845021","1005911","No",185,50,85,15,"330039563001",140,255,140,160,"330039556003",75,215,70,155,265,655,40.4580152671756,225,400,56.25,3,0,3,1,2
