"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"410019501001","2205985801","13837275","Yes",105,50,55,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019501002","192690105","12317","Yes",235,130,220,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019501003","472389192","639439","Yes",325,235,165,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019502001","14690165","0","No",250,60,155,60,"410019502002",190,255,95,160,"410019503001",235,385,195,270,485,890,54.4943820224719,350,585,59.8290598290598,6,3,3,5,1
"410019502002","1009492","0","Yes",255,190,160,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019502003","4305017","0","No",225,30,115,30,"410019502002",190,255,95,160,"410019505001",195,380,190,320,415,860,48.2558139534884,315,595,52.9411764705882,10,3,7,8,2
"410019503001","22864633","0","Yes",385,235,270,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019503002","928774793","705256","Yes",135,85,50,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019503003","800134935","4526020","Yes",50,30,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019504001","4345160","178981","No",365,130,235,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"410019504002","566891","0","Yes",45,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019504003","470576","0","Yes",135,85,95,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019505001","499689030","1304623","Yes",380,195,320,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019505002","1346938","0","Yes",110,105,110,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019506001","943171466","11647334","No",70,0,30,0,"410019506003",80,145,50,100,"410639601001",165,315,125,220,245,530,46.2264150943396,175,350,50,6,3,3,5,1
"410019506002","30898598","0","Yes",75,40,65,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410019506003","1822664136","18981387","Yes",145,80,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030001001","724835","0","No",95,20,40,0,"410030106001",30,95,30,95,"410030001002",450,610,355,430,500,800,62.5,385,565,68.141592920354,6,2,4,2,4
"410030001002","1945683","0","Yes",610,450,430,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030001003","832495","0","No",330,115,290,110,"410030001001",20,95,0,40,"410030001002",450,610,355,430,585,1035,56.5217391304348,465,760,61.1842105263158,3,1,2,1,2
"410030001004","5499243","252877","No",575,40,405,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"410030002021","6313002","0","No",490,0,250,0,"410030107023",35,35,10,10,"410030001002",450,610,355,430,485,1135,42.7312775330396,365,690,52.8985507246377,10,0,10,1,9
"410030002022","7349146","0","No",365,100,285,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"410030004001","2210888","0","No",310,80,275,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"410030004002","5051815","0","No",555,30,360,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"410030004003","1116770","0","No",330,20,230,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"410030004004","712874","0","No",175,40,130,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"410030005001","2656287","0","No",145,30,125,30,"410030004001",80,310,65,275,"410030006001",300,375,255,275,410,830,49.3975903614458,350,675,51.8518518518518,21,3,18,6,15
"410030005002","11235520","0","No",260,25,140,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"410030005003","5025171","0","No",225,100,145,65,"410030005001",30,145,30,125,"410030006001",300,375,255,275,430,745,57.7181208053691,350,545,64.2201834862385,15,2,13,5,10
"410030006001","1330014","0","Yes",375,300,275,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030006002","20817210","543097","Yes",115,95,95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030006003","4954812","174119","Yes",155,60,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030009001","585327","0","No",370,0,310,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"410030009002","281916","0","No",35,0,35,0,"410030011014",0,4,0,4,"410030011011",75,105,55,65,75,144,52.0833333333333,55,104,52.8846153846154,15,1,14,1,14
"410030009003","2102073","0","No",335,165,245,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"410030009004","6204116","0","No",70,15,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"410030009005","417023","0","No",50,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"410030010011","571358","0","Yes",105,4,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030010012","689367","0","Yes",390,360,300,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030010013","489870","0","Yes",420,240,360,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030010021","486132","0","No",55,20,35,0,"410030011012",0,0,0,0,"410030011011",75,105,55,65,95,160,59.375,55,100,55,28,1,27,1,27
"410030010022","573478","0","No",180,60,100,30,"410030010023",45,135,35,95,"410030010012",360,390,270,300,465,705,65.9574468085106,335,495,67.6767676767677,10,4,6,4,6
"410030010023","596640","0","No",135,45,95,35,"410030004001",80,310,65,275,"410030010012",360,390,270,300,485,835,58.0838323353293,370,670,55.2238805970149,15,6,9,7,8
"410030011011","200776","0","Yes",105,75,65,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030011012","201932","0","Yes",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030011013","141008","0","Yes",25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030011014","125414","0","Yes",4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030011021","777516","0","No",130,40,100,40,"410030106001",30,95,30,95,"410030010012",360,390,270,300,430,615,69.9186991869919,340,495,68.6868686868687,21,6,15,7,14
"410030011022","330597","0","Yes",80,60,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030011023","219561","0","No",60,10,50,10,"410030011012",0,0,0,0,"410030011022",60,80,0,20,70,140,50,10,70,14.2857142857143,10,2,8,0,10
"410030011024","162526","0","Yes",20,20,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030101001","6441827","498478","Yes",185,100,155,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030101002","5732596","0","No",440,95,195,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"410030101003","5767647","282294","No",870,105,465,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"410030101004","29112725","573984","No",430,60,275,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"410030101005","4074212","0","Yes",400,150,300,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030102001","86524665","21317","No",635,150,375,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"410030102002","132854187","71762","No",235,0,135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"410030102003","267392497","216094","No",195,55,65,20,"410530204005",60,105,25,55,"410419518001",35,35,35,35,150,335,44.7761194029851,80,155,51.6129032258064,10,0,10,1,9
"410030103001","55003378","0","No",290,20,190,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"410030103002","216901061","88486","No",335,110,250,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"410030103003","355648030","775745","No",135,30,90,25,"410390005002",25,45,20,40,"410419517001",135,210,100,125,190,390,48.7179487179487,145,255,56.8627450980392,21,1,20,2,19
"410030104001","137243549","1788790","Yes",140,10,85,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030104002","155604621","12794","Yes",145,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030104003","133580657","1831995","Yes",845,480,640,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"410030106001","1015394","115816","No",95,30,95,30,"410430307002",60,110,40,90,"410030011022",60,80,0,20,150,285,52.6315789473684,70,205,34.1463414634146,45,11,34,9,36
