"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"450019501001","63053322","486346","Yes",175,20,125,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019501002","23747915","193023","Yes",205,130,110,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019501003","38636763","92327","Yes",265,145,235,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019502001","80084356","305821","No",335,135,170,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"450019502002","65883341","139276","No",260,80,225,65,"450019502003",130,250,75,150,"450019504001",445,635,270,365,655,1145,57.2052401746725,410,740,55.4054054054054,21,12,9,10,11
"450019502003","45391175","243842","Yes",250,130,150,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019503001","83199777","256841","Yes",110,30,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019503002","68866768","5024975","No",245,35,185,15,"450070116002",75,250,35,190,"450070117002",410,465,340,365,520,960,54.1666666666667,390,740,52.7027027027027,36,16,20,15,21
"450019503003","95335387","7730178","Yes",125,65,70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019504001","80708998","177180","Yes",635,445,365,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019504002","61269201","94985","Yes",375,45,265,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019504003","10687693","10972","Yes",275,175,215,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019504004","48193090","92168","Yes",535,305,305,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019505001","2247307","259","Yes",225,130,125,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019505002","99978092","286665","Yes",235,155,160,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019505003","2762451","3349","Yes",160,160,140,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019505004","69669200","215405","Yes",75,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019505005","110787221","278349","Yes",260,35,245,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019506001","23019746","210055","Yes",205,175,140,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019506002","34086604","9934497","Yes",75,65,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450019506003","162728618","27350167","Yes",525,425,355,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030201001","89712420","924535","No",410,200,200,80,"450630214031",235,390,185,310,"450379703004",75,90,50,55,510,890,57.3033707865169,315,565,55.7522123893805,28,18,10,16,12
"450030201002","66750315","347788","Yes",155,70,90,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030201003","190837613","1708937","No",600,290,375,170,"450030217002",255,335,210,255,"450630214032",195,245,175,185,740,1180,62.7118644067797,555,815,68.0981595092024,28,8,20,9,19
"450030202001","110148348","683643","No",230,45,130,45,"450030217002",255,335,210,255,"450030219001",30,105,30,105,330,670,49.2537313432836,285,490,58.1632653061224,21,14,7,17,4
"450030202002","36162297","423918","No",520,160,395,125,"450030202003",160,355,65,115,"450030216013",380,500,320,385,700,1375,50.9090909090909,510,895,56.9832402234637,15,3,12,4,11
"450030202003","102661196","549845","Yes",355,160,115,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030203011","95141471","700235","No",555,135,415,115,"450030203021",250,520,225,380,"450030203023",240,325,150,175,625,1400,44.6428571428571,490,970,50.5154639175258,36,1,35,6,30
"450030203021","32261293","386095","Yes",520,250,380,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030203022","17397679","241885","Yes",580,295,400,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030203023","18442379","298802","Yes",325,240,175,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030204001","3495598","0","Yes",420,390,340,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030204002","3189231","20846","Yes",275,170,150,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030204003","15317806","187689","Yes",565,135,360,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030204004","24986281","294962","Yes",1095,540,845,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030205001","6803162","55949","No",735,115,635,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"450030205002","5077677","0","No",630,95,410,95,"450030206021",55,55,55,55,"450030206022",610,865,420,605,760,1550,49.0322580645161,570,1070,53.2710280373832,21,1,20,3,18
"450030205003","22631604","587827","No",530,110,455,105,"450030206021",55,55,55,55,"450030206022",610,865,420,605,775,1450,53.448275862069,580,1115,52.0179372197309,28,5,23,6,22
"450030206011","25072350","421267","No",920,70,590,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"450030206021","4313062","140235","Yes",55,55,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030206022","4420778","0","Yes",865,610,605,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030206023","1410724","0","Yes",395,310,330,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030206024","2612954","13156","Yes",385,170,260,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207011","1708718","378","Yes",385,330,330,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207012","5312731","48755","Yes",135,50,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207013","1161787","0","Yes",135,20,110,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207014","2187028","8510","Yes",565,325,355,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207021","1819900","0","Yes",195,160,160,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207022","1425243","0","Yes",310,235,180,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207023","1742452","0","Yes",830,605,560,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030207024","2374632","5142","Yes",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030208011","5252718","392419","No",225,25,145,25,"450030207011",330,385,300,330,"450379705022",175,495,155,365,530,1105,47.9638009049774,480,840,57.1428571428571,15,2,13,4,11
"450030208012","2101882","81587","No",360,115,245,70,"450030207011",330,385,300,330,"450030207014",325,565,115,355,770,1310,58.7786259541985,485,930,52.1505376344086,10,5,5,7,3
"450030208021","3040058","256146","Yes",580,385,485,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030208022","2419328","273748","Yes",110,90,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030208023","1288593","0","Yes",255,50,215,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030208024","821578","845","Yes",260,100,70,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030209011","30424651","1357101","Yes",395,185,290,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030209012","50623594","1388813","Yes",215,140,110,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030209021","45355804","552723","Yes",545,155,275,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030209022","25261806","98049","Yes",155,105,105,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030209023","22795301","686089","Yes",515,300,370,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210011","2427079","9292","Yes",310,190,155,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210012","5980310","71749","Yes",175,160,170,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210013","3235456","43189","Yes",290,235,110,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210014","13309802","246948","Yes",400,180,285,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210021","4617357","265021","Yes",730,650,535,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210022","5957481","101366","Yes",360,185,255,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210023","2956341","12702","Yes",410,405,305,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030210024","3869131","7701","Yes",80,20,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030211011","9923219","63895","Yes",650,480,485,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030211012","3779502","1271141","Yes",110,85,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"450030211021","2970458","48405","No",155,35,130,15,"450030211022",90,405,60,295,"450030204001",390,420,325,340,515,980,52.5510204081633,400,765,52.2875816993464,10,3,7,3,7
"450030211022","10001986","10083","No",405,90,295,60,"450030211021",35,155,15,130,"450030211011",480,650,360,485,605,1210,50,435,910,47.8021978021978,15,3,12,2,13
