"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"500019601001","85582086","290420","No",230,50,180,40,"500019601002",85,180,70,120,"500019605001",255,460,215,320,390,870,44.8275862068966,325,620,52.4193548387097,10,0,10,1,9
"500019601002","32732997","205856","Yes",180,85,120,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019601003","92896049","971946","No",510,125,290,120,"500019601002",85,180,70,120,"500019605001",255,460,215,320,465,1150,40.4347826086956,405,730,55.4794520547945,21,0,21,2,19
"500019602001","50096613","458715","No",250,20,190,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"500019602002","72781606","35116115","No",265,65,135,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"500019603001","3454421","125285","Yes",75,35,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019603002","2958697","78120","No",360,55,265,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"500019604001","106667349","908128","No",325,50,215,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36,0,36,0,36
"500019604002","63156296","17273390","No",185,15,120,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"500019604003","107550913","19176859","No",345,30,200,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"500019604004","44398925","1209185","No",175,25,105,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"500019605001","81142879","1536042","Yes",460,255,320,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019605002","4226072","33370","Yes",150,40,100,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019605003","22156467","144737","Yes",225,20,70,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019606001","115010679","492712","No",240,50,155,30,"500019606003",45,120,45,90,"500019605001",255,460,215,320,350,820,42.6829268292683,290,565,51.3274336283186,21,0,21,3,18
"500019606002","182177161","855632","Yes",125,70,90,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019606003","231633823","532476","Yes",120,45,90,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019607001","41326527","218319","No",240,50,150,50,"500019605003",20,225,10,70,"500019605001",255,460,215,320,325,925,35.1351351351351,275,540,50.9259259259259,28,0,28,6,22
"500019607002","14981299","52769","Yes",200,100,140,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019607003","3831734","7030","No",195,75,155,75,"500019607002",100,200,75,140,"500019608003",75,130,50,90,250,525,47.6190476190476,200,385,51.9480519480519,6,0,6,1,5
"500019607004","10109173","79529","No",165,55,150,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"500019608001","3926517","162649","No",110,4,65,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"500019608002","8099883","96821","Yes",105,50,75,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"500019608003","18285887","394602","Yes",130,75,90,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
