"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Tot12","ID12","firstGEOID18","B1_ID18","B1_Tot18","B1_ID12","B1_Tot12","secondGEOID18","B2_ID18","B2_Tot18","B2_ID12","B2_Tot12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"560019627001","621821525","10095964","No",525,175,380,160,"560019639002",20,80,15,70,"560019630002",250,300,205,235,445,905,49.171270718232,380,685,55.4744525547445,66,4,62,12,54
"560019627002","13712643","20846","Yes",150,70,95,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019628001","5629655","0","No",285,110,235,95,"560019629001",195,300,135,200,"560019628002",265,585,225,430,570,1170,48.7179487179487,455,865,52.6011560693642,6,1,5,2,4
"560019628002","1450830","0","Yes",585,265,430,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019629001","4684412","14595","Yes",300,195,200,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019629002","2429372","0","Yes",185,100,140,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019630001","1027368","25626","Yes",25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019630002","2572215","0","Yes",300,250,235,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019631001","767451","0","No",300,25,190,0,"560019630001",25,25,25,25,"560019630002",250,300,205,235,300,625,48,230,450,51.1111111111111,21,0,21,1,20
"560019631002","2916151","0","No",665,185,455,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560019631003","980035","0","No",290,100,100,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"560019631004","2337486","0","No",340,35,175,35,"560019630002",250,300,205,235,"560019631003",100,290,15,100,385,930,41.3978494623656,255,510,50,10,0,10,2,8
"560019634001","680844","0","Yes",110,80,75,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019634002","183742","0","No",10,0,10,0,"560019634001",80,110,55,75,"560019634003",50,115,30,90,130,235,55.3191489361702,85,175,48.5714285714286,6,5,1,3,3
"560019634003","229249","0","No",115,50,90,30,"560019634002",0,10,0,10,"560019630001",25,25,25,25,75,150,50,55,125,44,10,2,8,0,10
"560019634004","231888","0","No",80,20,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"560019635001","232326","0","Yes",80,60,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019635002","1955548","0","Yes",4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019636001","670685","0","No",130,40,110,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560019636002","346755","0","No",215,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"560019636003","379020","0","No",140,15,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"560019636004","625223","0","No",265,85,235,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560019637001","6207286","25228","No",240,50,150,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21,0,21,0,21
"560019637002","296702","0","No",155,70,155,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560019637003","4221921","0","No",450,135,390,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560019637004","21748968","0","No",325,45,175,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28,0,28,0,28
"560019639001","7992129613","56555043","Yes",155,85,105,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019639002","2379986588","22424066","No",80,20,70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"560039626001","2708741893","12361827","No",240,65,120,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
"560039626002","1231870223","2177697","No",390,115,280,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"560039627001","1867397051","2837087","No",165,50,125,40,"560039628004",170,355,130,255,"560039627003",285,520,210,365,505,1040,48.5576923076923,380,745,51.006711409396,28,0,28,1,27
"560039627002","446104367","11606","No",205,30,100,10,"560039627003",285,520,210,365,"560299653004",155,300,135,240,470,1025,45.8536585365854,355,705,50.354609929078,10,0,10,1,9
"560039627003","2241201","0","Yes",520,285,365,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560039628001","1065835544","22761656","No",510,75,320,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"560039628002","23931650","815761","Yes",355,155,290,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560039628003","20849190","11304","No",360,85,245,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"560039628004","756529024","15425858","Yes",355,170,255,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560050001001","3111969785","2514060","Yes",645,320,575,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560050001002","2339945714","376744","No",905,185,670,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
"560050001003","898824551","637122","No",930,50,655,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"560050001004","86441278","43269","No",1115,210,995,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15,0,15,0,15
"560050002001","3129439","42072","No",550,40,325,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0,6,0,6
