"Name","AreasYes","Under18Yes","Under12Yes","Combinations","AreasCalc","Under18Calc","Under12Calc","AreasDeltaPerc","Under18DeltaPerc","Under12DeltaPerc","AreasNo","Under18No"
"Alabama",2330,426805,305651,4099,162,25819,18035,6.95278969957082,6.04936680685559,5.90052052831497,945,80921
"Alaska",183,32493,24419,670,19,3295,2605,10.3825136612022,10.1406456775305,10.6679225193497,332,23194
"Arizona",2353,635340,455606,4053,117,22335,15480,4.97237569060773,3.51544055151572,3.39767255040539,1708,122654
"Arkansas",1546,302612,221621,2263,92,15525,10630,5.95084087968952,5.1303319101688,4.79647686816683,509,43096
"California",10940,3186397,2254348,27032,706,136845,92011,6.45338208409506,4.2946625922633,4.08149052408945,11550,693617
"Colorado",1448,300969,222389,5129,110,15955,11574,7.59668508287293,5.3012104236649,5.20439410222628,1974,112277
"Connecticut",790,157728,114049,2100,41,5115,3825,5.18987341772152,3.24292452830189,3.3538216029952,1751,61717
"Delaware",243,53416,39871,716,24,3815,2685,9.87654320987654,7.14205481503669,6.73421785257455,306,17878
"District of Columbia",181,43894,31540,340,13,1815,1180,7.18232044198895,4.13496149815465,3.74128091312619,256,5379
"Florida",6626,1528692,1098845,12945,400,79709,54381,6.03682463024449,5.21419618863708,4.94892364255195,4383,309567
"Georgia",3533,941977,688318,6036,199,46695,31825,5.6326068497028,4.95712740332301,4.62358967802673,1798,189879
"Hawaii",250,50100,36756,1428,22,3220,2235,8.8,6.42714570858283,6.08063989552726,583,40099
"Idaho",623,140500,104073,1387,60,14744,10928,9.63081861958267,10.4939501779359,10.500321889443,280,37244
"Illinois",4511,861070,619422,11714,326,41815,29094,7.22677898470406,4.85616732669818,4.69695942346252,4852,249010
"Indiana",2740,509557,376096,6249,192,28629,19644,7.00729927007299,5.61840971667547,5.22313451884625,1879,136348
"Iowa",1054,152793,114896,4185,116,12695,9074,11.0056925996205,8.30862670410294,7.89757693914497,1460,81607
"Kansas",1173,201352,151650,3164,79,10280,7529,6.73486786018755,5.10548690849855,4.96472139795582,1099,65095
"Kentucky",2061,371754,268995,3981,141,20425,14125,6.84133915574964,5.49422467545743,5.25102697076154,1083,76248
"Louisiana",2217,437764,318661,3854,122,20118,13727,5.50293188994136,4.59562686744456,4.30771258484722,1124,84236
"Maine",552,68459,51761,1339,50,5400,3695,9.05797101449275,7.88793292335559,7.13857923919553,481,23968
"Maryland",1252,231981,173453,4054,86,14745,10655,6.86900958466454,6.35612399291321,6.14287443860873,2578,140111
"Massachusetts",1505,264602,189347,4318,106,11984,8444,7.04318936877076,4.52906629579519,4.45953725171246,3371,116993
"Michigan",4521,729795,522852,9283,270,32520,21710,5.9721300597213,4.45604587589666,4.15222663392318,3373,182987
"Minnesota",1363,230303,173247,5597,123,14235,10390,9.02421129860602,6.18098765539311,5.99721784504205,2623,149205
"Mississippi",1652,353902,252919,1630,77,13994,9269,4.66101694915254,3.95420201072613,3.6648096821512,432,35116
"Missouri",2629,438256,322061,4677,155,22654,15960,5.89577786230506,5.16912489503852,4.95558294857185,1722,116753
