"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Perc18","Tot12","ID12","Perc12","firstGEOID18","B1_ID18","B1_Tot18","B1_Per18","B1_ID12","B1_Tot12","B1_Per12","secondGEOID18","B2_ID18","B2_Tot18","B2_Perc18","B2_ID12","B2_Tot12","B2_Perc12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"470010201001","4673152","0","Yes",95,55,57.9,55,45,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010201002","9126027","0","Yes",500,285,57,350,215,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010202011","24593148","2567160","No",635,100,15.7,390,75,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010202012","903700","0","No",145,60,41.4,70,10,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,3,0,3
"470010202021","3613830","318608","No",265,0,0,175,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010202022","3730765","0","No",170,25,14.7,155,25,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010202023","1333043","0","Yes",260,135,51.9,230,105,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010203001","1481093","0","No",370,60,16.2,280,60,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"470010203002","1875051","0","No",180,50,27.8,110,45,40.9,"470010203003",235,530,44.3,235,475,49.5,"470010204001",160,240,66.7,75,100,75,445,950,46.8421052631579,355,685,51.8248175182482,6,0,6,1,5
"470010203003","1370447","0","No",530,235,44.3,475,235,49.5,"470010204001",160,240,66.7,75,100,75,"470010203002",50,180,27.8,45,110,40.9,445,950,46.8421052631579,355,685,51.8248175182482,10,1,9,2,8
