"GEOID","ALAND","AWATER","ELIGFY19","Tot18","ID18","Perc18","Tot12","ID12","Perc12","firstGEOID18","B1_ID18","B1_Tot18","B1_Per18","B1_ID12","B1_Tot12","B1_Per12","secondGEOID18","B2_ID18","B2_Tot18","B2_Perc18","B2_ID12","B2_Tot12","B2_Perc12","weightnum18","weightpov18","weightPerc18","weightnum12","weightpov12","weightPerc12","combinations","weightPerc18_Yes","weightPerc18_No","weightPerc12_Yes","weightPerc12_No"
"560019627001","621821525","10095964","No",525,175,33.3,380,160,42.1,"560019629001",195,300,65,135,200,67.5,"560019639001",85,155,54.8,55,105,52.4,455,980,46.4285714285714,350,685,51.0948905109489,66,4,62,12,54
"560019627002","13712643","20846","Yes",150,70,46.7,95,50,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019628001","5629655","0","No",285,110,38.6,235,95,40.4,"560019629001",195,300,65,135,200,67.5,"560019628002",265,585,45.3,225,430,52.3,570,1170,48.7179487179487,455,865,52.6011560693642,6,1,5,2,4
"560019628002","1450830","0","Yes",585,265,45.3,430,225,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019629001","4684412","14595","Yes",300,195,65,200,135,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019629002","2429372","0","Yes",185,100,54.1,140,80,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019630001","1027368","25626","Yes",25,25,100,25,25,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019630002","2572215","0","Yes",300,250,83.3,235,205,87.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019631001","767451","0","No",300,25,8.3,190,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"560019631002","2916151","0","No",665,185,27.8,455,185,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,0,10,0,10
